_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-2.7,TRR00344,M1,1,0,TRRUST,34,Regulated by: FOSL1,,-2.7,11,5.4,30293,9,879,3,0.34,0.2,1191|4312|5329,CLU|MMP1|PLAUR,-1.7,0
1,-2.7,TRR00472,M1,1,0,TRRUST,34,Regulated by: HDAC5,,-2.7,11,5.4,30293,9,879,3,0.34,0.2,2247|6513|7490,FGF2|SLC2A1|WT1,-1.7,0
1,-2.7,TRR00678,M1,1,0,TRRUST,34,Regulated by: KLF8,,-2.7,11,5.4,30293,9,879,3,0.34,0.2,1000|4318|7431,CDH2|MMP9|VIM,-1.7,0
1,-2.7,TRR01062,M1,1,0,TRRUST,34,Regulated by: PPARG,,-2.7,3.5,3.9,30293,78,879,8,0.91,0.32,4312|4318|4609|5054|6303|9518|10628|51129,MMP1|MMP9|MYC|SERPINE1|SAT1|GDF15|TXNIP|ANGPTL4,-1.7,0
1,-2.7,TRR01512,M1,1,0,TRRUST,34,Regulated by: USF1,,-2.7,3.5,3.9,30293,78,879,8,0.91,0.32,19|5033|5054|5730|6277|7040|7042|7852,ABCA1|P4HA1|SERPINE1|PTGDS|S100A6|TGFB1|TGFB2|CXCR4,-1.7,0
1,-2.7,TRR01275,M1,1,0,TRRUST,34,Regulated by: STAT1,,-2.7,3.2,3.8,30293,96,879,9,1,0.34,1906|2247|3569|4318|4322|5292|6281|9021|27151,EDN1|FGF2|IL6|MMP9|MMP13|PIM1|S100A10|SOCS3|CPAMD8,-1.7,0
1,-2.6,TRR00069,M1,1,0,TRRUST,34,Regulated by: BCL6,,-2.6,6.9,4.6,30293,20,879,4,0.46,0.23,894|1030|4609|9516,CCND2|CDKN2B|MYC|LITAF,-1.6,0
1,-2.6,TRR00347,M1,1,0,TRRUST,34,Regulated by: FOXA2,,-2.6,6.9,4.6,30293,20,879,4,0.46,0.23,19|4316|5080|80781,ABCA1|MMP7|PAX6|COL18A1,-1.6,0
1,-2.6,TRR00366,M1,1,0,TRRUST,34,Regulated by: FOXO3,,-2.6,6.9,4.6,30293,20,879,4,0.46,0.23,894|1030|10628|93649,CCND2|CDKN2B|TXNIP|MYOCD,-1.6,0
1,-2.6,TRR01552,M1,1,0,TRRUST,34,Regulated by: ZBTB16,,-2.6,10,5.1,30293,10,879,3,0.34,0.2,1381|6662|7852,CRABP1|SOX9|CXCR4,-1.6,0
1,-2.6,TRR01568,M1,1,0,TRRUST,34,Regulated by: ZNF148,,-2.6,10,5.1,30293,10,879,3,0.34,0.2,6374|7431|8660,CXCL5|VIM|IRS2,-1.6,0
1,-2.5,TRR00869,M1,1,0,TRRUST,34,Regulated by: NFE2L2,,-2.5,6.6,4.4,30293,21,879,4,0.46,0.23,1728|3576|6648|7364,NQO1|CXCL8|SOD2|UGT2B7,-1.6,0
1,-2.5,TRR01519,M1,1,0,TRRUST,34,Regulated by: VDR,,-2.5,4.1,3.8,30293,50,879,6,0.68,0.28,3486|3569|3576|8553|27242|54541,IGFBP3|IL6|CXCL8|BHLHE40|TNFRSF21|DDIT4,-1.5,0
1,-2.5,TRR00025,M1,1,0,TRRUST,34,Regulated by: ATF4,,-2.5,4.9,4,30293,35,879,5,0.57,0.25,768|3569|3576|5328|54541,CA9|IL6|CXCL8|PLAU|DDIT4,-1.5,0
1,-2.5,TRR00271,M1,1,0,TRRUST,34,Regulated by: EPAS1,,-2.5,9.4,4.8,30293,11,879,3,0.34,0.2,768|2321|5054,CA9|FLT1|SERPINE1,-1.5,0
1,-2.5,TRR00515,M1,1,0,TRRUST,34,Regulated by: HOXB7,,-2.5,9.4,4.8,30293,11,879,3,0.34,0.2,2247|7058|7474,FGF2|THBS2|WNT5A,-1.5,0
1,-2.5,TRR01379,M1,1,0,TRRUST,34,Regulated by: TAL1,,-2.5,9.4,4.8,30293,11,879,3,0.34,0.2,285|3855|8854,ANGPT2|KRT7|ALDH1A2,-1.5,0
1,-2.4,TRR01529,M1,1,0,TRRUST,34,Regulated by: WT1,,-2.4,3.5,3.6,30293,69,879,7,0.8,0.3,1490|1839|2069|3726|4609|4868|7057,CCN2|HBEGF|EREG|JUNB|MYC|NPHS1|THBS1,-1.5,0
1,-2.4,TRR00015,M1,1,0,TRRUST,34,Regulated by: ARNT,,-2.4,6,4.1,30293,23,879,4,0.46,0.23,768|1545|3091|8553,CA9|CYP1B1|HIF1A|BHLHE40,-1.4,0
1,-2.4,TRR01243,M1,1,0,TRRUST,34,Regulated by: SNAI1,,-2.4,8.6,4.6,30293,12,879,3,0.34,0.2,1000|1839|7057,CDH2|HBEGF|THBS1,-1.4,0
1,-2.3,TRR00676,M1,1,0,TRRUST,34,Regulated by: KLF6,,-2.3,5.7,4,30293,24,879,4,0.46,0.23,4318|7980|10628|284217,MMP9|TFPI2|TXNIP|LAMA1,-1.4,0
1,-2.3,TRR00022,M1,1,0,TRRUST,34,Regulated by: ATF1,,-2.3,5.5,3.9,30293,25,879,4,0.46,0.23,2321|3939|5329|7042,FLT1|LDHA|PLAUR|TGFB2,-1.3,0
1,-2.3,TRR01278,M1,1,0,TRRUST,34,Regulated by: STAT4,,-2.3,8,4.3,30293,13,879,3,0.34,0.2,4609|5292|9021,MYC|PIM1|SOCS3,-1.3,0
1,-2.2,TRR00471,M1,1,0,TRRUST,34,Regulated by: HDAC4,,-2.2,5.3,3.8,30293,26,879,4,0.46,0.23,768|4322|7490|9536,CA9|MMP13|WT1|PTGES,-1.3,0
1,-2.2,TRR01438,M1,1,0,TRRUST,34,Regulated by: TWIST2,,-2.2,5.3,3.8,30293,26,879,4,0.46,0.23,1000|7025|9518|10631,CDH2|NR2F1|GDF15|POSTN,-1.3,0
1,-2.1,TRR01172,M1,1,0,TRRUST,34,Regulated by: RUNX1,,-2.1,4,3.4,30293,43,879,5,0.57,0.25,894|1437|3689|4684|5293,CCND2|CSF2|ITGB2|NCAM1|PIK3CD,-1.2,0
1,-2.1,TRR00473,M1,1,0,TRRUST,34,Regulated by: HDAC7,,-2.1,6.9,3.9,30293,15,879,3,0.34,0.2,3091|3164|9590,HIF1A|NR4A1|AKAP12,-1.2,0
1,-2.1,TRR00506,M1,1,0,TRRUST,34,Regulated by: HOXA10,,-2.1,6.9,3.9,30293,15,879,3,0.34,0.2,1028|3589|7490,CDKN1C|IL11|WT1,-1.2,0
1,-2,TRR00290,M1,1,0,TRRUST,34,Regulated by: EZH2,,-2,3.8,3.3,30293,45,879,5,0.57,0.25,864|1030|2296|4609|6422,RUNX3|CDKN2B|FOXC1|MYC|SFRP1,-1.1,0
