_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-5.3,M39298,M1,1,0,Cell Type Signatures,7,CUI DEVELOPING HEART C1 5TH WEEK CARDIAC CELLS,,-5.3,5,6.3,30293,83,879,12,1.4,0.39,794|1152|1465|1827|6513|7138|9547|10630|23462|51330|167410|347252,CALB2|CKB|CSRP1|RCAN1|SLC2A1|TNNT1|CXCL14|PDPN|HEY1|TNFRSF12A|LIX1|IGFBPL1,-4,0
1,-5.3,M40271,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL PANCREAS DUCTAL CELLS,,-5.3,4,6,30293,128,879,15,1.7,0.44,729|2150|2263|2670|3773|4316|6382|6425|26298|51473|55195|84152|127707|170690|284217,C6|F2RL1|FGFR2|GFAP|KCNJ16|MMP7|SDC1|SFRP5|EHF|DCDC2|CCDC198|PPP1R1B|KLHDC7A|ADAMTS16|LAMA1,-4,0
1,-5.3,M39153,M1,1,0,Cell Type Signatures,7,GAO LARGE INTESTINE 24W C2 MKI67POS PROGENITOR,,-5.3,4.3,6,30293,113,879,14,1.6,0.42,633|1003|2296|2321|2615|5270|6578|7075|7122|7123|8829|9411|29995|57124,BGN|CDH5|FOXC1|FLT1|LRRC32|SERPINE2|SLCO2A1|TIE1|CLDN5|CLEC3B|NRP1|ARHGAP29|LMCD1|CD248,-3.9,0
1,-5.2,M39127,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C28 NK NKT CELLS 6,,-5.2,4.5,6.1,30293,99,879,13,1.5,0.41,301|864|969|2625|3575|3726|4094|5144|5996|7852|10628|10659|116496,ANXA1|RUNX3|CD69|GATA3|IL7R|JUNB|MAF|PDE4D|RGS1|CXCR4|TXNIP|CELF2|NIBAN1,-3.9,0
1,-5.2,M39268,M1,1,0,Cell Type Signatures,7,HU FETAL RETINA PHOTORECEPTOR,,-5.2,5.3,6.3,30293,71,879,11,1.3,0.37,1152|1843|2173|4826|5783|5961|8618|10397|50863|56884|92211,CKB|DUSP1|FABP7|NNAT|PTPN13|PRPH2|CADPS|NDRG1|NTM|FSTL5|CDHR1,-3.9,0
1,-5.2,M40225,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL KIDNEY VASCULAR ENDOTHELIAL CELLS,,-5.2,4.5,6,30293,100,879,13,1.5,0.41,624|1003|2823|4487|7075|8614|11082|55638|64123|64321|64386|80320|388125,BDKRB2|CDH5|GPM6A|MSX1|TIE1|STC2|ESM1|SYBU|ADGRL4|SOX17|MMP25|SP6|C2CD4B,-3.9,0
1,-5.2,M39021,M1,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX BIG GROUPS BRAIN IMMUNE,,-5.2,3.7,5.7,30293,148,879,16,1.8,0.45,301|969|1843|3122|3689|3726|4050|4616|5216|6277|6281|7402|8407|8519|9516|10628,ANXA1|CD69|DUSP1|HLA-DRA|ITGB2|JUNB|LTB|GADD45B|PFN1|S100A6|S100A10|UTRN|TAGLN2|IFITM1|LITAF|TXNIP,-3.8,0
1,-5.2,M39262,M1,1,0,Cell Type Signatures,7,HU FETAL RETINA BIPOLAR,,-5.2,4.8,6.1,30293,86,879,12,1.4,0.39,288|1152|2823|4826|8618|9369|10347|28959|56884|81832|92211|165215,ANK3|CKB|GPM6A|NNAT|CADPS|NRXN3|ABCA7|TMEM176B|FSTL5|NETO1|CDHR1|FAM171B,-3.8,0
1,-5.1,M39104,M1,1,0,Cell Type Signatures,7,ZHONG PFC C3 MICROGLIA,,-5.1,2.3,5.1,30293,488,879,33,3.8,0.64,288|1000|2173|2817|2977|4045|4684|4741|4747|5783|8660|9256|9644|10123|10397|10512|10602|11075|11343|23114|26011|54674|54972|55638|59283|64478|81706|84502|120114|147381|266727|404217|494470,ANK3|CDH2|FABP7|GPC1|GUCY1A2|LSAMP|NCAM1|NEFM|NEFL|PTPN13|IRS2|TSPOAP1|SH3PXD2A|ARL4C|NDRG1|SEMA3C|CDC42EP3|STMN2|MGLL|NFASC|TENM4|LRRN3|TMEM132A|SYBU|CACNG8|CSMD1|PPP1R14C|JPH4|FAT3|CBLN2|MDGA1|CTXN1|ARK2C,-3.8,0
1,-5.1,M39222,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C3 PROXIMAL TUBULE EPITHELIAL CELLS S1 S2,,-5.1,3.1,5.5,30293,221,879,20,2.3,0.5,288|1368|4311|5125|5144|7364|7704|8470|8829|10082|22874|26040|54206|54477|54796|55195|79623|220441|389432|440712,ANK3|CPM|MME|PCSK5|PDE4D|UGT2B7|ZBTB16|SORBS2|NRP1|GPC6|PLEKHA6|SETBP1|ERRFI1|PLEKHA5|BNC2|CCDC198|GALNT14|RNF152|SAMD5|RHEX,-3.8,0
