_MEMBER_modules_mes_black_sorted_top300,_MEMBER_modules_mes_blue_sorted_top300,_MEMBER_modules_mes_green_sorted_top300,_MEMBER_modules_mes_grey_sorted_top300,_MEMBER_modules_mes_pink_sorted_top300,_MEMBER_modules_mes_red_sorted_top300,_LogP_modules_mes_black_sorted_top300,_LogP_modules_mes_blue_sorted_top300,_LogP_modules_mes_green_sorted_top300,_LogP_modules_mes_grey_sorted_top300,_LogP_modules_mes_pink_sorted_top300,_LogP_modules_mes_red_sorted_top300,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,0,1,0,0,-5.3,-8,0,-2.3,0,0,GO:0097193,intrinsic apoptotic signaling pathway,M110100,3,0
1,1,0,0,1,0,-9.8,-7.1,0,0,-2.7,0,GO:0043068,positive regulation of programmed cell death,M110010,3,0
1,1,1,0,0,0,-12,-14,-5.1,0,0,0,R-HSA-983169,Class I MHC mediated antigen processing & presentation,M111000,3,0
1,0,1,0,0,1,-2.1,0,-2.1,0,0,-3.1,M232,PID ECADHERIN STABILIZATION PATHWAY,M101001,3,0
0,0,1,0,1,1,0,0,-2.8,0,-6.2,-8.1,GO:0001501,skeletal system development,M001011,3,0
1,1,1,0,0,0,-2.5,-3.3,-2.5,0,0,0,hsa05146,Amoebiasis,M111000,3,0
0,0,0,1,1,1,0,0,0,-2.9,-3.9,-2,GO:0000226,microtubule cytoskeleton organization,M000111,3,0
1,0,1,1,0,0,-5.3,0,-2,-3.6,0,0,R-HSA-68886,M Phase,M101100,3,0
1,1,0,0,1,0,-4.4,-8.2,0,0,-2.7,0,GO:0008285,negative regulation of cell population proliferation,M110010,3,0
1,0,1,0,0,1,-3,0,-3.6,0,0,-2,GO:0010506,regulation of autophagy,M101001,3,0
0,0,1,0,1,1,0,0,-2.2,0,-2.2,-2.8,GO:0003205,cardiac chamber development,M001011,3,0
1,1,0,1,0,0,-6.2,-2.4,0,-2.4,0,0,WP5113,Antiviral and anti inflammatory effects of Nrf2 on SARS CoV 2 pathway,M110100,3,0
0,0,1,0,1,1,0,0,-4,0,-6.1,-4,GO:0120035,regulation of plasma membrane bounded cell projection organization,M001011,3,0
1,1,0,0,1,0,-4.7,-9.9,0,0,-5.4,0,GO:0040011,locomotion,M110010,3,0
1,1,1,0,0,0,-2.1,-2.1,-2.1,0,0,0,WP5205,Clock controlled autophagy in bone metabolism,M111000,3,0
1,1,1,0,0,0,-4,-7.8,-3,0,0,0,R-HSA-6798695,Neutrophil degranulation,M111000,3,0
0,1,1,1,0,0,0,-3.9,-3.2,-2.5,0,0,GO:0016485,protein processing,M011100,3,0
1,1,0,0,1,0,-3.3,-5.5,0,0,-2.1,0,GO:0050920,regulation of chemotaxis,M110010,3,0
1,1,0,0,0,1,-2.9,-2.4,0,0,0,-2.9,GO:0007162,negative regulation of cell adhesion,M110001,3,0
0,0,1,0,1,1,0,0,-2.2,0,-3.4,-7.7,M5884,NABA CORE MATRISOME,M001011,3,0
0,0,1,1,0,1,0,0,-15,-3.5,0,-2.7,R-HSA-8856688,Golgi-to-ER retrograde transport,M001101,3,0
0,0,1,0,1,1,0,0,-5.3,0,-4.2,-7.2,GO:0061061,muscle structure development,M001011,3,0
0,0,1,0,1,1,0,0,-2.6,0,-8.3,-2.6,GO:0048598,embryonic morphogenesis,M001011,3,0
0,1,0,0,1,1,0,-2.5,0,0,-4.6,-3.5,WP5053,Development of ureteric collection system,M010011,3,0
1,1,0,1,0,0,-6.9,-7.7,0,-3.5,0,0,GO:0097190,apoptotic signaling pathway,M110100,3,0
0,1,0,0,1,1,0,-3.1,0,0,-2.1,-3.1,GO:0003176,aortic valve development,M010011,3,0
0,0,1,0,1,1,0,0,-2.4,0,-2.4,-5.4,M18,PID INTEGRIN1 PATHWAY,M001011,3,0
1,1,1,0,0,0,-5.2,-5.9,-2.1,0,0,0,GO:0030098,lymphocyte differentiation,M111000,3,0
1,1,0,0,1,0,-9.2,-5.1,0,0,-2.3,0,GO:0010562,positive regulation of phosphorus metabolic process,M110010,3,0
1,1,1,0,0,0,-8.9,-3.4,-5.1,0,0,0,GO:0019941,modification-dependent protein catabolic process,M111000,3,0
0,0,1,1,0,1,0,0,-21,-3.4,0,-11,R-HSA-5653656,Vesicle-mediated transport,M001101,3,0
1,0,1,0,0,1,-2.2,0,-6.1,0,0,-4.6,GO:0009101,glycoprotein biosynthetic process,M101001,3,0
1,1,1,0,0,0,-10,-5.8,-2.2,0,0,0,GO:0001934,positive regulation of protein phosphorylation,M111000,3,0
1,1,0,0,1,0,-3.7,-2.5,0,0,-2,0,GO:0010632,regulation of epithelial cell migration,M110010,3,0
0,0,1,1,0,1,0,0,-6.7,-4,0,-5.3,R-HSA-195258,RHO GTPase Effectors,M001101,3,0
0,1,0,0,1,1,0,-2.2,0,0,-2.2,-2.2,GO:0003180,aortic valve morphogenesis,M010011,3,0
1,1,1,0,0,0,-2.2,-3.3,-2.2,0,0,0,GO:0010935,regulation of macrophage cytokine production,M111000,3,0
0,1,1,1,0,0,0,-3.4,-6.3,-2,0,0,GO:0051604,protein maturation,M011100,3,0
1,1,0,0,1,0,-2.5,-2.5,0,0,-2.5,0,GO:0010038,response to metal ion,M110010,3,0
0,0,1,0,1,1,0,0,-8,0,-2,-6.1,GO:0010256,endomembrane system organization,M001011,3,0
1,1,1,0,0,0,-5.3,-8,-2.5,0,0,0,GO:0002521,leukocyte differentiation,M111000,3,0
1,0,1,0,0,1,-3,0,-6.2,0,0,-2.2,GO:1901137,carbohydrate derivative biosynthetic process,M101001,3,0
1,0,1,0,0,1,-4.5,0,-2.4,0,0,-3,M5915,HALLMARK APICAL JUNCTION,M101001,3,0
0,0,1,0,1,1,0,0,-2,0,-2.8,-2,GO:0002062,chondrocyte differentiation,M001011,3,0
1,0,1,0,1,0,-5.1,0,-6.4,0,-2.4,0,GO:0048514,blood vessel morphogenesis,M101010,3,0
1,0,1,0,1,0,-7.7,0,-4.1,0,-2.7,0,R-HSA-9675108,Nervous system development,M101010,3,0
0,0,1,0,1,1,0,0,-5.3,0,-5.3,-2.5,GO:0000902,cell morphogenesis,M001011,3,0
1,1,1,0,0,0,-2.2,-3.4,-2.8,0,0,0,GO:0001894,tissue homeostasis,M111000,3,0
1,1,0,0,1,0,-8.3,-3.7,0,0,-2.4,0,GO:1901699,cellular response to nitrogen compound,M110010,3,0
0,1,0,0,1,1,0,-2,0,0,-2,-2.7,WP236,Adipogenesis,M010011,3,0
1,1,0,1,0,0,-11,-11,0,-2.3,0,0,hsa05168,Herpes simplex virus 1 infection,M110100,3,0
1,1,0,0,0,1,-4.6,-2.5,0,0,0,-3.8,GO:0070302,regulation of stress-activated protein kinase signaling cascade,M110001,3,0
1,1,0,0,0,1,-19,-4.8,0,0,0,-3.3,GO:0071356,cellular response to tumor necrosis factor,M110001,3,0
0,1,1,0,0,1,0,-4.4,-3.7,0,0,-4.4,hsa04144,Endocytosis,M011001,3,0
1,1,1,0,0,0,-5.7,-9.7,-2.5,0,0,0,R-HSA-9694516,SARS-CoV-2 Infection,M111000,3,0
1,1,0,0,1,0,-7.7,-2.4,0,0,-2.9,0,WP2882,Nuclear receptors meta pathway,M110010,3,0
1,0,1,0,0,1,-2.1,0,-2.1,0,0,-2.1,GO:0072595,maintenance of protein localization in organelle,M101001,3,0
0,0,1,0,1,1,0,0,-2.1,0,-2.1,-5.4,GO:0061448,connective tissue development,M001011,3,0
1,0,1,0,0,1,-3.8,0,-2.2,0,0,-2.2,hsa04670,Leukocyte transendothelial migration,M101001,3,0
0,0,1,0,1,1,0,0,-2.1,0,-2.7,-8.3,GO:0001503,ossification,M001011,3,0
1,1,1,0,0,0,-6.4,-9.6,-3.3,0,0,0,GO:0030097,hemopoiesis,M111000,3,0
0,1,1,0,0,1,0,-5.4,-3.4,0,0,-4.7,GO:0030198,extracellular matrix organization,M011001,3,0
1,1,0,0,1,0,-4.8,-2,0,0,-2.1,0,M115,PID REG GR PATHWAY,M110010,3,0
1,1,1,0,0,0,-3.1,-2.6,-2.2,0,0,0,GO:0051051,negative regulation of transport,M111000,3,0
1,1,0,1,0,0,-4.8,-3.1,0,-3.1,0,0,WP5322,CKAP4 signaling pathway map,M110100,3,0
1,0,0,1,0,1,-2.6,0,0,-2.7,0,-3,GO:0016310,phosphorylation,M100101,3,0
1,1,0,0,1,0,-5,-10,0,0,-5,0,GO:0042330,taxis,M110010,3,0
1,1,0,0,0,1,-12,-2.9,0,0,0,-2.1,R-HSA-8878166,Transcriptional regulation by RUNX2,M110001,3,0
0,1,0,0,1,1,0,-2.8,0,0,-5.8,-5.1,GO:0032970,regulation of actin filament-based process,M010011,3,0
1,1,0,0,1,0,-5,-10,0,0,-5,0,GO:0006935,chemotaxis,M110010,3,0
1,0,1,0,0,1,-2.9,0,-4.4,0,0,-2.9,hsa04140,Autophagy - animal,M101001,3,0
1,0,1,1,0,0,-8.7,0,-2,-4.6,0,0,R-HSA-68882,Mitotic Anaphase,M101100,3,0
1,1,0,0,1,0,-7.5,-2.2,0,0,-2.2,0,GO:0071417,cellular response to organonitrogen compound,M110010,3,0
0,0,1,0,1,1,0,0,-2.6,0,-2.6,-2.6,GO:0007160,cell-matrix adhesion,M001011,3,0
0,1,0,0,1,1,0,-2,0,0,-2,-2.7,hsa04068,FoxO signaling pathway,M010011,3,0
1,1,1,0,0,0,-11,-2.6,-2.6,0,0,0,R-HSA-162906,HIV Infection,M111000,3,0
1,1,0,0,1,0,-10,-6.1,0,0,-2.9,0,GO:0043065,positive regulation of apoptotic process,M110010,3,0
0,1,1,0,0,1,0,-3.1,-9.6,0,0,-10,GO:0097435,supramolecular fiber organization,M011001,3,0
0,1,0,1,1,0,0,-2.6,0,-2.2,-4.4,0,GO:0051129,negative regulation of cellular component organization,M010110,3,0
0,0,1,0,1,1,0,0,-3.8,0,-2.6,-5.9,GO:0042692,muscle cell differentiation,M001011,3,0
1,1,0,1,0,0,-10,-2,0,-2,0,0,R-HSA-69206,G1/S Transition,M110100,3,0
0,0,1,0,1,1,0,0,-3.4,0,-2.1,-5.8,GO:0055001,muscle cell development,M001011,3,0
1,1,1,0,0,0,-8.9,-9.7,-3,0,0,0,R-HSA-9679506,SARS-CoV Infections,M111000,3,0
1,1,0,0,0,1,-2.7,-2.7,0,0,0,-3.6,GO:0045185,maintenance of protein location,M110001,3,0
1,1,0,0,1,0,-3.5,-2.4,0,0,-3.5,0,GO:0036293,response to decreased oxygen levels,M110010,3,0
1,1,1,0,0,0,-5.4,-5.4,-3,0,0,0,M5941,HALLMARK UV RESPONSE UP,M111000,3,0
0,0,1,0,1,1,0,0,-2.2,0,-5,-2.7,GO:1902903,regulation of supramolecular fiber organization,M001011,3,0
0,1,1,0,0,1,0,-4,-5.3,0,0,-6.1,GO:0007015,actin filament organization,M011001,3,0
0,0,1,1,0,1,0,0,-17,-3.7,0,-4.4,R-HSA-6811442,Intra-Golgi and retrograde Golgi-to-ER traffic,M001101,3,0
0,1,1,0,0,1,0,-2.8,-4.3,0,0,-2.8,hsa04530,Tight junction,M011001,3,0
1,1,0,0,0,1,-2.2,-3.6,0,0,0,-2.9,GO:0051235,maintenance of location,M110001,3,0
1,1,1,0,0,0,-6,-5.3,-2.8,0,0,0,GO:0071496,cellular response to external stimulus,M111000,3,0
1,1,0,0,0,1,-2.4,-2.4,0,0,0,-2.9,GO:0034762,regulation of transmembrane transport,M110001,3,0
1,1,1,0,0,0,-9.1,-2.6,-5.2,0,0,0,GO:0006511,ubiquitin-dependent protein catabolic process,M111000,3,0
1,1,1,0,0,0,-4.3,-2.9,-3.3,0,0,0,GO:0019725,cellular homeostasis,M111000,3,0
0,0,1,1,0,1,0,0,-21,-3.2,0,-10,R-HSA-199991,Membrane Trafficking,M001101,3,0
1,0,1,1,0,0,-2.1,0,-5.5,-2.2,0,0,GO:0006986,response to unfolded protein,M101100,3,0
1,1,1,0,0,0,-2.4,-3,-3.6,0,0,0,GO:0051259,protein complex oligomerization,M111000,3,0
1,1,0,0,1,0,-9.2,-5.1,0,0,-2.3,0,GO:0045937,positive regulation of phosphate metabolic process,M110010,3,0
0,0,1,0,1,1,0,0,-2.7,0,-2.8,-2.3,GO:0044089,positive regulation of cellular component biogenesis,M001011,3,0
1,0,1,0,0,1,-3.5,0,-7.3,0,0,-2,GO:0009611,response to wounding,M101001,3,0
0,0,1,0,1,1,0,0,-2.7,0,-3.4,-4,GO:0051146,striated muscle cell differentiation,M001011,3,0
0,1,1,0,0,1,0,-5.4,-3.3,0,0,-4.7,GO:0045229,external encapsulating structure organization,M011001,3,0
1,1,1,0,0,0,-2.9,-11,-2.2,0,0,0,GO:0002718,regulation of cytokine production involved in immune response,M111000,3,0
1,1,1,0,0,0,-9.7,-15,-3.9,0,0,0,GO:0001775,cell activation,M111000,3,0
0,0,1,0,1,1,0,0,-2.2,0,-6.5,-5.3,GO:0051493,regulation of cytoskeleton organization,M001011,3,0
1,1,0,0,1,0,-8,-4.6,0,0,-2.5,0,GO:1903706,regulation of hemopoiesis,M110010,3,0
0,0,1,0,1,1,0,0,-2.2,0,-4.7,-3.4,GO:0110053,regulation of actin filament organization,M001011,3,0
1,0,1,0,0,1,-3.9,0,-5.1,0,0,-5.1,GO:0009100,glycoprotein metabolic process,M101001,3,0
0,0,1,0,1,1,0,0,-4.7,0,-3.2,-2.7,GO:0090066,regulation of anatomical structure size,M001011,3,0
1,1,0,0,0,1,-9.9,-7.2,0,0,0,-2.1,hsa05163,Human cytomegalovirus infection,M110001,3,0
1,1,1,0,0,0,-6.6,-2.4,-2.4,0,0,0,WP3624,Lung fibrosis,M111000,3,0
0,0,1,1,1,0,0,0,-3.8,-2.1,-2.9,0,GO:0040008,regulation of growth,M001110,3,0
1,1,1,0,0,0,-8.6,-4.8,-2.4,0,0,0,R-HSA-983168,Antigen processing: Ubiquitination & Proteasome degradation,M111000,3,0
0,1,1,0,0,1,0,-2.1,-2.8,0,0,-2.1,R-HSA-2132295,MHC class II antigen presentation,M011001,3,0
1,1,0,0,0,1,-4.2,-2.1,0,0,0,-2.7,GO:0048660,regulation of smooth muscle cell proliferation,M110001,3,0
1,1,1,0,0,0,-35,-12,-2.1,0,0,0,R-HSA-449147,Signaling by Interleukins,M111000,3,0
1,1,0,1,0,0,-3.5,-2.1,0,-2.6,0,0,GO:0055086,nucleobase-containing small molecule metabolic process,M110100,3,0
1,1,0,0,0,1,-4.2,-5.8,0,0,0,-2.9,GO:0009612,response to mechanical stimulus,M110001,3,0
1,1,0,0,1,0,-4,-7.3,0,0,-3.3,0,GO:0030522,intracellular receptor signaling pathway,M110010,3,0
1,1,0,0,1,0,-9.9,-7.7,0,0,-2.9,0,GO:0045785,positive regulation of cell adhesion,M110010,3,0
1,0,0,0,1,1,-3.5,0,0,0,-3,-2.1,GO:0006351,DNA-templated transcription,M100011,3,0
1,1,0,0,0,1,-3.5,-3.5,0,0,0,-2,GO:0071902,positive regulation of protein serine/threonine kinase activity,M110001,3,0
0,1,1,0,1,0,0,-2.6,-2.6,0,-3.1,0,GO:0051962,positive regulation of nervous system development,M011010,3,0
1,1,1,0,0,0,-5.5,-5.5,-3,0,0,0,GO:0048871,multicellular organismal-level homeostasis,M111000,3,0
1,1,0,0,1,0,-2.9,-2.4,0,0,-5.2,0,GO:0031400,negative regulation of protein modification process,M110010,3,0
0,1,1,0,1,0,0,-2.1,-3.1,0,-5.3,0,GO:0051960,regulation of nervous system development,M011010,3,0
1,0,1,1,0,0,-8.7,0,-2,-4.6,0,0,R-HSA-2555396,Mitotic Metaphase and Anaphase,M101100,3,0
0,0,1,0,1,1,0,0,-2.7,0,-6.8,-5.5,GO:0002009,morphogenesis of an epithelium,M001011,3,0
1,1,0,0,1,0,-3.1,-5.5,0,0,-2.1,0,M91,PID TCPTP PATHWAY,M110010,3,0
0,1,1,0,0,1,0,-2.5,-9.6,0,0,-11,GO:0030036,actin cytoskeleton organization,M011001,3,0
1,1,1,0,0,0,-16,-2.6,-2.6,0,0,0,R-HSA-450408,AUF1 (hnRNP D0) binds and destabilizes mRNA,M111000,3,0
1,0,1,0,0,1,-2.3,0,-6.9,0,0,-2.3,GO:0042060,wound healing,M101001,3,0
0,0,1,0,1,1,0,0,-4.7,0,-4.7,-3.5,GO:0032535,regulation of cellular component size,M001011,3,0
1,1,1,0,0,0,-8.8,-3.4,-4.9,0,0,0,GO:0043632,modification-dependent macromolecule catabolic process,M111000,3,0
0,0,1,0,1,1,0,0,-3.8,0,-6.5,-3.8,GO:0031344,regulation of cell projection organization,M001011,3,0
1,1,1,0,0,0,-2.2,-3.4,-2.8,0,0,0,GO:0060249,anatomical structure homeostasis,M111000,3,0
0,0,1,1,0,1,0,0,-4.6,-3.9,0,-3.9,hsa04814,Motor proteins,M001101,3,0
1,0,0,0,1,1,-2.2,0,0,0,-5.1,-2.2,hsa05225,Hepatocellular carcinoma,M100011,3,0
1,0,0,0,1,1,-3.5,0,0,0,-2,-2.7,hsa04926,Relaxin signaling pathway,M100011,3,0
1,0,0,0,1,1,-7.5,0,0,0,-2.2,-2.9,hsa04722,Neurotrophin signaling pathway,M100011,3,0
0,1,1,0,0,1,0,-2.1,-9.9,0,0,-9.9,GO:0030029,actin filament-based process,M011001,3,0
1,1,0,0,0,1,-11,-3.2,0,0,0,-2.5,R-HSA-3858494,Beta-catenin independent WNT signaling,M110001,3,0
1,1,0,0,1,0,-2.1,-2.1,0,0,-2.1,0,WP364,IL6 signaling pathway,M110010,3,0
1,0,1,0,1,0,-7.4,0,-4.4,0,-2,0,R-HSA-422475,Axon guidance,M101010,3,0
0,1,0,0,1,1,0,-2.6,0,0,-2.1,-2.1,GO:0010721,negative regulation of cell development,M010011,3,0
0,0,1,0,1,1,0,0,-5.6,0,-6.8,-3.5,GO:0043009,chordate embryonic development,M001011,3,0
1,1,0,0,1,0,-5.2,-2,0,0,-2,0,GO:0045621,positive regulation of lymphocyte differentiation,M110010,3,0
1,1,0,0,1,0,-6.5,-2,0,0,-2,0,GO:0045580,regulation of T cell differentiation,M110010,3,0
1,1,0,0,0,1,-6.1,-3,0,0,0,-2.2,WP5055,Burn wound healing,M110001,3,0
1,1,0,0,0,1,-4.1,-2.1,0,0,0,-2.1,GO:0010634,positive regulation of epithelial cell migration,M110001,3,0
0,0,1,1,0,1,0,0,-9.6,-2.2,0,-5.7,GO:0016050,vesicle organization,M001101,3,0
1,0,0,1,1,0,-2.9,0,0,-2.3,-2.3,0,GO:0071453,cellular response to oxygen levels,M100110,3,0
1,1,0,0,1,0,-5.4,-2.7,0,0,-2.3,0,GO:0009725,response to hormone,M110010,3,0
1,1,1,0,0,0,-16,-9.7,-3.1,0,0,0,R-HSA-9824446,Viral Infection Pathways,M111000,3,0
0,1,1,0,0,1,0,-5.4,-3.4,0,0,-4.7,GO:0043062,extracellular structure organization,M011001,3,0
1,1,0,0,0,1,-3.5,-9.2,0,0,0,-2.7,WP4217,Ebola virus infection in host,M110001,3,0
1,0,1,1,0,0,-4.8,0,-2.4,-4.9,0,0,R-HSA-69278,"Cell Cycle, Mitotic",M101100,3,0
1,0,0,0,1,1,-3.2,0,0,0,-2.6,-2,hsa04014,Ras signaling pathway,M100011,3,0
1,1,0,0,1,0,-9.4,-4.2,0,0,-2.4,0,R-HSA-9006925,Intracellular signaling by second messengers,M110010,3,0
1,1,1,0,0,0,-41,-51,-2.3,0,0,0,R-HSA-1280215,Cytokine Signaling in Immune system,M111000,3,0
1,1,1,0,0,0,-3.8,-3.8,-2.1,0,0,0,GO:0030099,myeloid cell differentiation,M111000,3,0
1,1,1,0,0,0,-4.3,-2,-2,0,0,0,GO:0010595,positive regulation of endothelial cell migration,M111000,3,0
0,1,1,0,0,1,0,-2.3,-3.5,0,0,-3.5,R-HSA-76002,"Platelet activation, signaling and aggregation",M011001,3,0
1,1,0,0,1,0,-2.2,-2.9,0,0,-2.2,0,GO:0002520,immune system development,M110010,3,0
0,1,0,0,1,1,0,-2.6,0,0,-6.4,-4.4,GO:0032956,regulation of actin cytoskeleton organization,M010011,3,0
0,0,1,0,1,1,0,0,-9.4,0,-2.1,-4.8,GO:0006900,vesicle budding from membrane,M001011,3,0
