_MEMBER_modules_mes_black_sorted_top300,_MEMBER_modules_mes_blue_sorted_top300,_MEMBER_modules_mes_green_sorted_top300,_MEMBER_modules_mes_grey_sorted_top300,_MEMBER_modules_mes_pink_sorted_top300,_MEMBER_modules_mes_red_sorted_top300,_LogP_modules_mes_black_sorted_top300,_LogP_modules_mes_blue_sorted_top300,_LogP_modules_mes_green_sorted_top300,_LogP_modules_mes_grey_sorted_top300,_LogP_modules_mes_pink_sorted_top300,_LogP_modules_mes_red_sorted_top300,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,1,1,1,0,-4.6,-3.2,-2.8,-3.7,-2.8,0,GO:0008283,cell population proliferation,M111110,5,0
1,1,1,0,1,1,-3.3,-2.4,-7.6,0,-5.9,-3.8,GO:0035239,tube morphogenesis,M111011,5,0
1,1,1,0,1,1,-9.2,-2.3,-2.3,0,-2.3,-3.3,WP5087,Pleural mesothelioma,M111011,5,0
1,1,1,0,1,1,-3.8,-2,-2.4,0,-7.1,-2.8,GO:0007167,enzyme-linked receptor protein signaling pathway,M111011,5,0
1,1,1,1,0,1,-3.3,-3.3,-4.8,-2.9,0,-2.8,R-HSA-109582,Hemostasis,M111101,5,0
1,1,1,0,1,1,-6.6,-2.6,-2.6,0,-3.9,-2.6,GO:0080135,regulation of cellular response to stress,M111011,5,0
1,1,1,0,0,1,-17,-16,-4.5,0,0,-3.1,R-HSA-1280218,Adaptive Immune System,M111001,4,0
1,1,1,0,1,0,-8.5,-5,-7.3,0,-2.3,0,GO:0030163,protein catabolic process,M111010,4,0
1,0,1,0,1,1,-6.3,0,-2,0,-2.4,-3.4,GO:0071363,cellular response to growth factor stimulus,M101011,4,0
1,1,0,0,1,1,-9.1,-4.8,0,0,-2.9,-3.8,GO:0040017,positive regulation of locomotion,M110011,4,0
0,0,1,1,1,1,0,0,-6.5,-3.1,-2.2,-5.4,R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",M001111,4,0
1,0,1,0,1,1,-3.6,0,-2,0,-3.6,-2,hsa04151,PI3K-Akt signaling pathway,M101011,4,0
1,1,1,0,0,1,-4.4,-4.4,-2.2,0,0,-2.9,R-HSA-9658195,Leishmania infection,M111001,4,0
1,1,1,0,0,1,-4.5,-2.4,-4.5,0,0,-2.4,hsa05130,Pathogenic Escherichia coli infection,M111001,4,0
1,0,1,0,1,1,-2.1,0,-5.4,0,-6.6,-3.4,GO:0009792,embryo development ending in birth or egg hatching,M101011,4,0
1,1,0,0,1,1,-9.6,-3.6,0,0,-2.2,-2.6,GO:1902532,negative regulation of intracellular signal transduction,M110011,4,0
1,1,1,0,0,1,-10,-2.4,-2.9,0,0,-4.5,R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,M111001,4,0
1,1,1,0,0,1,-7.5,-4.4,-3,0,0,-3.7,hsa05132,Salmonella infection,M111001,4,0
1,1,0,0,1,1,-9.3,-4.9,0,0,-3,-3.9,GO:2000147,positive regulation of cell motility,M110011,4,0
1,0,1,0,1,1,-2.3,0,-3.7,0,-4.8,-5.9,GO:0007507,heart development,M101011,4,0
1,1,1,0,1,0,-10,-5.3,-2.4,0,-2,0,GO:0042327,positive regulation of phosphorylation,M111010,4,0
1,0,1,0,1,1,-6.5,0,-2.2,0,-2.2,-3.1,GO:0070848,response to growth factor,M101011,4,0
0,1,1,0,1,1,0,-2.3,-2.7,0,-5.3,-6.5,GO:0048729,tissue morphogenesis,M011011,4,0
1,0,1,0,1,1,-4.1,0,-2.2,0,-2.2,-7.8,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,M101011,4,0
1,0,1,0,1,1,-3.8,0,-2.2,0,-3.2,-2.2,WP4172,PI3K Akt signaling pathway,M101011,4,0
1,0,1,1,0,1,-3.7,0,-2.5,-2.1,0,-4.2,GO:0033365,protein localization to organelle,M101101,4,0
1,1,1,0,1,0,-8.7,-5,-8.1,0,-2.2,0,GO:0051603,proteolysis involved in protein catabolic process,M111010,4,0
1,0,1,0,1,1,-4.4,0,-6.8,0,-2.1,-5,GO:0001944,vasculature development,M101011,4,0
0,1,1,0,1,1,0,-3.1,-6.4,0,-2.5,-8.8,R-HSA-1474244,Extracellular matrix organization,M011011,4,0
1,1,1,0,1,0,-3.7,-4.9,-2.7,0,-2.7,0,GO:0010720,positive regulation of cell development,M111010,4,0
1,1,0,0,1,1,-3.8,-2.9,0,0,-5.9,-2.9,GO:0045596,negative regulation of cell differentiation,M110011,4,0
1,1,0,1,1,0,-4.4,-2.1,0,-2.2,-3.2,0,GO:0070482,response to oxygen levels,M110110,4,0
1,1,1,0,0,1,-4.8,-2.9,-2,0,0,-2,WP5353,A network map of Macrophage stimulating protein MSP signaling,M111001,4,0
1,1,1,0,0,1,-6.9,-3.7,-14,0,0,-15,M5930,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,M111001,4,0
0,0,1,1,1,1,0,0,-7.3,-2.5,-2.8,-6.2,GO:0061024,membrane organization,M001111,4,0
1,1,0,0,1,1,-5.7,-4.5,0,0,-2,-2,GO:0051345,positive regulation of hydrolase activity,M110011,4,0
1,1,1,0,0,1,-3,-2.1,-3.9,0,0,-6.9,GO:0098609,cell-cell adhesion,M111001,4,0
1,1,1,0,0,1,-7.5,-2.5,-2.5,0,0,-2.5,hsa05131,Shigellosis,M111001,4,0
0,1,1,0,1,1,0,-2.4,-2.4,0,-2.5,-2.4,GO:0032963,collagen metabolic process,M011011,4,0
1,1,1,0,0,1,-4.4,-4.4,-2.2,0,0,-2.9,R-HSA-9824443,Parasitic Infection Pathways,M111001,4,0
1,0,1,0,1,1,-3,0,-3,0,-3.6,-4.9,WP3932,Focal adhesion PI3K Akt mTOR signaling pathway,M101011,4,0
1,1,0,1,1,0,-3.4,-2.3,0,-2.3,-3.5,0,GO:0048511,rhythmic process,M110110,4,0
1,1,0,0,1,1,-10,-3.9,0,0,-3.4,-2.1,GO:0043408,regulation of MAPK cascade,M110011,4,0
1,0,1,0,1,1,-6.4,0,-10,0,-2.4,-2.9,WP3888,VEGFA VEGFR2 signaling,M101011,4,0
1,0,1,0,1,1,-4.6,0,-6.4,0,-2.2,-5.2,GO:0001568,blood vessel development,M101011,4,0
1,1,1,0,1,0,-2.4,-7.4,-2.1,0,-2.1,0,M5885,NABA MATRISOME ASSOCIATED,M111010,4,0
1,1,0,0,1,1,-9.7,-5.2,0,0,-3.2,-4.1,GO:0030335,positive regulation of cell migration,M110011,4,0
1,1,0,1,1,0,-2.1,-2.1,0,-2.2,-3.1,0,GO:0071407,cellular response to organic cyclic compound,M110110,4,0
1,0,1,0,1,1,-2.2,0,-2.2,0,-2.2,-3.1,WP2572,Primary focal segmental glomerulosclerosis FSGS,M101011,4,0
0,0,1,1,1,1,0,0,-6.1,-3.2,-2.3,-5.6,R-HSA-194315,Signaling by Rho GTPases,M001111,4,0
1,1,1,0,1,0,-6.8,-6.2,-2.1,0,-3.7,0,GO:0051336,regulation of hydrolase activity,M111010,4,0
1,1,1,0,0,1,-7.7,-3,-3,0,0,-3,R-HSA-382551,Transport of small molecules,M111001,4,0
1,1,0,0,1,1,-14,-3,0,0,-4.1,-3.5,hsa05200,Pathways in cancer,M110011,4,0
1,1,0,0,1,1,-5.9,-6.6,0,0,-2.2,-2.7,hsa05165,Human papillomavirus infection,M110011,4,0
0,0,1,0,1,1,0,0,-2.9,0,-6.9,-2.4,GO:0060562,epithelial tube morphogenesis,M001011,3,0
1,1,0,0,0,1,-3.2,-2.3,0,0,0,-3.2,WP5158,Urotensin II mediated signaling pathway,M110001,3,0
