Cluster,Score,Type,Gene,Symbol,Network
1,4.454545454545454,Seed,36,ACADSB,down_common_genes_SUB1
1,4.454545454545454,Clustered,51084,CRYL1,down_common_genes_SUB1
1,4.454545454545454,Clustered,30,ACAA1,down_common_genes_SUB1
1,4.454545454545454,Clustered,3155,HMGCL,down_common_genes_SUB1
1,4.454545454545454,Clustered,8309,ACOX2,down_common_genes_SUB1
1,4.454545454545454,Clustered,3030,HADHA,down_common_genes_SUB1
1,4.454545454545454,Clustered,55902,ACSS2,down_common_genes_SUB1
1,4.454545454545454,Clustered,6342,SCP2,down_common_genes_SUB1
1,4.454545454545454,Clustered,549,AUH,down_common_genes_SUB1
1,4.454545454545454,Clustered,84263,HSDL2,down_common_genes_SUB1
1,4.454545454545454,Clustered,221,ALDH3B1,down_common_genes_SUB1
2,2.1818181818181817,Clustered,51449,PCYOX1,down_common_genes_SUB1
2,2.1818181818181817,Clustered,3613,IMPA2,down_common_genes_SUB1
2,2.1818181818181817,Clustered,113026,PLCD3,down_common_genes_SUB1
2,2.1818181818181817,Clustered,3628,INPP1,down_common_genes_SUB1
2,2.1818181818181817,Clustered,348,APOE,down_common_genes_SUB1
2,2.1818181818181817,Clustered,23236,PLCB1,down_common_genes_SUB1
2,2.1818181818181817,Clustered,51196,PLCE1,down_common_genes_SUB1
2,2.1818181818181817,Clustered,351,APP,down_common_genes_SUB1
2,2.1818181818181817,Seed,5297,PI4KA,down_common_genes_SUB1
2,2.1818181818181817,Clustered,1191,CLU,down_common_genes_SUB1
2,2.1818181818181817,Clustered,274,BIN1,down_common_genes_SUB1
3,1.5454545454545454,Clustered,57504,MTA3,down_common_genes_SUB1
3,1.5454545454545454,Clustered,51386,EIF3L,down_common_genes_SUB1
3,1.5454545454545454,Seed,6414,SELENOP,down_common_genes_SUB1
3,1.5454545454545454,Clustered,2261,FGFR3,down_common_genes_SUB1
3,1.5454545454545454,Clustered,3481,IGF2,down_common_genes_SUB1
3,1.5454545454545454,Clustered,55225,RAVER2,down_common_genes_SUB1
3,1.5454545454545454,Clustered,6594,SMARCA1,down_common_genes_SUB1
3,1.5454545454545454,Clustered,3646,EIF3E,down_common_genes_SUB1
3,1.5454545454545454,Clustered,2264,FGFR4,down_common_genes_SUB1
3,1.5454545454545454,Clustered,57473,ZNF512B,down_common_genes_SUB1
3,1.5454545454545454,Clustered,1107,CHD3,down_common_genes_SUB1
4,1.0,Clustered,2631,NIPSNAP2,down_common_genes_SUB1
