_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
0,0,0,1,1,1,0,0,0,0,0,-12,-15,-10,0,0,M39135,M00011100,3,0,Cell Type Signatures,7,AIZARANI LIVER C39 EPCAM POS BILE DUCT CELLS 4,,-15,13,14,30286,184,246,19,7.7,1.7,1906|2316|3315|3624|3688|3918|3976|4134|4627|4739|6282|7168|7171|10272|27063|51330|55740|56937|80176,EDN1|FLNA|HSPB1|INHBA|ITGB1|LAMC2|LIF|MAP4|MYH9|NEDD9|S100A11|TPM1|TPM4|FSTL3|ANKRD1|TNFRSF12A|ENAH|PMEPA1|SPSB1,-12,0
0,0,1,1,1,1,0,0,0,0,-4.4,-14,-6.5,-4.8,0,0,M39051,M00111100,4,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HMGL,,-14,5.6,11,30286,577,301,32,11,1.8,602|677|960|1326|1435|1508|2040|2995|3162|3337|3383|3572|3659|4354|5359|5734|5872|6303|6648|6776|6778|8878|9249|10184|51274|54625|57175|79180|83937|84002|113791|148932,BCL3|ZFP36L1|CD44|MAP3K8|CSF1|CTSB|STOM|GYPC|HMOX1|DNAJB1|ICAM1|IL6ST|IRF1|MPP1|PLSCR1|PTGER4|RAB13|SAT1|SOD2|STAT5A|STAT6|SQSTM1|DHRS3|LHFPL2|KLF3|PARP14|CORO1B|EFHD2|RASSF4|B3GNT5|PIK3IP1|MOB3C,-11,0
0,0,0,1,1,1,0,1,0,0,0,-4.3,-14,-4,0,-2.1,M39302,M00011101,4,0,Cell Type Signatures,7,CUI DEVELOPING HEART C5 VALVAR CELL,,-14,11,13,30286,208,246,19,7.7,1.7,87|633|1462|1959|3726|4053|4616|4739|5743|6876|6990|7280|8870|10085|27295|29995|55740|80149|140606,ACTN1|BGN|VCAN|EGR2|JUNB|LTBP2|GADD45B|NEDD9|PTGS2|TAGLN|DYNLT3|TUBB2A|IER3|EDIL3|PDLIM3|LMCD1|ENAH|ZC3H12A|SELENOM,-11,0
1,0,0,1,1,1,0,0,-2.5,0,0,-6.1,-14,-4,0,0,M41691,M10011100,4,0,Cell Type Signatures,7,TRAVAGLINI LUNG PLATELET MEGAKARYOCYTE CELL,,-14,5.9,11,30286,604,246,29,12,2.1,60|87|800|2316|3480|3611|3688|3987|4097|4627|4637|5270|5534|6251|7094|7168|7171|8407|8572|9911|10049|10092|10398|10487|25932|26052|26994|51177|80790,ACTB|ACTN1|CALD1|FLNA|IGF1R|ILK|ITGB1|LIMS1|MAFG|MYH9|MYL6|SERPINE2|PPP3R1|RSU1|TLN1|TPM1|TPM4|TAGLN2|PDLIM4|TMCC2|DNAJB6|ARPC5|MYL9|CAP1|CLIC4|DNM3|RNF11|PLEKHO1|CMIP,-11,0
0,0,0,0,1,0,0,1,0,0,0,0,-13,0,0,-2.4,M39132,M00001001,2,0,Cell Type Signatures,7,AIZARANI LIVER C33 STELLATE CELLS 2,,-13,15,14,30286,126,246,15,6.1,1.5,633|800|1277|1282|1289|2316|3688|4627|7094|7168|7171|10398|23022|55740|64943,BGN|CALD1|COL1A1|COL4A1|COL5A1|FLNA|ITGB1|MYH9|TLN1|TPM1|TPM4|MYL9|PALLD|ENAH|NT5DC2,-9.8,0
0,0,0,0,1,0,0,0,0,0,0,0,-13,0,0,0,M41673,M00001000,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG MYOFIBROBLAST CELL,,-13,23,16,30286,65,246,12,4.9,1.4,481|1277|1303|1462|1490|3371|4053|4739|7045|27295|56034|115908,ATP1B1|COL1A1|COL12A1|VCAN|CCN2|TNC|LTBP2|NEDD9|TGFBI|PDLIM3|PDGFC|CTHRC1,-9.7,0
0,0,0,1,1,0,0,0,0,0,0,-4.6,-12,0,0,0,M39321,M00011000,2,0,Cell Type Signatures,7,CUI DEVELOPING HEART VASCULAR ENDOTHELIAL CELL,,-12,11,12,30286,193,246,17,6.9,1.6,388|633|965|1277|1289|2354|3726|4053|4616|4627|5054|5270|6498|9144|9902|55679|140606,RHOB|BGN|CD58|COL1A1|COL5A1|FOSB|JUNB|LTBP2|GADD45B|MYH9|SERPINE1|SERPINE2|SKIL|SYNGR2|MRC2|LIMS2|SELENOM,-9.3,0
1,0,1,0,1,1,0,0,-2.1,0,-2.4,0,-12,-2.8,0,0,M39122,M10101100,4,0,Cell Type Signatures,7,AIZARANI LIVER C21 STELLATE CELLS 1,,-12,11,12,30286,194,246,17,6.9,1.6,87|633|800|1277|1282|1289|1465|1490|2354|3315|3688|3726|5054|7171|8870|10398|23022,ACTN1|BGN|CALD1|COL1A1|COL4A1|COL5A1|CSRP1|CCN2|FOSB|HSPB1|ITGB1|JUNB|SERPINE1|TPM4|IER3|MYL9|PALLD,-9.3,0
1,1,1,1,0,1,1,1,-4,-3.5,-3.3,-12,0,-5.3,-2.2,-3,M41679,M11110111,7,0,Cell Type Signatures,7,TRAVAGLINI LUNG MESOTHELIAL CELL,,-12,4.8,9.8,30286,649,301,31,10,1.8,602|1593|2051|2296|3572|3956|5359|5696|5698|5872|6277|6303|6372|6385|6648|7114|7162|7321|7412|9076|9111|9246|10184|11282|23286|23780|27242|29766|55620|57568|375449,BCL3|CYP27A1|EPHB6|FOXC1|IL6ST|LGALS1|PLSCR1|PSMB8|PSMB9|RAB13|S100A6|SAT1|CXCL6|SDC4|SOD2|TMSB4X|TPBG|UBE2D1|VCAM1|CLDN1|NMI|UBE2L6|LHFPL2|MGAT4B|WWC1|APOL2|TNFRSF21|TMOD3|STAP2|SIPA1L2|MAST4,-9.2,0
0,0,0,0,1,0,0,1,0,0,0,0,-12,0,0,-2.1,M39279,M00001001,2,0,Cell Type Signatures,7,DURANTE ADULT OLFACTORY NEUROEPITHELIUM VASCULAR SMOOTH MUSCLE CELLS,,-12,17,14,30286,93,246,13,5.3,1.4,388|800|1264|1465|2316|3726|4616|4637|6876|7168|10398|23022|27295,RHOB|CALD1|CNN1|CSRP1|FLNA|JUNB|GADD45B|MYL6|TAGLN|TPM1|MYL9|PALLD|PDLIM3,-9.2,0
