_MEMBER_modules_epi_black_sorted_top300,_MEMBER_modules_epi_blue_sorted_top300,_MEMBER_modules_epi_pink_sorted_top300,_MEMBER_modules_epi_red_sorted_top300,_MEMBER_modules_epi_turquoise_sorted_top300,_MEMBER_modules_epi_yellow_sorted_top300,_LogP_modules_epi_black_sorted_top300,_LogP_modules_epi_blue_sorted_top300,_LogP_modules_epi_pink_sorted_top300,_LogP_modules_epi_red_sorted_top300,_LogP_modules_epi_turquoise_sorted_top300,_LogP_modules_epi_yellow_sorted_top300,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,0,1,0,0,0,-8,0,-20,0,0,0,C0375023,M101000,2,0,DisGeNET,35,Respiratory syncytial virus (RSV) infection in conditions classified elsewhere and of unspecified site,,-20,7.6,14,30293,467,299,35,12,1.9,567|684|1080|2638|3105|3627|3684|3934|4045|4327|4790|5696|5698|5743|6364|6374|6376|6646|6774|6890|7096|7098|7157|7292|7412|8741|9641|10970|25897|26298|27074|51284|64127|64135|130367,B2M|BST2|CFTR|GC|HLA-A|CXCL10|ITGAM|LCN2|LSAMP|MMP19|NFKB1|PSMB8|PSMB9|PTGS2|CCL20|CXCL5|CX3CL1|SOAT1|STAT3|TAP1|TLR1|TLR3|TP53|TNFSF4|VCAM1|TNFSF13|IKBKE|CKAP4|RNF19A|EHF|LAMP3|TLR7|NOD2|IFIH1|SGPP2,-17,0
1,0,1,0,0,0,-4.8,0,-18,0,0,0,C0011311,M101000,2,0,DisGeNET,35,Dengue Fever,,-18,8.4,14,30293,360,299,30,10,1.7,103|637|684|2537|2638|2811|3105|3627|4045|4790|4940|5743|6373|6646|6774|6890|6891|7096|7097|7098|7157|7412|8542|8743|9294|9641|10410|27074|64135|115004,ADAR|BID|BST2|IFI6|GC|GP1BA|HLA-A|CXCL10|LSAMP|NFKB1|OAS3|PTGS2|CXCL11|SOAT1|STAT3|TAP1|TAP2|TLR1|TLR2|TLR3|TP53|VCAM1|APOL1|TNFSF10|S1PR2|IKBKE|IFITM3|LAMP3|IFIH1|CGAS,-15,0
1,0,1,0,1,0,-9.2,0,-17,0,-2.3,0,C0038013,M101010,3,0,DisGeNET,35,Ankylosing spondylitis,,-17,5.6,12,30293,710,299,39,13,1.9,718|972|1435|1605|2638|3105|3437|3486|3684|4790|5167|5696|5698|5743|6374|6621|6646|6774|6890|6891|6892|7096|7097|7098|7128|7133|7297|8743|9235|10148|11074|25897|51284|51752|53347|64127|64135|64167|84876,C3|CD74|CSF1|DAG1|GC|HLA-A|IFIT3|IGFBP3|ITGAM|NFKB1|ENPP1|PSMB8|PSMB9|PTGS2|CXCL5|SNAPC4|SOAT1|STAT3|TAP1|TAP2|TAPBP|TLR1|TLR2|TLR3|TNFAIP3|TNFRSF1B|TYK2|TNFSF10|IL32|EBI3|TRIM31|RNF19A|TLR7|ERAP1|UBASH3A|NOD2|IFIH1|ERAP2|ORAI1,-14,0
1,0,1,0,1,1,-2.5,0,-17,0,-2.1,-3.6,C0036202,M101011,4,0,DisGeNET,35,Sarcoidosis,,-17,7.4,13,30293,413,299,30,10,1.7,567|1080|1435|2638|3105|3627|3684|3934|5696|5698|5743|6364|6373|6374|6376|6646|6774|6890|6891|7096|7097|7098|7133|7297|8741|23308|51284|58191|64127|259307,B2M|CFTR|CSF1|GC|HLA-A|CXCL10|ITGAM|LCN2|PSMB8|PSMB9|PTGS2|CCL20|CXCL11|CXCL5|CX3CL1|SOAT1|STAT3|TAP1|TAP2|TLR1|TLR2|TLR3|TNFRSF1B|TYK2|TNFSF13|ICOSLG|TLR7|CXCL16|NOD2|IL4I1,-14,0
1,0,1,0,0,1,-9.9,0,-17,0,0,-3.7,C0011615,M101001,3,0,DisGeNET,35,"Dermatitis, Atopic",,-17,5.3,12,30293,751,299,39,13,1.9,718|1435|3459|3627|3684|3934|4050|4790|5144|5743|5971|6364|6376|6646|6774|6890|6891|7096|7097|7098|7128|7133|7157|7297|7412|8741|8876|8942|9235|10148|10970|23308|25897|51752|53347|64127|64135|64167|84876,C3|CSF1|IFNGR1|CXCL10|ITGAM|LCN2|LTB|NFKB1|PDE4D|PTGS2|RELB|CCL20|CX3CL1|SOAT1|STAT3|TAP1|TAP2|TLR1|TLR2|TLR3|TNFAIP3|TNFRSF1B|TP53|TYK2|VCAM1|TNFSF13|VNN1|KYNU|IL32|EBI3|CKAP4|ICOSLG|RNF19A|ERAP1|UBASH3A|NOD2|IFIH1|ERAP2|ORAI1,-13,0
1,0,1,0,1,1,-5.5,0,-16,0,-2.3,-2.8,C0024143,M101011,4,0,DisGeNET,35,Lupus Nephritis,,-16,6.4,12,30293,503,299,32,11,1.8,567|716|718|972|1435|1520|2638|3627|3684|3934|4599|4790|5696|5698|5743|6376|6774|7097|7098|7128|7292|7412|7805|8542|8741|9235|23308|25897|51284|55717|58191|64135,B2M|C1S|C3|CD74|CSF1|CTSS|GC|CXCL10|ITGAM|LCN2|MX1|NFKB1|PSMB8|PSMB9|PTGS2|CX3CL1|STAT3|TLR2|TLR3|TNFAIP3|TNFSF4|VCAM1|LAPTM5|APOL1|TNFSF13|IL32|ICOSLG|RNF19A|TLR7|WDR11|CXCL16|IFIH1,-13,0
1,0,1,0,0,0,-4.8,0,-15,0,0,0,C0151449,M101000,2,0,DisGeNET,35,Primary Sjögren's syndrome,,-15,8.1,13,30293,312,299,25,8.4,1.6,567|684|1520|3105|3627|3934|4050|4790|5698|5743|6373|6646|6774|6891|7096|7097|7098|7128|7157|7292|9641|10148|10970|51284|64135,B2M|BST2|CTSS|HLA-A|CXCL10|LCN2|LTB|NFKB1|PSMB9|PTGS2|CXCL11|SOAT1|STAT3|TAP2|TLR1|TLR2|TLR3|TNFAIP3|TP53|TNFSF4|IKBKE|EBI3|CKAP4|TLR7|IFIH1,-12,0
1,0,1,1,0,1,-15,0,-15,-2.4,0,-6.3,C3714514,M101101,4,0,DisGeNET,35,Infection,,-15,6.2,12,30293,491,299,30,10,1.7,103|1080|3105|3459|3627|4599|4790|5696|5743|6364|6374|6732|6774|6890|6891|7096|7097|7098|7133|7157|7412|8743|9308|9641|22809|51284|60489|64135|150372|200316,ADAR|CFTR|HLA-A|IFNGR1|CXCL10|MX1|NFKB1|PSMB8|PTGS2|CCL20|CXCL5|SRPK1|STAT3|TAP1|TAP2|TLR1|TLR2|TLR3|TNFRSF1B|TP53|VCAM1|TNFSF10|CD83|IKBKE|ATF5|TLR7|APOBEC3G|IFIH1|NFAM1|APOBEC3F,-12,0
1,0,1,0,0,0,-7.7,0,-14,0,0,0,C1527336,M101000,2,0,DisGeNET,35,Sjogren's Syndrome,,-14,6.1,11,30293,481,299,29,9.7,1.7,718|1080|1520|3105|3604|3627|4790|5021|5696|5698|6373|6376|6646|6774|6890|6891|7128|7157|7412|7805|8741|9582|9641|10148|10475|10970|29108|51284|55540,C3|CFTR|CTSS|HLA-A|TNFRSF9|CXCL10|NFKB1|OXTR|PSMB8|PSMB9|CXCL11|CX3CL1|SOAT1|STAT3|TAP1|TAP2|TNFAIP3|TP53|VCAM1|LAPTM5|TNFSF13|APOBEC3B|IKBKE|EBI3|TRIM38|CKAP4|PYCARD|TLR7|IL17RB,-11,0
1,0,1,1,0,1,-2.4,0,-14,-2.1,0,-2.4,C0024530,M101101,4,0,DisGeNET,35,Malaria,,-14,5,11,30293,684,299,34,11,1.8,718|1435|2235|2533|3105|3416|3459|3627|3684|3934|4045|4050|4791|5698|5743|6373|6374|6890|7096|7097|7098|7133|7157|8506|8876|9582|9734|10148|25897|27074|51284|51752|64135|115004,C3|CSF1|FECH|FYB1|HLA-A|IDE|IFNGR1|CXCL10|ITGAM|LCN2|LSAMP|LTB|NFKB2|PSMB9|PTGS2|CXCL11|CXCL5|TAP1|TLR1|TLR2|TLR3|TNFRSF1B|TP53|CNTNAP1|VNN1|APOBEC3B|HDAC9|EBI3|RNF19A|LAMP3|TLR7|ERAP1|IFIH1|CGAS,-11,0
1,1,1,0,0,1,-3.5,-3,-14,0,0,-3.5,C0019158,M111001,4,0,DisGeNET,35,Hepatitis,,-14,5.1,11,30293,656,299,33,11,1.8,103|567|716|843|1302|2530|3105|3604|3627|3684|3934|4045|4790|5284|5743|6364|6373|6689|6774|7097|7098|7157|7412|8743|9235|9536|25897|27074|51284|60489|64127|64135|84818,ADAR|B2M|C1S|CASP10|COL11A2|FUT8|HLA-A|TNFRSF9|CXCL10|ITGAM|LCN2|LSAMP|NFKB1|PIGR|PTGS2|CCL20|CXCL11|SPIB|STAT3|TLR2|TLR3|TP53|VCAM1|TNFSF10|IL32|PTGES|RNF19A|LAMP3|TLR7|APOBEC3G|NOD2|IFIH1|IL17RC,-11,0
1,0,1,0,0,1,-4.4,0,-14,0,0,-3.8,C1290884,M101001,3,0,DisGeNET,35,Inflammatory disorder,,-14,6.7,11,30293,391,299,26,8.7,1.6,103|567|1080|1435|3105|3627|3934|4790|5144|5696|5698|5699|5743|6364|6774|7097|7098|7128|7412|8743|9050|9235|9536|25897|51752|64127,ADAR|B2M|CFTR|CSF1|HLA-A|CXCL10|LCN2|NFKB1|PDE4D|PSMB8|PSMB9|PSMB10|PTGS2|CCL20|STAT3|TLR2|TLR3|TNFAIP3|VCAM1|TNFSF10|PSTPIP2|IL32|PTGES|RNF19A|ERAP1|NOD2,-11,0
1,0,1,0,1,1,-6.8,0,-14,0,-2.3,-2.8,C0004943,M101011,4,0,DisGeNET,35,Behcet Syndrome,,-14,5.9,11,30293,502,299,29,9.7,1.7,1435|3105|3627|3684|4790|5696|6364|6374|6376|6646|6774|6890|6891|7096|7097|7128|7133|7157|7292|7297|7412|8741|9235|9308|29108|51284|51752|64127|64167,CSF1|HLA-A|CXCL10|ITGAM|NFKB1|PSMB8|CCL20|CXCL5|CX3CL1|SOAT1|STAT3|TAP1|TAP2|TLR1|TLR2|TNFAIP3|TNFRSF1B|TP53|TNFSF4|TYK2|VCAM1|TNFSF13|IL32|CD83|PYCARD|TLR7|ERAP1|NOD2|ERAP2,-11,0
1,1,1,1,1,1,-7.3,-3.6,-13,-4.1,-2.6,-3.1,C0021368,M111111,6,0,DisGeNET,35,Inflammation,,-13,6.1,11,30293,467,299,28,9.4,1.7,103|718|1080|1435|3604|3627|3934|4790|5743|6364|6373|6376|6774|7097|7098|7128|7157|7412|8741|8743|8942|9235|9308|9536|26298|51284|58191|64127,ADAR|C3|CFTR|CSF1|TNFRSF9|CXCL10|LCN2|NFKB1|PTGS2|CCL20|CXCL11|CX3CL1|STAT3|TLR2|TLR3|TNFAIP3|TP53|VCAM1|TNFSF13|TNFSF10|KYNU|IL32|CD83|PTGES|EHF|TLR7|CXCL16|NOD2,-11,0
1,0,1,0,0,0,-6.3,0,-13,0,0,0,C0018213,M101000,2,0,DisGeNET,35,Graves Disease,,-13,5.4,11,30293,585,299,31,10,1.8,637|2638|3105|3627|3684|4050|4790|4791|5696|5698|6364|6373|6752|6774|6890|6891|7096|7097|7128|7133|7157|7412|9308|10148|23308|51284|53347|53905|55717|64135|144165,BID|GC|HLA-A|CXCL10|ITGAM|LTB|NFKB1|NFKB2|PSMB8|PSMB9|CCL20|CXCL11|SSTR2|STAT3|TAP1|TAP2|TLR1|TLR2|TNFAIP3|TNFRSF1B|TP53|VCAM1|CD83|EBI3|ICOSLG|TLR7|UBASH3A|DUOX1|WDR11|IFIH1|PRICKLE1,-11,0
1,0,1,1,0,1,-8.7,0,-13,-4.1,0,-2.8,C3714636,M101101,4,0,DisGeNET,35,Pneumonitis,,-13,4.8,10,30293,696,299,33,11,1.8,101|972|1080|1435|1520|3627|4790|4791|4940|5724|5743|6364|6374|6376|6558|6774|7097|7098|7128|7133|7157|7292|7412|8190|8835|9294|9466|9536|23308|25897|54361|64127|64135,ADAM8|CD74|CFTR|CSF1|CTSS|CXCL10|NFKB1|NFKB2|OAS3|PTAFR|PTGS2|CCL20|CXCL5|CX3CL1|SLC12A2|STAT3|TLR2|TLR3|TNFAIP3|TNFRSF1B|TP53|TNFSF4|VCAM1|MIA|SOCS2|S1PR2|IL27RA|PTGES|ICOSLG|RNF19A|WNT4|NOD2|IFIH1,-10,0
1,1,1,1,0,1,-13,-2.5,-9.2,-2.9,0,-3.8,C0004623,M111101,5,0,DisGeNET,35,Bacterial Infections,,-13,5.1,10,30293,616,300,31,10,1.8,12|102|374|650|1540|2643|2919|2920|3162|3383|3576|3656|4792|4938|5371|5879|5880|5970|6385|7035|7100|8740|8767|8809|8837|8887|10019|10254|25833|29887|83666,SERPINA3|ADAM10|AREG|BMP2|CYLD|GCH1|CXCL1|CXCL2|HMOX1|ICAM1|CXCL8|IRAK2|NFKBIA|OAS1|PML|RAC1|RAC2|RELA|SDC4|TFPI|TLR5|TNFSF14|RIPK2|IL18R1|CFLAR|TAX1BP1|SH2B3|STAM2|POU2F3|SNX10|PARP9,-10,0
1,1,1,1,1,0,-4.1,-6.3,-13,-5.1,-3.1,0,C0162871,M111110,5,0,DisGeNET,35,"Aortic Aneurysm, Abdominal",,-13,5.2,10,30293,585,299,30,10,1.7,101|718|1435|1520|3105|3384|3684|3934|4050|4856|5696|5743|6364|6376|6524|6774|7097|7098|7157|7412|8942|9536|10148|25897|26298|29108|53905|54331|58191|64135,ADAM8|C3|CSF1|CTSS|HLA-A|ICAM2|ITGAM|LCN2|LTB|CCN3|PSMB8|PTGS2|CCL20|CX3CL1|SLC5A2|STAT3|TLR2|TLR3|TP53|VCAM1|KYNU|PTGES|EBI3|RNF19A|EHF|PYCARD|DUOX1|GNG2|CXCL16|IFIH1,-10,0
1,0,1,0,1,1,-2.9,0,-13,0,-2,-2.4,C0024138,M101011,4,0,DisGeNET,35,"Lupus Erythematosus, Discoid",,-13,5.3,10,30293,552,299,29,9.7,1.7,684|718|1435|2537|3604|3627|3684|3934|4790|5743|5971|6376|6774|7097|7128|7133|7157|7292|7297|7412|8542|8741|9734|10475|25897|51284|53905|64135|115004,BST2|C3|CSF1|IFI6|TNFRSF9|CXCL10|ITGAM|LCN2|NFKB1|PTGS2|RELB|CX3CL1|STAT3|TLR2|TNFAIP3|TNFRSF1B|TP53|TNFSF4|TYK2|VCAM1|APOL1|TNFSF13|HDAC9|TRIM38|RNF19A|TLR7|DUOX1|IFIH1|CGAS,-9.8,0
1,0,1,0,1,1,-2.2,0,-12,0,-2.2,-2.6,C0024131,M101011,4,0,DisGeNET,35,Lupus Vulgaris,,-12,5.4,10,30293,526,299,28,9.4,1.7,684|718|1435|2537|3604|3627|3684|3934|4790|5743|5971|6376|6774|7097|7128|7133|7292|7297|7412|8542|8741|9734|10475|25897|51284|53905|64135|115004,BST2|C3|CSF1|IFI6|TNFRSF9|CXCL10|ITGAM|LCN2|NFKB1|PTGS2|RELB|CX3CL1|STAT3|TLR2|TNFAIP3|TNFRSF1B|TNFSF4|TYK2|VCAM1|APOL1|TNFSF13|HDAC9|TRIM38|RNF19A|TLR7|DUOX1|IFIH1|CGAS,-9.6,0
