GO,Description,_LogP_modules_epi_black_sorted_top300,_LogP_modules_epi_blue_sorted_top300,_LogP_modules_epi_pink_sorted_top300,_LogP_modules_epi_red_sorted_top300,_LogP_modules_epi_turquoise_sorted_top300,_LogP_modules_epi_yellow_sorted_top300
PGB:00101,Tissue-specific: Colorectal adenocarcinoma,0.0,0.0,-3.1508628525358504,-2.1099481512144562,-2.1099481512144562,0.0
PGB:00018,Tissue-specific: lung,0.0,0.0,-3.318699239850043,0.0,-2.363582973742154,0.0
PGB:00041,Tissue-specific: Blood,0.0,0.0,-7.732505472966948,0.0,-2.5583168229552204,-3.1712204770367265
PGB:00011,Tissue-specific: spleen,-3.287278091191597,0.0,-3.3015889244999803,0.0,0.0,0.0
PGB:00015,Tissue-specific: Smooth Muscle,-7.087064462481992,0.0,0.0,0.0,-4.115424800330111,-2.4364502888634263
PGB:00031,Cell-specific: HUVEC,-2.3833694033489903,0.0,0.0,0.0,-4.637854249801226,-2.3833694033489903
PGB:00081,Cell-specific: Bronchial Epithelial Cells,-5.01679827359731,0.0,0.0,0.0,-3.349259066178766,-7.879484853790966
PGB:00120,Cell-specific: Cardiac Myocytes,-3.4917381346702405,0.0,0.0,-4.5425926353045325,-3.4917381346702405,-2.5266653009848983
PGB:00007,Tissue-specific: colon,0.0,-4.446503013123596,0.0,-2.670615637620784,-2.162176706714105,0.0
PGB:00014,Cell-specific: DRG,0.0,-2.682332296932551,0.0,0.0,-3.687611613534082,0.0
PGB:00068,Tissue-specific: Stomach,0.0,-2.8907277279880077,0.0,0.0,0.0,0.0
PGB:00078,Cell-specific: liver cell,0.0,-11.20305429807856,0.0,-5.454096273719841,0.0,0.0
PGB:00001,Tissue-specific: liver,0.0,-23.003373530810503,0.0,-5.179087594592646,0.0,0.0
PGB:00002,Cell-specific: HEPG2,0.0,-16.333336003960518,0.0,-6.521307461048944,0.0,0.0
PGB:00049,Cell-specific: Adipocyte,0.0,-4.829797490369337,0.0,-4.818320092296222,0.0,0.0
PGB:00115,Cell-specific: CD33+ Myeloid,-3.145456029042195,0.0,0.0,-2.1099481512144562,0.0,0.0
PGB:00082,Cell-specific: Breast cell,-2.665179619364117,-2.6704293171059263,0.0,-3.6701296515483373,0.0,0.0
PGB:00026,Cell-specific: CD71+ EarlyErythroid,0.0,0.0,0.0,-3.1842825456794617,0.0,0.0
PGB:00071,Cell-specific: Vaginal Epithelial,0.0,0.0,0.0,-3.7958136858945903,0.0,0.0
PGB:00045,Tissue-specific: placenta,0.0,0.0,0.0,-3.0002487376752587,-2.447523586548834,0.0
