_MEMBER_modules_epi_black_sorted_top300,_MEMBER_modules_epi_blue_sorted_top300,_MEMBER_modules_epi_pink_sorted_top300,_MEMBER_modules_epi_red_sorted_top300,_MEMBER_modules_epi_turquoise_sorted_top300,_MEMBER_modules_epi_yellow_sorted_top300,_LogP_modules_epi_black_sorted_top300,_LogP_modules_epi_blue_sorted_top300,_LogP_modules_epi_pink_sorted_top300,_LogP_modules_epi_red_sorted_top300,_LogP_modules_epi_turquoise_sorted_top300,_LogP_modules_epi_yellow_sorted_top300,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
0,1,0,1,0,0,0,-23,0,-5.2,0,0,PGB:00001,M010100,2,0,PaGenBase,36,Tissue-specific: liver,,-23,6.6,15,30293,692,299,45,15,2.1,283|335|336|341|350|415|433|727|949|1312|2147|2330|2584|2593|2705|2720|3026|3170|3171|3249|3698|5345|5950|6414|6519|6576|6641|6819|7104|7358|7923|8309|8431|8501|9368|10682|11199|11309|51085|55937|57715|92840|93100|127845|388323,ANG|APOA1|APOA2|APOC1|APOH|ARSL|ASGR2|C5|SCARB1|COMT|F2|FMO5|GALK1|GAMT|GJB1|GLB1|HABP2|FOXA2|FOXA3|HPN|ITIH2|SERPINF2|RBP4|SELENOP|SLC3A1|SLC25A1|SNTB1|SULT1C2|TM4SF4|UGDH|HSD17B8|ACOX2|NR0B2|SLC43A1|NHERF1|EBP|ANXA10|SLCO2B1|MLXIPL|APOM|SEMA4G|REEP6|NAPRT|GOLT1A|GLTPD2,-19,0
0,1,0,1,0,0,0,-16,0,-6.5,0,0,PGB:00002,M010100,2,0,PaGenBase,36,Cell-specific: HEPG2,,-16,7.2,13,30293,425,299,30,10,1.7,174|283|335|341|350|364|433|727|1728|2109|2147|2264|2330|2593|2705|3170|3249|3698|5345|5867|5950|6641|7276|7358|8416|8431|10205|10551|55937|57715,AFP|ANG|APOA1|APOC1|APOH|AQP7|ASGR2|C5|NQO1|ETFB|F2|FGFR4|FMO5|GAMT|GJB1|FOXA2|HPN|ITIH2|SERPINF2|RAB4A|RBP4|SNTB1|TTR|UGDH|ANXA9|NR0B2|MPZL2|AGR2|APOM|SEMA4G,-13,0
0,1,0,1,0,0,0,-11,0,-5.5,0,0,PGB:00078,M010100,2,0,PaGenBase,36,Cell-specific: liver cell,,-11,14,13,30293,91,299,13,4.3,1.2,174|335|336|350|2147|2330|3698|4069|5176|5950|6414|7276|55937,AFP|APOA1|APOA2|APOH|F2|FMO5|ITIH2|LYZ|SERPINF1|RBP4|SELENOP|TTR|APOM,-8.7,0
1,0,0,0,1,1,-5,0,0,0,-3.3,-7.9,PGB:00081,M100011,3,0,PaGenBase,36,Cell-specific: Bronchial Epithelial Cells,,-7.9,8.8,9.2,30293,137,300,12,4,1.1,858|2707|3675|3728|3909|5792|5796|7262|29984|51474|55612|140576,CAV2|GJB3|ITGA3|JUP|LAMA3|PTPRF|PTPRK|PHLDA2|RHOD|LIMA1|FERMT1|S100A16,-5.8,0
0,0,1,0,1,1,0,0,-7.7,0,-2.6,-3.2,PGB:00041,M001011,3,0,PaGenBase,36,Tissue-specific: Blood,,-7.7,6.4,8.3,30293,239,299,15,5,1.3,101|637|1520|2533|5698|7096|7097|7127|7133|7805|8743|9111|23092|64127|83593,ADAM8|BID|CTSS|FYB1|PSMB9|TLR1|TLR2|TNFAIP2|TNFRSF1B|LAPTM5|TNFSF10|NMI|ARHGAP26|NOD2|RASSF5,-5.7,0
1,0,0,0,1,1,-7.1,0,0,0,-4.1,-2.4,PGB:00015,M100011,3,0,PaGenBase,36,Tissue-specific: Smooth Muscle,,-7.1,9.8,9,30293,103,300,10,3.3,1,2131|2919|2921|3576|4312|8767|9019|54431|55332|81688,EXT1|CXCL1|CXCL3|CXCL8|MMP1|RIPK2|MPZL1|DNAJC10|DRAM1|C6orf62,-5.1,0
0,1,0,1,0,0,0,-4.8,0,-4.8,0,0,PGB:00049,M010100,2,0,PaGenBase,36,Cell-specific: Adipocyte,,-4.8,6.3,6.4,30293,145,299,9,3,0.99,48|283|2752|4128|5950|10062|51449|54884|55902,ACO1|ANG|GLUL|MAOA|RBP4|NR1H3|PCYOX1|RETSAT|ACSS2,-3.3,0
1,0,0,0,1,1,-2.4,0,0,0,-4.6,-2.4,PGB:00031,M100011,3,0,PaGenBase,36,Cell-specific: HUVEC,,-4.6,3.8,5.4,30293,371,300,14,4.7,1.2,390|2771|4131|4133|4319|5155|6498|7042|7798|7980|9260|26064|80256|399664,RND3|GNAI2|MAP1B|MAP2|MMP10|PDGFB|SKIL|TGFB2|LUZP1|TFPI2|PDLIM7|RAI14|ATOSB|MEX3D,-3.2,0
1,0,0,1,1,1,-3.5,0,0,-4.5,-3.5,-2.5,PGB:00120,M100111,4,0,PaGenBase,36,Cell-specific: Cardiac Myocytes,,-4.5,10,7.1,30293,60,300,6,2,0.81,558|633|2590|4237|4745|64175,AXL|BGN|GALNT2|MFAP2|NELL1|P3H1,-3.1,0
0,1,0,1,1,0,0,-4.4,0,-2.7,-2.2,0,PGB:00007,M010110,3,0,PaGenBase,36,Tissue-specific: colon,,-4.4,3.9,5.3,30293,338,299,13,4.3,1.2,7033|7103|10331|10551|27134|50853|51085|56649|79170|81693|83998|132014|401546,TFF3|TSPAN8|B3GNT3|AGR2|TJP3|VILL|MLXIPL|TMPRSS4|PRR15L|AMN|REG4|IL17RE|C9orf152,-3,0
