_MEMBER_modules_epi_black_sorted_top300,_MEMBER_modules_epi_blue_sorted_top300,_MEMBER_modules_epi_pink_sorted_top300,_MEMBER_modules_epi_red_sorted_top300,_MEMBER_modules_epi_turquoise_sorted_top300,_MEMBER_modules_epi_yellow_sorted_top300,_LogP_modules_epi_black_sorted_top300,_LogP_modules_epi_blue_sorted_top300,_LogP_modules_epi_pink_sorted_top300,_LogP_modules_epi_red_sorted_top300,_LogP_modules_epi_turquoise_sorted_top300,_LogP_modules_epi_yellow_sorted_top300,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,0,1,1,1,1,-11,0,-22,-2.7,-2.2,-3.3,TRR01158,M101111,5,0,TRRUST,34,Regulated by: RELA,,-22,10,17,30293,334,299,33,11,1.8,972|1080|1435|3105|3604|3627|3934|4790|5021|5284|5698|5699|5724|5743|6364|6374|6774|6890|6891|6892|7097|7098|7128|7157|7412|8743|9308|9536|9734|10148|51284|51752|64167,CD74|CFTR|CSF1|HLA-A|TNFRSF9|CXCL10|LCN2|NFKB1|OXTR|PIGR|PSMB9|PSMB10|PTAFR|PTGS2|CCL20|CXCL5|STAT3|TAP1|TAP2|TAPBP|TLR2|TLR3|TNFAIP3|TP53|VCAM1|TNFSF10|CD83|PTGES|HDAC9|EBI3|TLR7|ERAP1|ERAP2,-19,0
1,0,1,1,1,1,-11,0,-21,-3.2,-3.2,-3.8,TRR00875,M101111,5,0,TRRUST,34,Regulated by: NFKB1,,-21,9.5,16,30293,340,299,32,11,1.8,567|972|1080|1435|3604|3627|3934|4790|5284|5698|5699|5724|5743|6364|6374|6890|6891|6892|7097|7098|7128|7157|7412|8743|9308|9536|9734|10148|51284|51752|64127|64167,B2M|CD74|CFTR|CSF1|TNFRSF9|CXCL10|LCN2|NFKB1|PIGR|PSMB9|PSMB10|PTAFR|PTGS2|CCL20|CXCL5|TAP1|TAP2|TAPBP|TLR2|TLR3|TNFAIP3|TP53|VCAM1|TNFSF10|CD83|PTGES|HDAC9|EBI3|TLR7|ERAP1|NOD2|ERAP2,-18,0
0,0,1,0,0,0,0,0,-16,0,0,0,TRR00602,M001000,1,0,TRRUST,34,Regulated by: IRF1,,-16,26,18,30293,55,299,14,4.7,1.2,3105|3437|3627|5284|5698|5699|6890|6891|6892|7157|7412|8743|8835|64167,HLA-A|IFIT3|CXCL10|PIGR|PSMB9|PSMB10|TAP1|TAP2|TAPBP|TP53|VCAM1|TNFSF10|SOCS2|ERAP2,-13,0
1,0,1,0,0,0,-3.4,0,-9.7,0,0,0,TRR01275,M101000,2,0,TRRUST,34,Regulated by: STAT1,,-9.7,13,11,30293,96,299,12,4,1.1,1080|3437|3627|3934|5359|5698|5743|6646|6774|6890|7098|7157,CFTR|IFIT3|CXCL10|LCN2|PLSCR1|PSMB9|PTGS2|SOAT1|STAT3|TAP1|TLR3|TP53,-7.3,0
1,1,1,1,0,1,-4.1,-3.1,-4.1,-8.4,0,-2.2,TRR01256,M111101,5,0,TRRUST,34,Regulated by: SP1,,-8.4,4.4,7.9,30293,526,300,23,7.7,1.5,348|351|894|976|1384|1643|1958|2057|2064|2159|2353|2696|3481|3875|3880|4586|6594|7018|7040|7076|8714|10253|29956,APOE|APP|CCND2|ADGRE5|CRAT|DDB2|EGR1|EPOR|ERBB2|F10|FOS|GIPR|IGF2|KRT18|KRT19|MUC5AC|SMARCA1|TF|TGFB1|TIMP1|ABCC3|SPRY2|CERS2,-6.3,0
1,0,0,1,1,0,-8,0,0,-4.4,-2.9,0,TRR01277,M100110,3,0,TRRUST,34,Regulated by: STAT3,,-8,8.1,9.1,30293,162,300,13,4.3,1.2,355|374|2120|3162|3383|3454|3576|3659|3717|4312|4938|8462|8837,FAS|AREG|ETV6|HMOX1|ICAM1|IFNAR1|CXCL8|IRF1|JAK2|MMP1|OAS1|KLF11|CFLAR,-5.9,0
1,0,1,0,1,0,-5.9,0,-4.2,0,-5,0,TRR00645,M101010,3,0,TRRUST,34,Regulated by: JUN,,-5.9,6.5,7.2,30293,172,300,11,3.7,1.1,355|374|860|2950|3576|3696|3732|4312|5328|6648|8767,FAS|AREG|RUNX2|GSTP1|CXCL8|ITGB8|CD82|MMP1|PLAU|SOD2|RIPK2,-4.2,0
1,0,1,0,0,1,-5.8,0,-3,0,0,-3,TRR00877,M101001,3,0,TRRUST,34,Regulated by: NFKBIA,,-5.8,24,11,30293,21,300,5,1.7,0.74,355|3383|3576|4312|5970,FAS|ICAM1|CXCL8|MMP1|RELA,-4.1,0
0,0,0,0,1,0,0,0,0,0,-5.5,0,TRR00676,M000010,1,0,TRRUST,34,Regulated by: KLF6,,-5.5,21,9.8,30293,24,300,5,1.7,0.74,467|4318|5366|7980|51343,ATF3|MMP9|PMAIP1|TFPI2|FZR1,-3.8,0
0,0,0,0,1,0,0,0,0,0,-5.3,0,TRR01438,M000010,1,0,TRRUST,34,Regulated by: TWIST2,,-5.3,19,9.4,30293,26,300,5,1.7,0.74,960|1000|3611|3688|51343,CD44|CDH2|ILK|ITGB1|FZR1,-3.7,0
0,0,0,0,1,0,0,0,0,0,-4.6,0,TRR01244,M000010,1,0,TRRUST,34,Regulated by: SNAI2,,-4.6,22,9.1,30293,18,300,4,1.3,0.66,960|1000|4318|51343,CD44|CDH2|MMP9|FZR1,-3.1,0
