GO,Description,_LogP_modules_epi_black_sorted_top300,_LogP_modules_epi_blue_sorted_top300,_LogP_modules_epi_pink_sorted_top300,_LogP_modules_epi_red_sorted_top300,_LogP_modules_epi_turquoise_sorted_top300,_LogP_modules_epi_yellow_sorted_top300
M40276,DESCARTES FETAL PLACENTA AFP ALB POSITIVE CELLS,0.0,-21.307612309099035,0.0,-5.062673378904421,0.0,0.0
M40234,DESCARTES FETAL LIVER HEPATOBLASTS,0.0,-25.767006820375386,0.0,-5.515561774094189,0.0,0.0
M39118,AIZARANI LIVER C14 HEPATOCYTES 2,0.0,-18.286656583559175,0.0,-4.029552463619258,0.0,0.0
M39115,AIZARANI LIVER C11 HEPATOCYTES 1,0.0,-15.409651559506345,0.0,-5.717688842508289,0.0,0.0
M40287,DESCARTES FETAL SPLEEN AFP ALB POSITIVE CELLS,0.0,-24.051369614714975,0.0,-7.2536289298030585,0.0,0.0
M41652,TRAVAGLINI LUNG PROXIMAL BASAL CELL,0.0,-20.080504139428022,0.0,-3.2235956597563264,0.0,-2.7800753517811927
M39167,GAO LARGE INTESTINE ADULT CJ IMMUNE CELLS,0.0,0.0,0.0,-3.2449994046680097,-15.132594248964311,0.0
M40175,DESCARTES FETAL EYE CORNEAL AND CONJUNCTIVAL EPITHELIAL CELLS,-8.486679579249866,-6.796289578341683,-5.988787619010768,-17.48585988888016,0.0,-8.486679579249866
M40012,BUSSLINGER GASTRIC IMMATURE PIT CELLS,-4.3743996588767535,-15.505962507349782,0.0,-6.979719555206979,0.0,-7.928742519825056
M39174,MURARO PANCREAS ACINAR CELL,-22.867417355379953,-25.669818972144945,-10.23594649768395,-5.343039571191487,-4.322837151878916,-18.54468477110153
M39051,MANNO MIDBRAIN NEUROTYPES HMGL,-14.369899133424287,-7.072499404115613,-11.262304603857306,-4.140056291097481,-2.698089277297585,-7.695123968889258
M39037,FAN EMBRYONIC CTX OLIG,-14.889669683289034,-6.2326985780103925,-2.4408358296391355,-2.818400977299696,-11.233673343403941,-7.962338280542044
M39176,MURARO PANCREAS ENDOTHELIAL CELL,-3.5355426922208943,0.0,0.0,-5.413637211793361,-19.2386690209734,-8.329788944060136
M39175,MURARO PANCREAS MESENCHYMAL STROMAL CELL,-3.7681488222189548,0.0,0.0,-4.763171893231468,-44.87479407022055,-17.97155956196322
M39209,HAY BONE MARROW STROMAL,-2.7523674283711066,0.0,-3.61496784669226,-2.3670530279879367,-15.459367601600034,-3.5966840454654214
M41697,TRAVAGLINI LUNG EREG DENDRITIC CELL,-14.328058629959125,0.0,-4.673508591830443,-3.6152089540467873,-18.597292271095025,-11.191999626281497
M39135,AIZARANI LIVER C39 EPCAM POS BILE DUCT CELLS 4,-21.716787784433077,0.0,-7.380802044184977,-4.009125190487205,-9.265389730537212,-13.43705782456974
M41700,TRAVAGLINI LUNG OLR1 CLASSICAL MONOCYTE CELL,-17.82118255990516,0.0,-11.703565421703463,-2.2042084664626325,-24.808997334171252,-23.894119313345136
M41659,TRAVAGLINI LUNG ALVEOLAR EPITHELIAL TYPE 1 CELL,-6.347971451831777,0.0,-2.7246332441224883,-8.548108966401514,-17.291006518516472,-12.673699474354903
M39050,MANNO MIDBRAIN NEUROTYPES HPERIC,-8.699377359623332,-2.224655090732339,-5.30460519736301,-10.638808338361589,-12.715984635332948,-22.233887768417844
