Cluster,Score,Type,Gene,Symbol,Network
2,4.4,Clustered,36,ACADSB,down_common_genes_SUB1
2,4.4,Clustered,3295,HSD17B4,down_common_genes_SUB1
2,4.4,Clustered,10455,ECI2,down_common_genes_SUB1
2,4.4,Clustered,51084,CRYL1,down_common_genes_SUB1
2,4.4,Clustered,38,ACAT1,down_common_genes_SUB1
2,4.4,Clustered,30,ACAA1,down_common_genes_SUB1
2,4.4,Seed,6342,SCP2,down_common_genes_SUB1
2,4.4,Clustered,8309,ACOX2,down_common_genes_SUB1
2,4.4,Clustered,84532,ACSS1,down_common_genes_SUB1
2,4.4,Clustered,3030,HADHA,down_common_genes_SUB1
3,2.5,Clustered,55272,IMP3,down_common_genes_SUB1
3,2.5,Clustered,26156,RSL1D1,down_common_genes_SUB1
3,2.5,Clustered,55226,NAT10,down_common_genes_SUB1
3,2.5,Seed,23016,EXOSC7,down_common_genes_SUB1
3,2.5,Clustered,115752,DIS3L,down_common_genes_SUB1
3,2.5,Clustered,11103,KRR1,down_common_genes_SUB1
1,1.5384615384615383,Clustered,2648,KAT2A,down_common_genes_SUB1
1,1.5384615384615383,Clustered,1875,E2F5,down_common_genes_SUB1
1,1.5384615384615383,Clustered,1027,CDKN1B,down_common_genes_SUB1
1,1.5384615384615383,Clustered,23107,MRPS27,down_common_genes_SUB1
1,1.5384615384615383,Clustered,6502,SKP2,down_common_genes_SUB1
1,1.5384615384615383,Clustered,64425,POLR1E,down_common_genes_SUB1
1,1.5384615384615383,Clustered,7913,DEK,down_common_genes_SUB1
1,1.5384615384615383,Clustered,84273,NOA1,down_common_genes_SUB1
1,1.5384615384615383,Clustered,7019,TFAM,down_common_genes_SUB1
1,1.5384615384615383,Clustered,689,BTF3,down_common_genes_SUB1
1,1.5384615384615383,Seed,56257,MEPCE,down_common_genes_SUB1
1,1.5384615384615383,Clustered,1019,CDK4,down_common_genes_SUB1
1,1.5384615384615383,Clustered,3615,IMPDH2,down_common_genes_SUB1
4,1.25,Seed,84172,POLR1B,down_common_genes_SUB1
4,1.25,Clustered,11198,SUPT16H,down_common_genes_SUB1
4,1.25,Clustered,142,PARP1,down_common_genes_SUB1
4,1.25,Clustered,6749,SSRP1,down_common_genes_SUB1
5,1.0,Seed,2548,GAA,down_common_genes_SUB1
5,1.0,Clustered,5037,PEBP1,down_common_genes_SUB1
5,1.0,Clustered,427,ASAH1,down_common_genes_SUB1
6,1.0,Clustered,6470,SHMT1,down_common_genes_SUB1
6,1.0,Clustered,275,AMT,down_common_genes_SUB1
6,1.0,Seed,9646,CTR9,down_common_genes_SUB1
1,7.777777777777778,Clustered,84340,GFM2,down_epi_only_SUB1
1,7.777777777777778,Clustered,64976,MRPL40,down_epi_only_SUB1
1,7.777777777777778,Clustered,4833,NME4,down_epi_only_SUB1
1,7.777777777777778,Clustered,4528,MTIF2,down_epi_only_SUB1
1,7.777777777777778,Clustered,55316,RSAD1,down_epi_only_SUB1
1,7.777777777777778,Clustered,6183,MRPS12,down_epi_only_SUB1
1,7.777777777777778,Seed,10102,TSFM,down_epi_only_SUB1
1,7.777777777777778,Clustered,65080,MRPL44,down_epi_only_SUB1
1,7.777777777777778,Clustered,10884,MRPS30,down_epi_only_SUB1
1,7.777777777777778,Clustered,51650,MRPS33,down_epi_only_SUB1
1,7.777777777777778,Clustered,64983,MRPL32,down_epi_only_SUB1
1,7.777777777777778,Clustered,6150,MRPL23,down_epi_only_SUB1
1,7.777777777777778,Clustered,64960,MRPS15,down_epi_only_SUB1
1,7.777777777777778,Clustered,7284,TUFM,down_epi_only_SUB1
1,7.777777777777778,Clustered,79590,MRPL24,down_epi_only_SUB1
1,7.777777777777778,Clustered,64965,MRPS9,down_epi_only_SUB1
1,7.777777777777778,Clustered,79922,MRM1,down_epi_only_SUB1
1,7.777777777777778,Clustered,219927,MRPL21,down_epi_only_SUB1
2,2.1333333333333333,Clustered,23277,CLUH,down_epi_only_SUB1
2,2.1333333333333333,Seed,10988,METAP2,down_epi_only_SUB1
2,2.1333333333333333,Clustered,26155,NOC2L,down_epi_only_SUB1
2,2.1333333333333333,Clustered,4714,NDUFB8,down_epi_only_SUB1
2,2.1333333333333333,Clustered,29090,TIMM21,down_epi_only_SUB1
2,2.1333333333333333,Clustered,1537,CYC1,down_epi_only_SUB1
2,2.1333333333333333,Clustered,10528,NOP56,down_epi_only_SUB1
2,2.1333333333333333,Clustered,131118,DNAJC19,down_epi_only_SUB1
2,2.1333333333333333,Clustered,8568,RRP1,down_epi_only_SUB1
2,2.1333333333333333,Clustered,23481,PES1,down_epi_only_SUB1
2,2.1333333333333333,Clustered,10200,MPHOSPH6,down_epi_only_SUB1
2,2.1333333333333333,Clustered,5036,PA2G4,down_epi_only_SUB1
2,2.1333333333333333,Clustered,57418,WDR18,down_epi_only_SUB1
2,2.1333333333333333,Clustered,51010,EXOSC3,down_epi_only_SUB1
2,2.1333333333333333,Clustered,10452,TOMM40,down_epi_only_SUB1
4,2.0,Clustered,55651,NHP2,down_epi_only_SUB1
4,2.0,Clustered,55720,TSR1,down_epi_only_SUB1
4,2.0,Clustered,8602,NOP14,down_epi_only_SUB1
4,2.0,Seed,25926,NOL11,down_epi_only_SUB1
4,2.0,Clustered,23517,MTREX,down_epi_only_SUB1
4,2.0,Clustered,10813,UTP14A,down_epi_only_SUB1
3,1.625,Clustered,2585,GALK2,down_epi_only_SUB1
3,1.625,Clustered,79154,DHRS11,down_epi_only_SUB1
3,1.625,Clustered,2181,ACSL3,down_epi_only_SUB1
3,1.625,Clustered,34,ACADM,down_epi_only_SUB1
3,1.625,Clustered,2639,GCDH,down_epi_only_SUB1
3,1.625,Clustered,5357,PLS1,down_epi_only_SUB1
