_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,1,1,1,1,1,1,-3.9,-2,-2.2,-3,-3.5,-2.7,-2.5,-5.1,GO:0007507,heart development,M11111111,8,0
1,0,0,1,1,1,1,1,-2.1,0,0,-3.9,-10,-3,-2.8,-2,GO:0001568,blood vessel development,M10011111,6,0
1,0,1,1,1,0,1,1,-3.9,0,-3.3,-2.1,-2.4,0,-2.7,-5.2,M5942,HALLMARK UV RESPONSE DN,M10111011,6,0
0,1,1,1,1,1,0,0,0,-2.1,-3.2,-3.7,-3.3,-6.8,0,0,M5885,NABA MATRISOME ASSOCIATED,M01111100,5,0
0,1,1,1,1,1,0,0,0,-2.3,-2.6,-3.5,-3.3,-3.1,0,0,GO:0048598,embryonic morphogenesis,M01111100,5,0
1,1,0,0,1,1,1,0,-3.7,-2.6,0,0,-7.5,-2.1,-2.5,0,GO:0009792,embryo development ending in birth or egg hatching,M11001110,5,0
1,0,1,0,1,1,0,1,-2.5,0,-2.1,0,-3.3,-2.4,0,-2.8,GO:0031589,cell-substrate adhesion,M10101101,5,0
1,0,1,1,1,1,0,0,-3.7,0,-2.5,-3.3,-3.9,-4.1,0,0,GO:0070848,response to growth factor,M10111100,5,0
1,0,1,1,1,1,0,0,-4,0,-2.7,-3.5,-3.5,-4.4,0,0,GO:0071363,cellular response to growth factor stimulus,M10111100,5,0
1,0,1,1,1,1,0,0,-2,0,-3.5,-4.3,-7.5,-2.4,0,0,GO:0032970,regulation of actin filament-based process,M10111100,5,0
1,0,1,1,1,1,0,0,-2.1,0,-2,-3.4,-5.2,-2.8,0,0,R-HSA-194315,Signaling by Rho GTPases,M10111100,5,0
1,1,0,1,1,1,0,0,-2.3,-2.4,0,-3,-8.7,-3.7,0,0,GO:0048729,tissue morphogenesis,M11011100,5,0
1,0,1,1,1,0,1,0,-2.5,0,-3.5,-3.4,-2.6,0,-3,0,GO:0060485,mesenchyme development,M10111010,5,0
1,1,1,1,0,1,0,0,-6.2,-2.3,-5.7,-3.5,0,-3.3,0,0,GO:0009725,response to hormone,M11110100,5,0
0,1,0,1,1,1,0,1,0,-2.2,0,-5.8,-6.9,-3.9,0,-2.9,GO:0098609,cell-cell adhesion,M01011101,5,0
1,1,0,1,1,0,1,0,-3.8,-2.3,0,-2.1,-7.7,0,-2.6,0,GO:0043009,chordate embryonic development,M11011010,5,0
1,0,0,1,1,1,1,0,-2.6,0,0,-4.5,-5.2,-3,-2.7,0,R-HSA-9012999,RHO GTPase cycle,M10011110,5,0
1,1,0,1,0,1,1,0,-3.3,-2.6,0,-2.1,0,-2.2,-3.5,0,GO:0048732,gland development,M11010110,5,0
0,1,0,1,1,1,1,0,0,-2.5,0,-4.1,-11,-4.5,-4,0,GO:0035239,tube morphogenesis,M01011110,5,0
1,0,0,1,1,1,1,0,-2,0,0,-4.4,-11,-3.4,-2.6,0,GO:0001944,vasculature development,M10011110,5,0
0,0,1,1,1,1,1,0,0,0,-2,-5.4,-12,-2.1,-2.8,0,WP3888,VEGFA VEGFR2 signaling,M00111110,5,0
1,0,0,1,1,1,0,1,-2.1,0,0,-2.2,-7.2,-3.8,0,-4.4,R-HSA-1474244,Extracellular matrix organization,M10011101,5,0
0,0,1,1,1,1,1,0,0,0,-6.2,-2.5,-5.1,-6.5,-3,0,GO:0120035,regulation of plasma membrane bounded cell projection organization,M00111110,5,0
0,1,0,1,1,1,1,0,0,-2.1,0,-3.9,-11,-2.6,-2.8,0,GO:0048514,blood vessel morphogenesis,M01011110,5,0
