Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0048514,blood vessel morphogenesis,19_GO:0032502 developmental process,-11,6.6,10,30286,431,223,21,9.4,2,71|1000|1311|1490|1499|1906|2004|3491|3685|3726|4017|4162|5054|5534|5743|7045|7046|25960|30008|80149|91010,ACTG1|CDH2|COMP|CCN2|CTNNB1|EDN1|ELK3|CCN1|ITGAV|JUNB|LOXL2|MCAM|SERPINE1|PPP3R1|PTGS2|TGFBI|TGFBR1|ADGRA2|EFEMP2|ZC3H12A|FMNL3,-8.1,up_common_genes
KEGG Pathway,24,hsa04820,Cytoskeleton in muscle cells,,-11,9.5,11,30286,229,223,16,7.2,1.7,60|71|481|633|832|1277|1298|1311|1465|2275|3685|7168|8572|9260|27295|91010,ACTB|ACTG1|ATP1B1|BGN|CAPZB|COL1A1|COL9A2|COMP|CSRP1|FHL3|ITGAV|TPM1|PDLIM4|PDLIM7|PDLIM3|FMNL3,-7.9,up_common_genes
GO Biological Processes,19,GO:0001568,blood vessel development,19_GO:0032502 developmental process,-10,5.7,9.3,30286,527,223,22,9.9,2,71|1000|1277|1311|1490|1499|1906|2004|3491|3685|3726|4017|4162|5054|5534|5743|7045|7046|25960|30008|80149|91010,ACTG1|CDH2|COL1A1|COMP|CCN2|CTNNB1|EDN1|ELK3|CCN1|ITGAV|JUNB|LOXL2|MCAM|SERPINE1|PPP3R1|PTGS2|TGFBI|TGFBR1|ADGRA2|EFEMP2|ZC3H12A|FMNL3,-7.4,up_common_genes
Reactome Gene Sets,6,R-HSA-9006936,Signaling by TGFB family members,,-9.8,13,12,30286,124,223,12,5.4,1.5,387|1030|3624|3685|3726|4053|5045|5054|6498|7046|10272|56937,RHOA|CDKN2B|INHBA|ITGAV|JUNB|LTBP2|FURIN|SERPINE1|SKIL|TGFBR1|FSTL3|PMEPA1,-7.1,up_common_genes
Reactome Gene Sets,6,R-HSA-4420097,VEGFA-VEGFR2 Pathway,,-9.7,15,12,30286,99,223,11,4.9,1.5,60|71|387|1499|3315|3685|4688|4893|5879|9564|10000,ACTB|ACTG1|RHOA|CTNNB1|HSPB1|ITGAV|NCF2|NRAS|RAC1|BCAR1|AKT3,-7,up_common_genes
GO Biological Processes,19,GO:0042060,wound healing,19_GO:0050896 response to stimulus,-9.6,7.3,9.7,30286,318,223,17,7.6,1.8,60|71|387|389|1265|1311|1465|2004|3315|3491|3685|4162|5270|5329|7046|7168|57591,ACTB|ACTG1|RHOA|RHOC|CNN2|COMP|CSRP1|ELK3|HSPB1|CCN1|ITGAV|MCAM|SERPINE2|PLAUR|TGFBR1|TPM1|MRTFA,-6.9,up_common_genes
GO Biological Processes,19,GO:0061061,muscle structure development,19_GO:0032502 developmental process,-9.5,5.5,8.9,30286,520,223,21,9.4,2,71|387|1000|1311|1465|1499|2275|3976|4893|6525|6876|7046|7168|7345|8572|9260|11149|27295|30008|57591|81029,ACTG1|RHOA|CDH2|COMP|CSRP1|CTNNB1|FHL3|LIF|NRAS|SMTN|TAGLN|TGFBR1|TPM1|UCHL1|PDLIM4|PDLIM7|BVES|PDLIM3|EFEMP2|MRTFA|WNT5B,-6.8,up_common_genes
KEGG Pathway,24,hsa04510,Focal adhesion,,-9.4,9.4,10,30286,202,223,14,6.3,1.6,60|71|387|1277|1298|1311|1499|3371|3685|3918|5879|7408|9564|10000,ACTB|ACTG1|RHOA|COL1A1|COL9A2|COMP|CTNNB1|TNC|ITGAV|LAMC2|RAC1|VASP|BCAR1|AKT3,-6.8,up_common_genes
GO Biological Processes,19,GO:0001503,ossification,19_GO:0032501 multicellular organismal process,-9.3,7.6,9.7,30286,285,223,16,7.2,1.7,387|649|1277|1311|1490|1499|3371|3486|3491|3726|5743|7286|8482|9260|9902|10272,RHOA|BMP1|COL1A1|COMP|CCN2|CTNNB1|TNC|IGFBP3|CCN1|JUNB|PTGS2|TUFT1|SEMA7A|PDLIM7|MRC2|FSTL3,-6.7,up_common_genes
Reactome Gene Sets,6,R-HSA-194138,Signaling by VEGF,,-9.3,14,12,30286,108,223,11,4.9,1.5,60|71|387|1499|3315|3685|4688|4893|5879|9564|10000,ACTB|ACTG1|RHOA|CTNNB1|HSPB1|ITGAV|NCF2|NRAS|RAC1|BCAR1|AKT3,-6.7,up_common_genes
GO Biological Processes,19,GO:0001525,angiogenesis,19_GO:0032502 developmental process,-9.2,6.8,9.3,30286,338,223,17,7.6,1.8,71|1490|1499|1906|2004|3491|3685|4017|4162|5054|5534|5743|7045|7046|25960|80149|91010,ACTG1|CCN2|CTNNB1|EDN1|ELK3|CCN1|ITGAV|LOXL2|MCAM|SERPINE1|PPP3R1|PTGS2|TGFBI|TGFBR1|ADGRA2|ZC3H12A|FMNL3,-6.6,up_common_genes
GO Biological Processes,19,GO:0048729,tissue morphogenesis,19_GO:0032502 developmental process,-8.7,5,8.3,30286,572,223,21,9.4,2,60|71|387|389|1499|1906|3212|3371|3491|3624|3685|4478|5216|5534|7041|7046|7168|7408|30008|57591|84446,ACTB|ACTG1|RHOA|RHOC|CTNNB1|EDN1|HOXB2|TNC|CCN1|INHBA|ITGAV|MSN|PFN1|PPP3R1|TGFB1I1|TGFBR1|TPM1|VASP|EFEMP2|MRTFA|BRSK1,-6.2,up_common_genes
