_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-4.448343471882177,R-HSA-397014,M1,1,0,Reactome Gene Sets,6,Muscle contraction,,-4.448343471882177,3.0089063017327002,5.00368462957758,30293,205,884,18,2.0361990950226243,0.4750253657762632,477|2256|2258|2977|3741|3768|3776|6328|6546|6547|7168|7431|8645|10008|10398|25802|27092|59284,ATP1A2|FGF11|FGF13|GUCY1A2|KCNA5|KCNJ12|KCNK2|SCN3A|SLC8A1|SLC8A3|TPM1|VIM|KCNK5|KCNE3|MYL9|LMOD1|CACNG4|CACNG7,-2.7512147650821044,0,20,1,1,-4.448343471882177,6.853619909502262,
1,-3.8711614772553418,R-HSA-5576891,M1,1,0,Reactome Gene Sets,6,Cardiac conduction,,-3.8711614772553418,3.374888591800357,4.740862029327156,30293,132,884,13,1.4705882352941178,0.40485765580153693,477|2256|2258|3741|3768|3776|6328|6546|6547|8645|10008|27092|59284,ATP1A2|FGF11|FGF13|KCNA5|KCNJ12|KCNK2|SCN3A|SLC8A1|SLC8A3|KCNK5|KCNE3|CACNG4|CACNG7,-2.264209400804357,0,20,0,0,-4.448343471882177,6.853619909502262,
1,-2.5400037786177996,R-HSA-5576892,M1,1,0,Reactome Gene Sets,6,Phase 0 - rapid depolarisation,,-2.5400037786177996,5.039426404045781,4.085844655868759,30293,34,884,5,0.5656108597285068,0.2522324987049648,2256|2258|6328|27092|59284,FGF11|FGF13|SCN3A|CACNG4|CACNG7,-1.1926509805511654,0,20,0,0,-4.448343471882177,6.853619909502262,
1,-2.062084910125803,R-HSA-5576893,M1,1,0,Reactome Gene Sets,6,Phase 2 - plateau phase,,-2.062084910125803,6.853619909502262,3.9314841966168617,30293,15,884,3,0.3393665158371041,0.1956006006328135,10008|27092|59284,KCNE3|CACNG4|CACNG7,-0.83364429050853,0,20,0,0,-4.448343471882177,6.853619909502262,
1,-3.9734792777398558,R-HSA-201556,M1,1,0,Reactome Gene Sets,6,Signaling by ALK,,-3.9734792777398558,7.615133232780291,5.962013315948233,30293,27,884,6,0.6787330316742082,0.276149642689236,238|3561|4609|5335|5764|5803,ALK|IL2RG|MYC|PLCG1|PTN|PTPRZ1,-2.3237752208679208,0,21,1,1,-3.9734792777398558,7.615133232780291,
1,-3.6951941479388766,R-HSA-9823739,M1,1,0,Reactome Gene Sets,6,Formation of the anterior neural plate,,-3.6951941479388766,12.461127108185932,6.591456221511308,30293,11,884,4,0.45248868778280543,0.22573189851338754,5080|6656|7546|9839,PAX6|SOX1|ZIC2|ZEB2,-2.127160137518261,0,22,1,1,-3.6951941479388766,12.461127108185932,
1,-2.203142290394747,R-HSA-9758941,M1,1,0,Reactome Gene Sets,6,Gastrulation,,-2.203142290394747,2.705376280066682,3.1627888506366437,30293,114,884,9,1.0180995475113122,0.33763455179887303,5076|5080|6656|6932|7546|9241|9839|10683|64321,PAX2|PAX6|SOX1|TCF7|ZIC2|NOG|ZEB2|DLL3|SOX17,-0.9203440084548811,0,22,0,0,-3.6951941479388766,12.461127108185932,
1,-3.46515112329726,R-HSA-1592389,M1,1,0,Reactome Gene Sets,6,Activation of Matrix Metalloproteinases,,-3.46515112329726,6.230563554092966,5.212198769511689,30293,33,884,6,0.6787330316742082,0.276149642689236,4312|4313|4316|4318|4319|5045,MMP1|MMP2|MMP7|MMP9|MMP10|FURIN,-1.9385097980348698,0,23,1,1,-3.46515112329726,6.230563554092966,
1,-3.438438041627397,R-HSA-140875,M1,1,0,Reactome Gene Sets,6,Common Pathway of Fibrin Clot Formation,,-3.438438041627397,7.788204442616206,5.522081955708991,30293,22,884,5,0.5656108597285068,0.2522324987049648,2147|2243|2244|2266|5196,F2|FGA|FGB|FGG|PF4,-1.9174005938830054,0,24,1,1,-3.438438041627397,7.788204442616206,
1,-3.0604623246147815,R-HSA-140877,M1,1,0,Reactome Gene Sets,6,Formation of Fibrin Clot (Clotting Cascade),,-3.0604623246147815,5.27201531500174,4.62832322741391,30293,39,884,6,0.6787330316742082,0.276149642689236,2|2147|2243|2244|2266|5196,A2M|F2|FGA|FGB|FGG|PF4,-1.606371666501003,0,24,0,0,-3.438438041627397,7.788204442616206,
