_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,1,1,1,0,1,0,-3.3,-3.4,-2.8,-4.3,-8.1,0,-2.1,0,GO:0035239,tube morphogenesis,M11111010,6,0
1,1,1,1,0,1,0,0,-3.9,-2.3,-4.9,-5.9,0,-2.2,0,0,GO:0016310,phosphorylation,M11110100,5,0
0,0,1,1,1,1,0,1,0,0,-2.1,-2.1,-5.2,-4,0,-2.4,WP5087,Pleural mesothelioma,M00111101,5,0
1,1,0,0,1,1,1,0,-2.7,-4.2,0,0,-3.6,-2.2,-4.6,0,GO:0070201,regulation of establishment of protein localization,M11001110,5,0
1,0,0,0,1,1,1,1,-6.6,0,0,0,-6.6,-4.1,-5.1,-2.4,WP3888,VEGFA VEGFR2 signaling,M10001111,5,0
1,1,0,0,1,0,1,1,-3.6,-3.2,0,0,-2.2,0,-9,-3.4,GO:0055086,nucleobase-containing small molecule metabolic process,M11001011,5,0
1,1,0,1,1,1,0,0,-2.6,-2.3,0,-2.6,-5.4,-6.2,0,0,GO:0030029,actin filament-based process,M11011100,5,0
1,1,0,1,1,1,0,0,-4.2,-2,0,-2.1,-5.8,-2.7,0,0,GO:0043549,regulation of kinase activity,M11011100,5,0
1,0,1,0,1,1,1,0,-2.5,0,-2.7,0,-6,-2.8,-4.8,0,R-HSA-1474244,Extracellular matrix organization,M10101110,5,0
1,0,1,1,1,1,0,0,-6.6,0,-2.5,-2.1,-2.8,-3.9,0,0,GO:0070848,response to growth factor,M10111100,5,0
1,0,1,1,0,1,1,0,-2.2,0,-4.2,-5.9,0,-2.4,-3.2,0,GO:0001501,skeletal system development,M10110110,5,0
1,0,0,1,1,1,1,0,-2,0,0,-3.7,-4.7,-2.8,-3,0,GO:0001568,blood vessel development,M10011110,5,0
1,0,1,1,1,1,0,0,-2.4,0,-2.9,-7.9,-2.8,-2.8,0,0,GO:0051493,regulation of cytoskeleton organization,M10111100,5,0
1,1,0,0,1,1,1,0,-3.4,-4.1,0,0,-2.1,-2.1,-3.3,0,WP2882,Nuclear receptors meta pathway,M11001110,5,0
1,1,1,0,1,1,0,0,-8.9,-2.3,-5.9,0,-3.9,-5.5,0,0,GO:0007167,enzyme-linked receptor protein signaling pathway,M11101100,5,0
1,1,0,0,1,0,1,1,-3.2,-3.3,0,0,-7.8,0,-3.4,-4.4,R-HSA-6798695,Neutrophil degranulation,M11001011,5,0
1,0,1,1,0,1,0,0,-2.2,0,-2.8,-5.5,0,-5.1,0,0,hsa04360,Axon guidance,M10110100,4,0
1,1,0,0,1,1,0,0,-4.2,-3.3,0,0,-2.2,-2.5,0,0,GO:1903829,positive regulation of protein localization,M11001100,4,0
0,1,1,0,0,1,1,0,0,-3,-3.7,0,0,-6.9,-3.4,0,R-HSA-5653656,Vesicle-mediated transport,M01100110,4,0
0,1,0,0,1,0,1,1,0,-2.1,0,0,-6.5,0,-4.1,-2.5,M5921,HALLMARK COMPLEMENT,M01001011,4,0
1,0,0,1,1,1,0,0,-2.3,0,0,-4.3,-8.5,-3.3,0,0,GO:2000147,positive regulation of cell motility,M10011100,4,0
1,0,1,1,0,1,0,0,-2.1,0,-2.7,-2.9,0,-2.6,0,0,GO:0060485,mesenchyme development,M10110100,4,0
