GO,Description,_LogP_modules_mes_black_sorted_top300,_LogP_modules_mes_blue_sorted_top300,_LogP_modules_mes_green_sorted_top300,_LogP_modules_mes_grey_sorted_top300,_LogP_modules_mes_pink_sorted_top300,_LogP_modules_mes_red_sorted_top300
GO:0001775,cell activation,-9.655823080253478,-15.483871529872637,-3.9145852499402713,0.0,0.0,0.0
GO:0071496,cellular response to external stimulus,-5.972233809719612,-5.267093658093616,-2.785118984081779,0.0,0.0,0.0
GO:0048871,multicellular organismal-level homeostasis,-5.547718738533025,-5.547718738533025,-2.973570927434852,0.0,0.0,0.0
R-HSA-1280215,Cytokine Signaling in Immune system,-40.85103041242668,-50.76014580200001,-2.2517516757161995,0.0,0.0,0.0
R-HSA-449147,Signaling by Interleukins,-35.48370167423081,-12.476444442211998,-2.0990409754247477,0.0,0.0,0.0
hsa04145,Phagosome,-2.3801834493873733,-7.373435256231523,-3.8413086093894284,0.0,0.0,0.0
GO:0006954,inflammatory response,-25.682945830975385,-20.86383003845513,0.0,0.0,0.0,0.0
M5890,HALLMARK TNFA SIGNALING VIA NFKB,-47.10541752464634,-25.8008403764667,0.0,0.0,0.0,0.0
hsa05169,Epstein-Barr virus infection,-25.668378530128084,-14.85574662570164,0.0,0.0,0.0,0.0
GO:0019221,cytokine-mediated signaling pathway,-25.870169698435017,-16.57159362786665,0.0,0.0,0.0,0.0
M5932,HALLMARK INFLAMMATORY RESPONSE,-19.560479543172615,-25.8008403764667,0.0,0.0,0.0,0.0
M5913,HALLMARK INTERFERON GAMMA RESPONSE,-14.943651363469053,-100.0,0.0,0.0,0.0,0.0
GO:0009617,response to bacterium,-13.411899735538242,-28.103498682715053,0.0,0.0,0.0,0.0
GO:0032103,positive regulation of response to external stimulus,-14.798240763678503,-24.84888594247889,0.0,0.0,0.0,0.0
GO:0002831,regulation of response to biotic stimulus,-15.809650463232352,-32.6660428460937,0.0,0.0,0.0,0.0
M5950,HALLMARK ALLOGRAFT REJECTION,-13.847412757259018,-13.847412757259018,0.0,0.0,0.0,0.0
hsa04060,Cytokine-cytokine receptor interaction,-14.413764242772974,-10.643833330450443,0.0,0.0,0.0,0.0
GO:0050865,regulation of cell activation,-13.35493874157147,-11.829203671732458,0.0,0.0,0.0,0.0
hsa05167,Kaposi sarcoma-associated herpesvirus infection,-16.348616538924077,-10.924062087744288,0.0,0.0,0.0,0.0
GO:0050727,regulation of inflammatory response,-11.042644470323047,-10.234363518059501,0.0,0.0,0.0,0.0
GO:0051090,regulation of DNA-binding transcription factor activity,-11.072945602989789,-7.139789861027068,0.0,0.0,0.0,0.0
GO:0071396,cellular response to lipid,-11.230774451662045,-9.006405608791303,0.0,0.0,0.0,0.0
GO:0034341,response to type II interferon,-8.1762907679188,-12.650163707146406,0.0,0.0,0.0,0.0
GO:0043123,positive regulation of canonical NF-kappaB signal transduction,-7.644949273042374,-10.475029064861218,0.0,0.0,0.0,0.0
WP4197,Immune response to tuberculosis,-7.232138780157009,-10.62171214067356,0.0,0.0,0.0,0.0
GO:0070663,regulation of leukocyte proliferation,-7.90444307629107,-12.444530696753587,0.0,0.0,0.0,0.0
WP5115,Network map of SARS CoV 2 signaling pathway,-6.506610841256149,-24.659879947973696,0.0,0.0,0.0,0.0
WP619,Type II interferon signaling,-4.509016660738799,-14.974456284007372,0.0,0.0,0.0,0.0
hsa05323,Rheumatoid arthritis,-4.39934063252112,-11.060974907399915,0.0,0.0,0.0,0.0
hsa05171,Coronavirus disease - COVID-19,-5.406623856086006,-19.109296378938865,0.0,0.0,0.0,0.0
M5897,HALLMARK IL6 JAK STAT3 SIGNALING,-5.601936356232283,-15.442491153032796,0.0,0.0,0.0,0.0
M5921,HALLMARK COMPLEMENT,-4.474280004486171,-17.207294892010083,0.0,0.0,0.0,0.0
GO:0034340,response to type I interferon,-4.8084379604485585,-11.309171994399172,0.0,0.0,0.0,0.0
