GO,Description,_LogP_modules_mes_black_sorted_top300,_LogP_modules_mes_blue_sorted_top300,_LogP_modules_mes_green_sorted_top300,_LogP_modules_mes_grey_sorted_top300,_LogP_modules_mes_pink_sorted_top300,_LogP_modules_mes_red_sorted_top300
GO:0022414,reproductive process,-2.5277871269678065,-2.020820729913544,0.0,0.0,-3.067809414895347,-2.581312611137957
GO:0048511,rhythmic process,-4.201057383614319,-2.634517911907393,0.0,-2.2956767235356708,-3.456915383306551,0.0
GO:0044419,biological process involved in interspecies interaction between organisms,-16.535873028442968,-52.4807732985558,-2.8517775027040475,-2.845073466335703,0.0,0.0
GO:0016032,viral process,-3.4784470671371426,-24.653351669511064,0.0,-2.4406212371310074,0.0,0.0
GO:0040011,locomotion,-9.726326388472224,-10.349833414081782,-2.0015777679071345,0.0,-5.387884178652283,-4.121825883698329
GO:0065007,biological regulation,-6.784181261873726,-6.216801700768029,-4.867863005938768,0.0,-4.666743196306936,-3.450124796253182
GO:0032501,multicellular organismal process,-13.35493874157147,-15.483871529872637,-5.220086855989659,0.0,-3.6645116113378218,-8.33269512245171
GO:0002376,immune system process,-15.344767063882472,-29.954726267182735,-2.5265078171503372,0.0,-3.3638071266901246,-2.2425308103452593
GO:0042592,homeostatic process,-5.547718738533025,-5.547718738533025,-3.306563622245626,0.0,0.0,-2.8901001898756626
GO:0048518,positive regulation of biological process,-15.180084536058004,-24.84888594247889,-2.74209328598163,-4.850172657538152,-4.045495984693475,-2.832578852231901
GO:0048519,negative regulation of biological process,-9.614505350897883,-19.8713736703424,-2.172926413201525,-5.8983045591511125,-6.1636948043357895,-3.329553320445391
GO:0050789,regulation of biological process,-10.457999266558952,-12.444530696753587,-3.960483148036668,-8.769964171694488,-6.536822580310473,-6.018016161379263
GO:0032502,developmental process,-6.421817208459012,-9.580112352014385,-7.604515162954843,-3.0943806738751136,-8.27627644698526,-8.146408963047538
GO:0008152,metabolic process,-11.072945602989789,-7.139789861027068,-8.643458873650323,-3.9263515363416097,-3.466514380877181,-5.147305564620357
GO:0050896,response to stimulus,-27.342597366496307,-32.6660428460937,-9.844624320909015,-3.680388780937016,-7.13058189970546,-6.018016161379263
GO:0009987,cellular process,-8.185205495788322,-6.1839080268264,-9.912141569080804,-9.407241448728472,-3.900736422900533,-11.101353089414868
GO:0051179,localization,-5.135663858266247,-5.90805722935735,-22.56141499756293,-6.975909943605049,-2.965219152968843,-6.670569009158814
GO:0043473,pigmentation,0.0,0.0,-2.500558120363145,0.0,0.0,0.0
GO:0098754,detoxification,0.0,-2.3318642655590827,0.0,0.0,0.0,0.0
GO:0040007,growth,0.0,0.0,-4.101806786673496,-2.0831212269461923,-5.912368652034076,0.0
