_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.8,R-HSA-2022870,Chondroitin sulfate biosynthesis,M1,1,0
1,-8.3,R-HSA-372790,Signaling by GPCR,M1,1,0
1,-12,R-HSA-8957275,Post-translational protein phosphorylation,M1,1,0
1,-2.4,R-HSA-190873,Gap junction degradation,M1,1,0
1,-2,R-HSA-525793,Myogenesis,M1,1,0
1,-3.6,R-HSA-1592389,Activation of Matrix Metalloproteinases,M1,1,0
1,-6,R-HSA-3656237,Defective EXT2 causes exostoses 2,M1,1,0
1,-2.6,R-HSA-382551,Transport of small molecules,M1,1,0
1,-3,R-HSA-2142845,Hyaluronan metabolism,M1,1,0
1,-2.7,R-HSA-9757110,Prednisone ADME,M1,1,0
1,-3,R-HSA-418990,Adherens junctions interactions,M1,1,0
1,-2.2,R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer,M1,1,0
1,-2.5,R-HSA-2025928,Calcineurin activates NFAT,M1,1,0
1,-2.4,R-HSA-5683057,MAPK family signaling cascades,M1,1,0
1,-4.4,R-HSA-3656243,Defective ST3GAL3 causes MCT12 and EIEE15,M1,1,0
1,-7.5,R-HSA-3560783,"Defective B4GALT7 causes EDS, progeroid type",M1,1,0
1,-2.1,R-HSA-5576893,Phase 2 - plateau phase,M1,1,0
1,-3.6,R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",M1,1,0
1,-4.3,R-HSA-500792,GPCR ligand binding,M1,1,0
1,-4.9,R-HSA-5173105,O-linked glycosylation,M1,1,0
1,-4.7,R-HSA-195721,Signaling by WNT,M1,1,0
1,-12,R-HSA-3560782,Diseases associated with glycosaminoglycan metabolism,M1,1,0
1,-2.3,R-HSA-5607763,CLEC7A (Dectin-1) induces NFAT activation,M1,1,0
1,-2.5,R-HSA-5365859,RA biosynthesis pathway,M1,1,0
1,-4,R-HSA-2022854,Keratan sulfate biosynthesis,M1,1,0
1,-2.5,R-HSA-196025,Formation of annular gap junctions,M1,1,0
1,-2.5,R-HSA-416476,G alpha (q) signalling events,M1,1,0
1,-2.7,R-HSA-373755,Semaphorin interactions,M1,1,0
1,-2.3,R-HSA-2892247,"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",M1,1,0
1,-11,R-HSA-71387,Metabolism of carbohydrates,M1,1,0
1,-2.3,R-HSA-180024,DARPP-32 events,M1,1,0
1,-3.4,R-HSA-1638074,Keratan sulfate/keratin metabolism,M1,1,0
1,-19,R-HSA-1650814,Collagen biosynthesis and modifying enzymes,M1,1,0
1,-20,R-HSA-1474290,Collagen formation,M1,1,0
1,-6.9,R-HSA-375165,NCAM signaling for neurite out-growth,M1,1,0
1,-19,R-HSA-8948216,Collagen chain trimerization,M1,1,0
1,-4.1,R-HSA-446728,Cell junction organization,M1,1,0
1,-2.9,R-HSA-975634,Retinoid metabolism and transport,M1,1,0
1,-3.4,R-HSA-210500,Glutamate Neurotransmitter Release Cycle,M1,1,0
1,-2.8,R-HSA-3000480,Scavenging by Class A Receptors,M1,1,0
1,-4.2,R-HSA-3238698,WNT ligand biogenesis and trafficking,M1,1,0
1,-7.9,R-HSA-419037,NCAM1 interactions,M1,1,0
1,-5.5,R-HSA-388396,GPCR downstream signalling,M1,1,0
1,-8.2,R-HSA-2022928,HS-GAG biosynthesis,M1,1,0
1,-4.1,R-HSA-9772572,Early SARS-CoV-2 Infection Events,M1,1,0
1,-2.7,R-HSA-6806667,Metabolism of fat-soluble vitamins,M1,1,0
1,-5.9,R-HSA-76002,"Platelet activation, signaling and aggregation",M1,1,0
1,-3.8,R-HSA-9823739,Formation of the anterior neural plate,M1,1,0
1,-2.3,R-HSA-202733,Cell surface interactions at the vascular wall,M1,1,0
1,-2.2,R-HSA-166786,Creation of C4 and C2 activators,M1,1,0
1,-7.6,R-HSA-3000170,Syndecan interactions,M1,1,0
1,-2.8,R-HSA-425407,SLC-mediated transmembrane transport,M1,1,0
1,-7.5,R-HSA-4420332,Defective B3GALT6 causes EDSP2 and SEMDJL1,M1,1,0
1,-2,R-HSA-399956,CRMPs in Sema3A signaling,M1,1,0
1,-23,R-HSA-1474228,Degradation of the extracellular matrix,M1,1,0
1,-3,R-HSA-5684996,MAPK1/MAPK3 signaling,M1,1,0
1,-2.3,R-HSA-201681,TCF dependent signaling in response to WNT,M1,1,0
1,-17,R-HSA-1442490,Collagen degradation,M1,1,0
1,-6.3,R-HSA-9694614,Attachment and Entry,M1,1,0
1,-2.2,R-HSA-2173782,Binding and Uptake of Ligands by Scavenger Receptors,M1,1,0
1,-12,R-HSA-9675108,Nervous system development,M1,1,0
1,-2.3,R-HSA-9013508,NOTCH3 Intracellular Domain Regulates Transcription,M1,1,0
1,-4.4,R-HSA-3656225,Defective CHST6 causes MCDC1,M1,1,0
1,-2,R-HSA-190828,Gap junction trafficking,M1,1,0
1,-2.2,R-HSA-9759475,Regulation of CDH11 Expression and Function,M1,1,0
1,-13,R-HSA-3781865,Diseases of glycosylation,M1,1,0
1,-3.7,R-HSA-166658,Complement cascade,M1,1,0
1,-3.6,R-HSA-4641263,Regulation of FZD by ubiquitination,M1,1,0
1,-4,R-HSA-428542,Regulation of commissural axon pathfinding by SLIT and ROBO,M1,1,0
1,-3.7,R-HSA-8849473,PTK6 Expression,M1,1,0
1,-9.2,R-HSA-8875878,MET promotes cell motility,M1,1,0
1,-4.5,R-HSA-5576892,Phase 0 - rapid depolarisation,M1,1,0
1,-6.1,R-HSA-3656244,Defective B4GALT1 causes B4GALT1-CDG (CDG-2d),M1,1,0
1,-2.4,R-HSA-9758941,Gastrulation,M1,1,0
1,-2,R-HSA-211859,Biological oxidations,M1,1,0
1,-4.5,R-HSA-186797,Signaling by PDGF,M1,1,0
1,-9.4,R-HSA-5668914,Diseases of metabolism,M1,1,0
1,-11,R-HSA-445355,Smooth Muscle Contraction,M1,1,0
1,-5.5,R-HSA-3906995,Diseases associated with O-glycosylation of proteins,M1,1,0
1,-2.5,R-HSA-196854,Metabolism of vitamins and cofactors,M1,1,0
1,-3.5,R-HSA-977606,Regulation of Complement cascade,M1,1,0
1,-4.5,R-HSA-112316,Neuronal System,M1,1,0
1,-4.6,R-HSA-9012999,RHO GTPase cycle,M1,1,0
1,-4.4,R-HSA-428890,Role of ABL in ROBO-SLIT signaling,M1,1,0
1,-2.6,R-HSA-373076,Class A/1 (Rhodopsin-like receptors),M1,1,0
1,-11,R-HSA-422475,Axon guidance,M1,1,0
1,-3.7,R-HSA-194315,Signaling by Rho GTPases,M1,1,0
1,-14,R-HSA-3000178,ECM proteoglycans,M1,1,0
1,-50,R-HSA-1474244,Extracellular matrix organization,M1,1,0
1,-2.5,R-HSA-2980736,Peptide hormone metabolism,M1,1,0
1,-2.3,R-HSA-75205,Dissolution of Fibrin Clot,M1,1,0
1,-7.5,R-HSA-3560801,Defective B3GAT3 causes JDSSDHD,M1,1,0
1,-6.1,R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,M1,1,0
1,-14,R-HSA-3000171,Non-integrin membrane-ECM interactions,M1,1,0
1,-9.6,R-HSA-8874081,MET activates PTK2 signaling,M1,1,0
1,-4.2,R-HSA-373752,Netrin-1 signaling,M1,1,0
1,-6,R-HSA-3656253,"Defective EXT1 causes exostoses 1, TRPS2 and CHDS",M1,1,0
1,-3.4,R-HSA-452723,Transcriptional regulation of pluripotent stem cells,M1,1,0
1,-2.1,R-HSA-3772470,Negative regulation of TCF-dependent signaling by WNT ligand antagonists,M1,1,0
1,-3.3,R-HSA-264876,Insulin processing,M1,1,0
1,-4,R-HSA-1500931,Cell-Cell communication,M1,1,0
1,-8.4,R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,M1,1,0
1,-2.1,R-HSA-975577,N-Glycan antennae elongation,M1,1,0
1,-6.2,R-HSA-5083635,Defective B3GALTL causes PpS,M1,1,0
1,-15,R-HSA-1630316,Glycosaminoglycan metabolism,M1,1,0
1,-3.9,R-HSA-373760,L1CAM interactions,M1,1,0
1,-6,R-HSA-76005,Response to elevated platelet cytosolic Ca2+,M1,1,0
1,-2.7,R-HSA-5673001,RAF/MAP kinase cascade,M1,1,0
1,-16,R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,M1,1,0
1,-2.6,R-HSA-2187338,Visual phototransduction,M1,1,0
1,-3.2,R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,M1,1,0
1,-4.3,R-HSA-163125,Post-translational modification: synthesis of GPI-anchored proteins,M1,1,0
1,-2.6,R-HSA-112310,Neurotransmitter release cycle,M1,1,0
1,-2.9,R-HSA-373080,Class B/2 (Secretin family receptors),M1,1,0
1,-2.5,R-HSA-421270,Cell-cell junction organization,M1,1,0
1,-9.7,R-HSA-109582,Hemostasis,M1,1,0
1,-11,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,M1,1,0
1,-2.8,R-HSA-1251985,Nuclear signaling by ERBB4,M1,1,0
1,-5.4,R-HSA-5576891,Cardiac conduction,M1,1,0
1,-2.3,R-HSA-400511,"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)",M1,1,0
1,-4.1,R-HSA-418594,G alpha (i) signalling events,M1,1,0
1,-11,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),M1,1,0
1,-4.6,R-HSA-112315,Transmission across Chemical Synapses,M1,1,0
1,-13,R-HSA-390522,Striated Muscle Contraction,M1,1,0
1,-8.1,R-HSA-1793185,Chondroitin sulfate/dermatan sulfate metabolism,M1,1,0
1,-6.2,R-HSA-114608,Platelet degranulation,M1,1,0
1,-14,R-HSA-216083,Integrin cell surface interactions,M1,1,0
1,-3.2,R-HSA-2022857,Keratan sulfate degradation,M1,1,0
1,-2.5,R-HSA-392154,Nitric oxide stimulates guanylate cyclase,M1,1,0
1,-5.9,R-HSA-3000157,Laminin interactions,M1,1,0
1,-2.2,R-HSA-416482,G alpha (12/13) signalling events,M1,1,0
1,-9.7,R-HSA-2129379,Molecules associated with elastic fibres,M1,1,0
1,-11,R-HSA-1566948,Elastic fibre formation,M1,1,0
1,-6.6,R-HSA-6806834,Signaling by MET,M1,1,0
1,-3.4,R-HSA-9620244,Long-term potentiation,M1,1,0
1,-7.7,R-HSA-1971475,A tetrasaccharide linker sequence is required for GAG synthesis,M1,1,0
1,-6,R-HSA-5682910,LGI-ADAM interactions,M1,1,0
1,-2.5,R-HSA-438066,"Unblocking of NMDA receptors, glutamate binding and activation",M1,1,0
1,-4.4,R-HSA-2024096,HS-GAG degradation,M1,1,0
1,-2.5,R-HSA-879518,Transport of organic anions,M1,1,0
1,-2.1,R-HSA-109704,PI3K Cascade,M1,1,0
1,-2.5,R-HSA-9762292,Regulation of CDH11 function,M1,1,0
1,-3,R-HSA-3595177,Defective CHSY1 causes TPBS,M1,1,0
1,-21,R-HSA-397014,Muscle contraction,M1,1,0
