_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-4.3,R-HSA-2219528,PI3K/AKT Signaling in Cancer,M1,1,0
1,-15,R-HSA-9675108,Nervous system development,M1,1,0
1,-4.2,R-HSA-1963642,PI3K events in ERBB2 signaling,M1,1,0
1,-3.8,R-HSA-9694614,Attachment and Entry,M1,1,0
1,-4.3,R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",M1,1,0
1,-9.3,R-HSA-2243919,Crosslinking of collagen fibrils,M1,1,0
1,-3.5,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,M1,1,0
1,-3.2,R-HSA-9013508,NOTCH3 Intracellular Domain Regulates Transcription,M1,1,0
1,-2.9,R-HSA-3656225,Defective CHST6 causes MCDC1,M1,1,0
1,-2.9,R-HSA-3595172,Defective CHST3 causes SEDCJD,M1,1,0
1,-2.1,R-HSA-977443,GABA receptor activation,M1,1,0
1,-4.5,R-HSA-1250347,SHC1 events in ERBB4 signaling,M1,1,0
1,-2.4,R-HSA-8848021,Signaling by PTK6,M1,1,0
1,-2.3,R-HSA-6794361,Neurexins and neuroligins,M1,1,0
1,-13,R-HSA-3781865,Diseases of glycosylation,M1,1,0
1,-2.9,R-HSA-166658,Complement cascade,M1,1,0
1,-3.1,R-HSA-1257604,PIP3 activates AKT signaling,M1,1,0
1,-2.6,R-HSA-4641263,Regulation of FZD by ubiquitination,M1,1,0
1,-8.6,R-HSA-2214320,Anchoring fibril formation,M1,1,0
1,-4.7,R-HSA-8875878,MET promotes cell motility,M1,1,0
1,-5.4,R-HSA-1250342,PI3K events in ERBB4 signaling,M1,1,0
1,-7.8,R-HSA-3560782,Diseases associated with glycosaminoglycan metabolism,M1,1,0
1,-2.6,R-HSA-419812,Calcitonin-like ligand receptors,M1,1,0
1,-4.1,R-HSA-170834,Signaling by TGF-beta Receptor Complex,M1,1,0
1,-3.2,R-HSA-9012999,RHO GTPase cycle,M1,1,0
1,-2.4,R-HSA-2980736,Peptide hormone metabolism,M1,1,0
1,-7.1,R-HSA-186797,Signaling by PDGF,M1,1,0
1,-9.7,R-HSA-5668914,Diseases of metabolism,M1,1,0
1,-2.3,R-HSA-9031628,NGF-stimulated transcription,M1,1,0
1,-4.4,R-HSA-445355,Smooth Muscle Contraction,M1,1,0
1,-9,R-HSA-3906995,Diseases associated with O-glycosylation of proteins,M1,1,0
1,-2.6,R-HSA-9013695,NOTCH4 Intracellular Domain Regulates Transcription,M1,1,0
1,-2.4,R-HSA-196854,Metabolism of vitamins and cofactors,M1,1,0
1,-2.7,R-HSA-977606,Regulation of Complement cascade,M1,1,0
1,-2.6,R-HSA-9702518,STAT5 activation downstream of FLT3 ITD mutants,M1,1,0
1,-2.4,R-HSA-425393,Transport of inorganic cations/anions and amino acids/oligopeptides,M1,1,0
1,-2.6,R-HSA-5627117,RHO GTPases Activate ROCKs,M1,1,0
1,-2.4,R-HSA-9827857,Specification of primordial germ cells,M1,1,0
1,-7.4,R-HSA-112316,Neuronal System,M1,1,0
1,-3.2,R-HSA-9664565,Signaling by ERBB2 KD Mutants,M1,1,0
1,-3.9,R-HSA-373076,Class A/1 (Rhodopsin-like receptors),M1,1,0
1,-13,R-HSA-422475,Axon guidance,M1,1,0
1,-3,R-HSA-399954,Sema3A PAK dependent Axon repulsion,M1,1,0
1,-2.3,R-HSA-194315,Signaling by Rho GTPases,M1,1,0
1,-15,R-HSA-3000178,ECM proteoglycans,M1,1,0
1,-42,R-HSA-1474244,Extracellular matrix organization,M1,1,0
