Gene,TotalEvidenceCounts,EvidenceHit:modules_epi_black_sorted_top300,EvidenceHit:modules_epi_blue_sorted_top300,EvidenceHit:modules_epi_pink_sorted_top300,EvidenceHit:modules_epi_red_sorted_top300,EvidenceHit:modules_epi_turquoise_sorted_top300,EvidenceHit:modules_epi_yellow_sorted_top300,EvidenceGO:modules_epi_black_sorted_top300,EvidenceGO:modules_epi_blue_sorted_top300,EvidenceGO:modules_epi_pink_sorted_top300,EvidenceGO:modules_epi_red_sorted_top300,EvidenceGO:modules_epi_turquoise_sorted_top300,EvidenceGO:modules_epi_yellow_sorted_top300,EvidencePPI:modules_epi_black_sorted_top300,EvidencePPI:modules_epi_blue_sorted_top300,EvidencePPI:modules_epi_pink_sorted_top300,EvidencePPI:modules_epi_red_sorted_top300,EvidencePPI:modules_epi_turquoise_sorted_top300,EvidencePPI:modules_epi_yellow_sorted_top300
83953,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
57118,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
4069,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
23677,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
558,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
8767,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
30850,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6747,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
84951,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
130589,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1030,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
394,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1728,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5879,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4773,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2802,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2280,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
117177,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3659,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
30815,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
7832,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3627,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
633,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
55765,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
10083,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5360,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
6498,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
5328,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
9501,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
54101,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
11135,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
164656,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
374,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
79816,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
27348,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
6560,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
58191,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
388,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
5724,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
9873,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1535,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
65264,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
29108,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
7277,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
8714,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
285,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
9076,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
6374,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
10148,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5720,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
894,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10409,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6776,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
64423,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
81628,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5743,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
79589,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2921,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
8737,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
5795,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
50618,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
23612,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
5074,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
10551,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
351,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
4644,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
10627,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
4214,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2774,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
684,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
10010,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3437,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5971,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
54874,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
3726,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
4967,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
174,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4650,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
5696,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1824,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2109,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
8506,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2526,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
27342,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2677,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
7480,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
134957,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
5002,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10096,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
151636,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
150465,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
27074,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
60681,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
6376,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
63940,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
54361,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
81622,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4351,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
390,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
4648,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
94056,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10015,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
950,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10763,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
4354,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1741,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
9514,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
6091,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1364,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
5359,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
27092,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1264,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
9258,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
56262,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
9804,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
360,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
9805,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
51205,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3170,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2318,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
80762,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
35,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
30851,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
83481,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
5516,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
7126,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
4131,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
25780,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1891,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
10254,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4646,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
55717,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
113277,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2000,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
216,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
8482,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
10670,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
115004,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
157,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
6690,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
79944,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
57552,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1308,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
51343,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
54918,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
135112,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
5048,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
89944,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2771,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
11099,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
3485,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
6947,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3831,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
23529,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
54869,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
7040,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
8879,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
415,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
8821,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
64135,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5708,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
163702,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
6649,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
55080,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
92610,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
467,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
9253,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
57462,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1026,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
7113,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2990,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1307,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
8878,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
6732,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
54625,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3459,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1738,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
331,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
7035,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
7067,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
6522,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
8943,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3384,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3107,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4301,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4048,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
326624,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
9056,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
84888,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2348,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1004,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
51085,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
604,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
144402,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
121665,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
9367,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4070,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
10079,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
23424,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
23646,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
7016,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2887,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
9413,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
27134,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
6641,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1366,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
4868,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
43,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
56882,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6876,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2150,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
23584,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
55902,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
7184,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3431,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4792,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
56829,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
858,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
55743,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
51083,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
51084,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
8309,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5209,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
666,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
9074,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
8740,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
8741,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1949,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5033,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3663,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3566,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
10755,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
25870,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2055,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
7923,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
23315,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
55858,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
27245,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
27067,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
7763,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
6515,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
85007,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2811,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
83666,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
84446,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
7321,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
8938,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
7076,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
6752,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5562,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
7048,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
57698,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1783,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
