Gene,TotalEvidenceCounts,EvidenceHit:modules_mes_black_sorted_top300,EvidenceHit:modules_mes_blue_sorted_top300,EvidenceHit:modules_mes_green_sorted_top300,EvidenceHit:modules_mes_grey_sorted_top300,EvidenceHit:modules_mes_pink_sorted_top300,EvidenceHit:modules_mes_red_sorted_top300,EvidenceGO:modules_mes_black_sorted_top300,EvidenceGO:modules_mes_blue_sorted_top300,EvidenceGO:modules_mes_green_sorted_top300,EvidenceGO:modules_mes_grey_sorted_top300,EvidenceGO:modules_mes_pink_sorted_top300,EvidenceGO:modules_mes_red_sorted_top300,EvidencePPI:modules_mes_black_sorted_top300,EvidencePPI:modules_mes_blue_sorted_top300,EvidencePPI:modules_mes_green_sorted_top300,EvidencePPI:modules_mes_grey_sorted_top300,EvidencePPI:modules_mes_pink_sorted_top300,EvidencePPI:modules_mes_red_sorted_top300
1856,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
4791,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
29126,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
55048,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
9023,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
202,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
81567,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3959,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
8809,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2309,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1956,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
162,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
10797,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3572,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
9055,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
143872,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1947,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
6867,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
481,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
4780,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
6364,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
10906,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5862,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
10628,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
23070,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3576,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
6732,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
8200,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
8837,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
25953,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1788,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
259307,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
6601,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
27152,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
81502,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
55679,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1387,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
10133,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2026,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
11171,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2826,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
10499,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2327,2.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30061,2.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1005,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
81691,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5831,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9993,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
56983,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
197407,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4724,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
395,2.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2134,2.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
57464,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28981,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3068,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1836,2.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
80213,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55974,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6294,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
90326,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9901,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
81788,2.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4327,2.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
84196,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
221749,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
160897,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
161176,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4163,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6787,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55332,2.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5859,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
