Cluster,Score,Type,Gene,Symbol,Network
3,1.6666666666666667,Clustered,55226,NAT10,down_common_genes_SUB1
3,1.6666666666666667,Clustered,5156,PDGFRA,down_common_genes_SUB1
3,1.6666666666666667,Clustered,11103,KRR1,down_common_genes_SUB1
3,1.6666666666666667,Clustered,26156,RSL1D1,down_common_genes_SUB1
3,1.6666666666666667,Clustered,5501,PPP1CC,down_common_genes_SUB1
3,1.6666666666666667,Seed,7048,TGFBR2,down_common_genes_SUB1
1,1.6470588235294117,Clustered,84263,HSDL2,down_common_genes_SUB1
1,1.6470588235294117,Clustered,79934,COQ8B,down_common_genes_SUB1
1,1.6470588235294117,Clustered,3615,IMPDH2,down_common_genes_SUB1
1,1.6470588235294117,Clustered,8555,CDC14B,down_common_genes_SUB1
1,1.6470588235294117,Clustered,1938,EEF2,down_common_genes_SUB1
1,1.6470588235294117,Clustered,56997,COQ8A,down_common_genes_SUB1
1,1.6470588235294117,Clustered,10128,LRPPRC,down_common_genes_SUB1
1,1.6470588235294117,Clustered,3295,HSD17B4,down_common_genes_SUB1
1,1.6470588235294117,Clustered,8309,ACOX2,down_common_genes_SUB1
1,1.6470588235294117,Clustered,81622,UNC93B1,down_common_genes_SUB1
1,1.6470588235294117,Clustered,219743,TYSND1,down_common_genes_SUB1
1,1.6470588235294117,Clustered,25929,GEMIN5,down_common_genes_SUB1
1,1.6470588235294117,Clustered,57473,ZNF512B,down_common_genes_SUB1
1,1.6470588235294117,Clustered,678,ZFP36L2,down_common_genes_SUB1
1,1.6470588235294117,Seed,2053,EPHX2,down_common_genes_SUB1
1,1.6470588235294117,Clustered,64425,POLR1E,down_common_genes_SUB1
1,1.6470588235294117,Clustered,5830,PEX5,down_common_genes_SUB1
2,1.3125,Clustered,51084,CRYL1,down_common_genes_SUB1
2,1.3125,Clustered,79039,DDX54,down_common_genes_SUB1
2,1.3125,Clustered,4716,NDUFB10,down_common_genes_SUB1
2,1.3125,Clustered,23059,CLUAP1,down_common_genes_SUB1
2,1.3125,Clustered,5575,PRKAR1B,down_common_genes_SUB1
2,1.3125,Clustered,7205,TRIP6,down_common_genes_SUB1
2,1.3125,Clustered,9742,IFT140,down_common_genes_SUB1
2,1.3125,Clustered,38,ACAT1,down_common_genes_SUB1
2,1.3125,Clustered,728294,D2HGDH,down_common_genes_SUB1
2,1.3125,Clustered,64949,MRPS26,down_common_genes_SUB1
2,1.3125,Clustered,30,ACAA1,down_common_genes_SUB1
2,1.3125,Clustered,5296,PIK3R2,down_common_genes_SUB1
2,1.3125,Clustered,57505,AARS2,down_common_genes_SUB1
2,1.3125,Clustered,4869,NPM1,down_common_genes_SUB1
2,1.3125,Clustered,10454,TAB1,down_common_genes_SUB1
2,1.3125,Clustered,55005,RMND1,down_common_genes_SUB1
4,1.0,Clustered,224,ALDH3A2,down_common_genes_SUB1
4,1.0,Seed,5095,PCCA,down_common_genes_SUB1
4,1.0,Clustered,84532,ACSS1,down_common_genes_SUB1
2,2.5,Clustered,587,BCAT2,down_epi_only_SUB1
2,2.5,Clustered,83732,RIOK1,down_epi_only_SUB1
2,2.5,Clustered,4833,NME4,down_epi_only_SUB1
2,2.5,Clustered,2181,ACSL3,down_epi_only_SUB1
2,2.5,Clustered,3329,HSPD1,down_epi_only_SUB1
2,2.5,Clustered,3065,HDAC1,down_epi_only_SUB1
2,2.5,Clustered,10935,PRDX3,down_epi_only_SUB1
2,2.5,Clustered,23277,CLUH,down_epi_only_SUB1
2,2.5,Clustered,10051,SMC4,down_epi_only_SUB1
2,2.5,Seed,4522,MTHFD1,down_epi_only_SUB1
2,2.5,Clustered,55720,TSR1,down_epi_only_SUB1
2,2.5,Clustered,64965,MRPS9,down_epi_only_SUB1
2,2.5,Clustered,5538,PPT1,down_epi_only_SUB1
2,2.5,Clustered,79154,DHRS11,down_epi_only_SUB1
2,2.5,Clustered,60558,GUF1,down_epi_only_SUB1
