_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.2,R-HSA-180336,SHC1 events in EGFR signaling,M1,1,0
1,-6.3,R-HSA-76002,"Platelet activation, signaling and aggregation",M1,1,0
1,-3.6,R-HSA-1980143,Signaling by NOTCH1,M1,1,0
1,-2.1,R-HSA-9619665,EGR2 and SOX10-mediated initiation of Schwann cell myelination,M1,1,0
1,-8.9,R-HSA-4420332,Defective B3GALT6 causes EDSP2 and SEMDJL1,M1,1,0
1,-8.5,R-HSA-5668914,Diseases of metabolism,M1,1,0
1,-2.3,R-HSA-174824,"Plasma lipoprotein assembly, remodeling, and clearance",M1,1,0
1,-6.6,R-HSA-909733,Interferon alpha/beta signaling,M1,1,0
1,-7.7,R-HSA-1971475,A tetrasaccharide linker sequence is required for GAG synthesis,M1,1,0
1,-2.6,R-HSA-428542,Regulation of commissural axon pathfinding by SLIT and ROBO,M1,1,0
1,-2,R-HSA-210744,Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,M1,1,0
1,-6.3,R-HSA-3906995,Diseases associated with O-glycosylation of proteins,M1,1,0
1,-2.7,R-HSA-425407,SLC-mediated transmembrane transport,M1,1,0
1,-11,R-HSA-109582,Hemostasis,M1,1,0
1,-5.2,R-HSA-421270,Cell-cell junction organization,M1,1,0
1,-7.3,R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,M1,1,0
1,-2.3,R-HSA-5140745,"WNT5A-dependent internalization of FZD2, FZD5 and ROR2",M1,1,0
1,-11,R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,M1,1,0
1,-4.2,R-HSA-170834,Signaling by TGF-beta Receptor Complex,M1,1,0
1,-3.3,R-HSA-9012999,RHO GTPase cycle,M1,1,0
1,-2.9,R-HSA-5638303,Inhibition of Signaling by Overexpressed EGFR,M1,1,0
1,-4.3,R-HSA-9006936,Signaling by TGFB family members,M1,1,0
1,-2.6,R-HSA-1250342,PI3K events in ERBB4 signaling,M1,1,0
1,-4.1,R-HSA-8983711,OAS antiviral response,M1,1,0
1,-2.7,R-HSA-5627117,RHO GTPases Activate ROCKs,M1,1,0
1,-7,R-HSA-5173105,O-linked glycosylation,M1,1,0
1,-2.6,R-HSA-9658195,Leishmania infection,M1,1,0
1,-2,R-HSA-913709,O-linked glycosylation of mucins,M1,1,0
1,-2.4,R-HSA-5627123,RHO GTPases activate PAKs,M1,1,0
1,-8.3,R-HSA-397014,Muscle contraction,M1,1,0
1,-4.1,R-HSA-5684996,MAPK1/MAPK3 signaling,M1,1,0
1,-2.3,R-HSA-2892247,"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",M1,1,0
1,-4.8,R-HSA-877300,Interferon gamma signaling,M1,1,0
1,-2.8,R-HSA-212718,EGFR interacts with phospholipase C-gamma,M1,1,0
1,-11,R-HSA-3781865,Diseases of glycosylation,M1,1,0
