_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.7,R-HSA-2132295,MHC class II antigen presentation,M1,1,0
1,-2.9,R-HSA-170834,Signaling by TGF-beta Receptor Complex,M1,1,0
1,-2.4,R-HSA-8979227,Triglyceride metabolism,M1,1,0
1,-8,R-HSA-109582,Hemostasis,M1,1,0
1,-3.6,R-HSA-2559585,Oncogene Induced Senescence,M1,1,0
1,-6,R-HSA-421270,Cell-cell junction organization,M1,1,0
1,-3.7,R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,M1,1,0
1,-2.6,R-HSA-210745,Regulation of gene expression in beta cells,M1,1,0
1,-2.8,R-HSA-418555,G alpha (s) signalling events,M1,1,0
1,-7.9,R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,M1,1,0
1,-2.4,R-HSA-2559582,Senescence-Associated Secretory Phenotype (SASP),M1,1,0
1,-3.2,R-HSA-3906995,Diseases associated with O-glycosylation of proteins,M1,1,0
1,-3,R-HSA-9012999,RHO GTPase cycle,M1,1,0
1,-2.4,R-HSA-163560,Triglyceride catabolism,M1,1,0
1,-3.1,R-HSA-9006936,Signaling by TGFB family members,M1,1,0
1,-3,R-HSA-164378,PKA activation in glucagon signalling,M1,1,0
1,-2.7,R-HSA-418597,G alpha (z) signalling events,M1,1,0
1,-2.1,R-HSA-2559580,Oxidative Stress Induced Senescence,M1,1,0
1,-6.1,R-HSA-3560801,Defective B3GAT3 causes JDSSDHD,M1,1,0
1,-2.5,R-HSA-445717,Aquaporin-mediated transport,M1,1,0
1,-6.8,R-HSA-425407,SLC-mediated transmembrane transport,M1,1,0
1,-4,R-HSA-425366,"Transport of bile salts and organic acids, metal ions and amine compounds",M1,1,0
1,-3.3,R-HSA-170670,Adenylate cyclase inhibitory pathway,M1,1,0
1,-2.1,R-HSA-1296059,G protein gated Potassium channels,M1,1,0
1,-2.3,R-HSA-2892247,"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",M1,1,0
1,-2.8,R-HSA-877300,Interferon gamma signaling,M1,1,0
1,-4.6,R-HSA-977444,GABA B receptor activation,M1,1,0
1,-6.9,R-HSA-3781865,Diseases of glycosylation,M1,1,0
1,-4.1,R-HSA-9617828,FOXO-mediated transcription of cell cycle genes,M1,1,0
1,-2.8,R-HSA-9725371,Nuclear events stimulated by ALK signaling in cancer,M1,1,0
1,-3.6,R-HSA-1630316,Glycosaminoglycan metabolism,M1,1,0
1,-3,R-HSA-2980736,Peptide hormone metabolism,M1,1,0
1,-3.3,R-HSA-452723,Transcriptional regulation of pluripotent stem cells,M1,1,0
1,-5.3,R-HSA-1971475,A tetrasaccharide linker sequence is required for GAG synthesis,M1,1,0
1,-2.7,R-HSA-163615,PKA activation,M1,1,0
1,-4.8,R-HSA-9658195,Leishmania infection,M1,1,0
1,-5.8,R-HSA-76002,"Platelet activation, signaling and aggregation",M1,1,0
1,-2.1,R-HSA-1296041,Activation of G protein gated Potassium channels,M1,1,0
1,-6.1,R-HSA-4420332,Defective B3GALT6 causes EDSP2 and SEMDJL1,M1,1,0
1,-3.6,R-HSA-5668914,Diseases of metabolism,M1,1,0
1,-3,R-HSA-6809371,Formation of the cornified envelope,M1,1,0
1,-2.3,R-HSA-174824,"Plasma lipoprotein assembly, remodeling, and clearance",M1,1,0
1,-2.8,R-HSA-9662851,Anti-inflammatory response favouring Leishmania parasite infection,M1,1,0
1,-2.3,R-HSA-9733458,Induction of Cell-Cell Fusion,M1,1,0
1,-6.9,R-HSA-382551,Transport of small molecules,M1,1,0
1,-2.2,R-HSA-177504,Retrograde neurotrophin signalling,M1,1,0
1,-6.4,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,M1,1,0
1,-8.6,R-HSA-1474228,Degradation of the extracellular matrix,M1,1,0
1,-6,R-HSA-3595174,"Defective CHST14 causes EDS, musculocontractural type",M1,1,0
1,-4.9,R-HSA-388396,GPCR downstream signalling,M1,1,0
1,-3.9,R-HSA-2559583,Cellular Senescence,M1,1,0
1,-3.7,R-HSA-186797,Signaling by PDGF,M1,1,0
1,-7.5,R-HSA-1474290,Collagen formation,M1,1,0
1,-2.4,R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,M1,1,0
1,-9.2,R-HSA-3000171,Non-integrin membrane-ECM interactions,M1,1,0
1,-2.5,R-HSA-112310,Neurotransmitter release cycle,M1,1,0
1,-2.4,R-HSA-2129379,Molecules associated with elastic fibres,M1,1,0
1,-4.8,R-HSA-1650814,Collagen biosynthesis and modifying enzymes,M1,1,0
1,-2.6,R-HSA-6798695,Neutrophil degranulation,M1,1,0
1,-2.9,R-HSA-2682334,EPH-Ephrin signaling,M1,1,0
1,-4.8,R-HSA-186712,Regulation of beta-cell development,M1,1,0
1,-2.4,R-HSA-5576891,Cardiac conduction,M1,1,0
1,-2.1,R-HSA-372708,p130Cas linkage to MAPK signaling for integrins,M1,1,0
1,-5,R-HSA-425393,Transport of inorganic cations/anions and amino acids/oligopeptides,M1,1,0
1,-2.1,R-HSA-975634,Retinoid metabolism and transport,M1,1,0
1,-2.9,R-HSA-432040,Vasopressin regulates renal water homeostasis via Aquaporins,M1,1,0
1,-3.9,R-HSA-1280215,Cytokine Signaling in Immune system,M1,1,0
1,-8.7,R-HSA-112316,Neuronal System,M1,1,0
