_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,Description,_PATTERN_,_RANK_,GiniIndex
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,0,GO:0060711,labyrinthine layer development,M00000010,1,0
0,0,0,1,0,0,0,0,0,0,0,-4.3,0,0,0,0,M5896,HALLMARK TGF BETA SIGNALING,M00010000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-15,0,0,0,R-HSA-69563,p53-Dependent G1 DNA Damage Response,M00001000,1,0
0,0,1,0,0,0,0,0,0,0,-2.3,0,0,0,0,0,R-HSA-5619507,Activation of HOX genes during differentiation,M00100000,1,0
0,0,1,0,0,0,0,0,0,0,-4.3,0,0,0,0,0,WP4565,Neural crest cell migration in cancer,M00100000,1,0
0,1,0,0,0,0,0,0,0,-2.5,0,0,0,0,0,0,GO:0007187,"G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",M01000000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.2,0,0,GO:0104004,cellular response to environmental stimulus,M00000100,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.2,0,0,0,R-HSA-9696264,RND3 GTPase cycle,M00001000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.5,0,0,GO:0032715,negative regulation of interleukin-6 production,M00000100,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-9.6,0,0,0,GO:0007249,canonical NF-kappaB signal transduction,M00001000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-3.5,0,0,0,GO:0097396,response to interleukin-17,M00001000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,0,R-HSA-1474290,Collagen formation,M00000010,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.7,0,0,0,R-HSA-9664422,FCGR3A-mediated phagocytosis,M00001000,1,0
0,1,0,0,0,0,0,0,0,-5.5,0,0,0,0,0,0,GO:0007586,digestion,M01000000,1,0
