GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
GO:0009617,response to bacterium,0.0,0.0,0.0,0.0,-5.825332929805402,0.0,0.0,-8.89574676499671
GO:0071396,cellular response to lipid,0.0,0.0,0.0,0.0,-6.476954734670704,0.0,-2.2669452109601838,-2.6935455219039564
GO:0030162,regulation of proteolysis,0.0,-3.0815641454907414,0.0,0.0,-9.797461643835094,0.0,0.0,-2.7051124326624714
R-HSA-1280215,Cytokine Signaling in Immune system,0.0,0.0,0.0,0.0,-32.59180208333233,-5.817965872087153,0.0,-13.387830473140578
R-HSA-1280218,Adaptive Immune System,0.0,0.0,0.0,0.0,-15.5404111548236,-5.97706332485947,0.0,-6.9608823854195725
GO:0032103,positive regulation of response to external stimulus,0.0,0.0,0.0,0.0,-10.411178603297175,-2.7162073859914155,0.0,-6.914299890873511
GO:0002831,regulation of response to biotic stimulus,0.0,0.0,0.0,0.0,-14.388421795170897,-2.0151028172441494,0.0,-7.411753856223874
M5890,HALLMARK TNFA SIGNALING VIA NFKB,0.0,0.0,0.0,0.0,-34.367267012026275,-2.9376620928589303,0.0,-5.424054709169224
hsa05417,Lipid and atherosclerosis,0.0,0.0,0.0,0.0,-7.176847257766527,-2.1135627421553673,0.0,-2.9557287574897027
GO:0031401,positive regulation of protein modification process,0.0,0.0,0.0,0.0,-11.03995751567972,-3.831242017062522,0.0,-2.1655870823558816
GO:0045785,positive regulation of cell adhesion,0.0,0.0,0.0,-2.459860960956174,-7.143907561192542,-2.23893604762245,0.0,-3.5957080769913885
GO:0019752,carboxylic acid metabolic process,-8.8997862717188,-9.041974919235374,0.0,0.0,0.0,0.0,-7.281064871914761,0.0
R-HSA-556833,Metabolism of lipids,-7.925379349345992,-4.737548117643966,0.0,0.0,0.0,0.0,-11.04845204294126,0.0
GO:0005975,carbohydrate metabolic process,-4.269335203890249,-4.265924012065446,0.0,0.0,0.0,0.0,-6.791512999214515,0.0
GO:0009410,response to xenobiotic stimulus,-3.1465640569450124,-4.352825848415124,0.0,0.0,0.0,0.0,-4.811330336270606,0.0
GO:0090407,organophosphate biosynthetic process,-2.8120263165367603,-2.713565007618484,0.0,0.0,0.0,0.0,-8.911043468662582,0.0
M5934,HALLMARK XENOBIOTIC METABOLISM,-4.445484550539417,-3.5580431649198956,0.0,0.0,0.0,0.0,-2.836399446041233,0.0
GO:0006631,fatty acid metabolic process,-9.794807347382253,-2.9757760748382127,0.0,0.0,0.0,0.0,-3.3935425816804115,0.0
GO:0044282,small molecule catabolic process,-6.734566363218335,-6.747586780932492,0.0,0.0,0.0,0.0,-2.5476350940715684,0.0
M5935,HALLMARK FATTY ACID METABOLISM,-3.5340241781081336,-7.736307398479742,-2.2305347154619315,0.0,0.0,0.0,-3.4385361694488905,0.0
GO:1901137,carbohydrate derivative biosynthetic process,-2.0365989953162895,-4.929296562622091,0.0,0.0,0.0,0.0,-16.155202339740683,-3.1661138053735893
GO:0010876,lipid localization,-2.41168019879033,-7.512243372778557,0.0,0.0,0.0,0.0,-5.3550283149081155,-2.9232211593333473
GO:0055086,nucleobase-containing small molecule metabolic process,-2.0365989953162895,-2.6868727618960393,0.0,0.0,0.0,0.0,-5.512735037171731,-3.1661138053735893
WP5304,Cholesterol metabolism,0.0,-5.403027350047985,0.0,0.0,0.0,0.0,-8.063860951958699,0.0
M5937,HALLMARK GLYCOLYSIS,0.0,-3.5580431649198956,0.0,0.0,0.0,0.0,-8.821410212952731,0.0
