_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-3.4,PGB:00004,M1,1,0,PaGenBase,36,Tissue-specific: kidney,,-3.4,2,3.8,30293,483,875,28,3.2,0.59,771|846|1672|1803|2244|3212|3218|3772|4316|4496|5069|5076|5456|6493|7021|9075|9620|10655|23600|50614|55214|55351|79919|147040|166824|169693|338094|387700,CA12|CASR|DEFB1|DPP4|FGB|HOXB2|HOXB8|KCNJ15|MMP7|MT1H|PAPPA|PAX2|POU3F4|SIM2|TFAP2B|CLDN2|CELSR1|DMRT2|AMACR|GALNT9|P3H2|STK32B|MAB21L4|KCTD11|RASSF6|TMEM252|FAM151A|SLC16A12,-2.2,0
1,-3.2,PGB:00072,M1,1,0,PaGenBase,36,Tissue-specific: uterus,,-3.2,3.8,4.3,30293,83,875,9,1,0.34,1264|2018|2619|4316|4319|6659|6781|9260|80045,CNN1|EMX2|GAS1|MMP7|MMP10|SOX4|STC1|PDLIM7|GPR157,-2,0
1,-3.1,PGB:00126,M1,1,0,PaGenBase,36,Cell-specific: Testis cell,,-3.1,6.7,5,30293,26,875,5,0.57,0.25,3772|5727|55211|64321|283659,KCNJ15|PTCH1|DPPA4|SOX17|PRTG,-1.9,0
1,-3,PGB:00046,M1,1,0,PaGenBase,36,Cell-specific: 721B lymphoblasts,,-3,3.5,4.1,30293,88,875,9,1,0.34,429|664|2823|3936|29015|54102|55214|56667|84969,ASCL1|BNIP3|GPM6A|LCP1|SLC43A3|CLIC6|P3H2|MUC13|TOX2,-1.9,0
1,-3,PGB:00101,M1,1,0,PaGenBase,36,Tissue-specific: Colorectal adenocarcinoma,,-3,5.1,4.5,30293,41,875,6,0.69,0.28,4642|4804|6274|6515|10205|147495,MYO1D|NGFR|S100A3|SLC2A3|MPZL2|APCDD1,-1.8,0
1,-2.9,PGB:00050,M1,1,0,PaGenBase,36,Tissue-specific: trachea,,-2.9,3.4,4,30293,91,875,9,1,0.34,861|1048|1280|1404|1770|4586|9982|54360|79949,RUNX1|CEACAM5|COL2A1|HAPLN1|DNAH9|MUC5AC|FGFBP1|CYTL1|PLEKHS1,-1.8,0
1,-2.7,PGB:00057,M1,1,0,PaGenBase,36,Tissue-specific: ovary,,-2.7,2.3,3.4,30293,245,875,16,1.8,0.45,1137|1293|1421|2846|4192|5155|5178|6659|7474|23452|29881|57616|57829|147040|170302|203447,CHRNA4|COL6A3|CRYGD|LPAR4|MDK|PDGFB|PEG3|SOX4|WNT5A|ANGPTL2|NPC1L1|TSHZ3|ZP4|KCTD11|ARX|NRK,-1.6,0
1,-2.6,PGB:00068,M1,1,0,PaGenBase,36,Tissue-specific: Stomach,,-2.6,4.3,4,30293,48,875,6,0.69,0.28,768|4586|7031|10863|11199|56287,CA9|MUC5AC|TFF1|ADAM28|ANXA10|GKN1,-1.5,0
1,-2.4,PGB:00059,M1,1,0,PaGenBase,36,Cell-specific: Testis Germ Cell,,-2.4,3.2,3.5,30293,87,875,8,0.91,0.32,1191|1264|3158|4885|5354|5764|140597|340543,CLU|CNN1|HMGCS2|NPTX2|PLP1|PTN|TCEAL2|TCEAL5,-1.4,0
1,-2.3,PGB:00109,M1,1,0,PaGenBase,36,Cell-specific: COLO205,,-2.3,5.8,4,30293,24,875,4,0.46,0.23,1999|3158|5320|55018,ELF3|HMGCS2|PLA2G2A|ANKRD40CL,-1.3,0
1,-2.3,PGB:00032,M1,1,0,PaGenBase,36,Tissue-specific: cortex,,-2.3,3.7,3.5,30293,56,875,6,0.69,0.28,1010|1996|2258|3624|5077|9911,CDH12|ELAVL4|FGF13|INHBA|PAX3|TMCC2,-1.3,0
1,-2.2,PGB:00048,M1,1,0,PaGenBase,36,Tissue-specific: bone marrow,,-2.2,2.1,3,30293,227,875,14,1.6,0.42,1462|3676|4542|5196|6886|10326|10446|64581|65125|81027|81620|84376|92797|340120,VCAN|ITGA4|MYO1F|PF4|TAL1|SIRPB1|LRRN2|CLEC7A|WNK1|TUBB1|CDT1|HOOK3|HELB|ANKRD34B,-1.2,0
1,-2.1,PGB:00005,M1,1,0,PaGenBase,36,Tissue-specific: tonsil,,-2.1,3.5,3.3,30293,60,875,6,0.69,0.28,3557|5266|8022|10964|79919|154064,IL1RN|PI3|LHX3|IFI44L|MAB21L4|RAET1L,-1.1,0
1,-2.1,PGB:00054,M1,1,0,PaGenBase,36,Tissue-specific: thyroid,,-2.1,2.1,2.9,30293,233,875,14,1.6,0.42,744|796|862|3087|3772|3776|3855|5126|10874|10964|27293|50506|57082|392399,MPPED2|CALCA|RUNX1T1|HHEX|KCNJ15|KCNK2|KRT7|PCSK2|NMU|IFI44L|SMPDL3B|DUOX2|KNL1|LCN9,-1.1,0
