_MEMBER_modules_epi_black_sorted_top300,_MEMBER_modules_epi_blue_sorted_top300,_MEMBER_modules_epi_pink_sorted_top300,_MEMBER_modules_epi_red_sorted_top300,_MEMBER_modules_epi_turquoise_sorted_top300,_MEMBER_modules_epi_yellow_sorted_top300,_LogP_modules_epi_black_sorted_top300,_LogP_modules_epi_blue_sorted_top300,_LogP_modules_epi_pink_sorted_top300,_LogP_modules_epi_red_sorted_top300,_LogP_modules_epi_turquoise_sorted_top300,_LogP_modules_epi_yellow_sorted_top300,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,1,1,1,1,-2.6,-3.1,-2.2,-3.1,-2.6,-4.1,GO:0060627,regulation of vesicle-mediated transport,M111111,6,0
1,1,1,1,1,1,-5.3,-3.1,-8.8,-3.7,-3,-2.4,M5921,HALLMARK COMPLEMENT,M111111,6,0
1,1,1,1,1,1,-5,-4,-3.6,-7.3,-5.6,-6.7,GO:0098657,import into cell,M111111,6,0
1,1,1,1,1,1,-4,-2.2,-4.5,-5.6,-3,-4.5,GO:0071417,cellular response to organonitrogen compound,M111111,6,0
1,1,1,1,1,1,-3.7,-2.1,-3.7,-4.6,-2.8,-5.7,GO:0051336,regulation of hydrolase activity,M111111,6,0
1,1,1,1,1,1,-4.6,-18,-5.2,-7.8,-2.1,-5.1,R-HSA-6798695,Neutrophil degranulation,M111111,6,0
1,1,1,1,1,1,-4.1,-3.6,-3.6,-6.5,-5.9,-5.3,GO:0006897,endocytosis,M111111,6,0
1,0,1,1,1,1,-3.1,0,-8.8,-2.4,-5.3,-3.8,M5947,HALLMARK IL2 STAT5 SIGNALING,M101111,5,0
1,1,1,0,1,1,-4.9,-4.3,-4.3,0,-2.2,-2.7,GO:2001233,regulation of apoptotic signaling pathway,M111011,5,0
1,0,1,1,1,1,-4.9,0,-4.9,-2.3,-2.3,-4,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,M101111,5,0
1,0,1,1,1,1,-9.6,0,-6.4,-5.3,-4.8,-6.4,GO:0030097,hemopoiesis,M101111,5,0
1,1,0,1,1,1,-2.5,-2.1,0,-2.1,-11,-8.1,GO:0001944,vasculature development,M110111,5,0
1,0,1,1,1,1,-9.1,0,-3.5,-2.6,-5.8,-6.4,hsa05200,Pathways in cancer,M101111,5,0
1,0,1,1,1,1,-3.2,0,-2.4,-2.8,-4.1,-6.1,GO:0044092,negative regulation of molecular function,M101111,5,0
1,1,0,1,1,1,-2.3,-2.3,0,-3.3,-3.3,-3.9,GO:0010563,negative regulation of phosphorus metabolic process,M110111,5,0
1,1,1,1,0,1,-2.2,-9,-4.9,-5.4,0,-3,R-HSA-382551,Transport of small molecules,M111101,5,0
1,0,1,1,1,1,-3.7,0,-6.4,-5.2,-2.8,-4.7,GO:1901699,cellular response to nitrogen compound,M101111,5,0
1,0,1,1,1,1,-5.4,0,-13,-2.2,-4.4,-9,GO:0001775,cell activation,M101111,5,0
1,0,1,1,1,1,-3.2,0,-3.8,-6.2,-9.8,-9,R-HSA-9012999,RHO GTPase cycle,M101111,5,0
1,0,1,1,1,1,-6.6,0,-2.6,-5.1,-5.9,-4.5,GO:0030099,myeloid cell differentiation,M101111,5,0
1,0,1,1,1,1,-6.4,0,-3,-2.2,-11,-3.9,GO:0031401,positive regulation of protein modification process,M101111,5,0
1,1,0,1,1,1,-2.3,-2.3,0,-3.3,-3.3,-3.9,GO:0045936,negative regulation of phosphate metabolic process,M110111,5,0
1,0,1,1,1,1,-8.6,0,-3,-6.1,-7.3,-8.6,GO:2000147,positive regulation of cell motility,M101111,5,0
1,1,0,1,1,1,-4.6,-2,0,-5.2,-7.3,-9.5,GO:0009611,response to wounding,M110111,5,0
1,1,1,1,0,1,-2.5,-2.5,-7.4,-3,0,-6.1,GO:0030162,regulation of proteolysis,M111101,5,0
1,1,1,1,1,0,-2.3,-3.4,-5.2,-2.3,-2.3,0,GO:0043434,response to peptide hormone,M111110,5,0
1,0,1,1,1,1,-2.5,0,-7.9,-2.1,-2.5,-4.6,GO:0046649,lymphocyte activation,M101111,5,0
1,1,1,1,1,0,-4.1,-3.6,-6.6,-2.6,-2.6,0,GO:1901652,response to peptide,M111110,5,0
1,0,1,1,1,1,-6,0,-2.5,-2.1,-12,-6,GO:0043408,regulation of MAPK cascade,M101111,5,0
1,1,1,1,1,0,-4.4,-7.1,-5.4,-2.7,-3.5,0,GO:0009725,response to hormone,M111110,5,0
