_MEMBER_modules_epi_black_sorted_top300,_MEMBER_modules_epi_blue_sorted_top300,_MEMBER_modules_epi_pink_sorted_top300,_MEMBER_modules_epi_red_sorted_top300,_MEMBER_modules_epi_turquoise_sorted_top300,_MEMBER_modules_epi_yellow_sorted_top300,_LogP_modules_epi_black_sorted_top300,_LogP_modules_epi_blue_sorted_top300,_LogP_modules_epi_pink_sorted_top300,_LogP_modules_epi_red_sorted_top300,_LogP_modules_epi_turquoise_sorted_top300,_LogP_modules_epi_yellow_sorted_top300,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,0,1,1,1,1,-4.6,0,-5.9,-2.5,-4,-5.9,GO:0002521,leukocyte differentiation,M101111,5,0
1,1,1,1,1,0,-3.2,-3.2,-3.7,-4.8,-3.7,0,GO:1903530,regulation of secretion by cell,M111110,5,0
0,1,1,1,1,1,0,-2.6,-2.2,-6.4,-3.1,-2.2,GO:0010035,response to inorganic substance,M011111,5,0
1,0,1,1,1,1,-2.2,0,-2.2,-2.6,-3.5,-2.2,GO:0046903,secretion,M101111,5,0
1,1,1,1,1,0,-4.3,-4.8,-3.8,-4.8,-3.8,0,GO:0051046,regulation of secretion,M111110,5,0
1,0,1,1,1,1,-7.7,0,-2.7,-5.2,-7.7,-8.3,GO:0030335,positive regulation of cell migration,M101111,5,0
0,1,1,1,1,1,0,-2.1,-2.7,-4.1,-2.1,-4.9,GO:1903034,regulation of response to wounding,M011111,5,0
1,0,1,1,1,1,-4,0,-9.9,-2,-5.7,-6.4,GO:0045785,positive regulation of cell adhesion,M101111,5,0
1,0,1,1,1,1,-6.2,0,-2.3,-4.5,-6.2,-3.7,M5902,HALLMARK APOPTOSIS,M101111,5,0
1,0,1,1,1,1,-5.6,0,-12,-2.6,-3,-5.6,GO:0045321,leukocyte activation,M101111,5,0
1,0,1,1,1,1,-2.4,0,-4.3,-3.3,-4.8,-3.3,GO:0040008,regulation of growth,M101111,5,0
1,0,1,1,1,1,-21,0,-14,-2.4,-13,-8.8,M5890,HALLMARK TNFA SIGNALING VIA NFKB,M101111,5,0
1,0,1,1,1,1,-3.3,0,-4.2,-4.2,-2.6,-2.6,M145,PID P53 DOWNSTREAM PATHWAY,M101111,5,0
1,0,1,1,1,1,-3.5,0,-4.9,-3.5,-4.9,-7.6,GO:0008285,negative regulation of cell population proliferation,M101111,5,0
1,0,1,1,1,1,-2.5,0,-2.5,-4.6,-3.9,-11,GO:0007265,Ras protein signal transduction,M101111,5,0
1,0,1,1,1,1,-5.8,0,-12,-4.2,-2.4,-5.8,GO:0050865,regulation of cell activation,M101111,5,0
1,0,1,1,1,1,-8.4,0,-2.9,-5.9,-7.1,-8.4,GO:0040017,positive regulation of locomotion,M101111,5,0
1,0,1,1,1,1,-7.1,0,-3.3,-3.8,-8.4,-7.1,GO:0007167,enzyme-linked receptor protein signaling pathway,M101111,5,0
1,0,1,0,1,1,-3.2,0,-4.4,0,-2.6,-2.6,GO:0006935,chemotaxis,M101011,4,0
1,1,1,0,0,1,-3.3,-5.2,-2.2,0,0,-2.7,GO:0009100,glycoprotein metabolic process,M111001,4,0
1,0,0,1,1,1,-3.6,0,0,-2.5,-2.5,-4.3,WP3932,Focal adhesion PI3K Akt mTOR signaling pathway,M100111,4,0
0,0,1,1,1,1,0,0,-4.3,-11,-7.2,-4.3,R-HSA-1474244,Extracellular matrix organization,M001111,4,0
1,1,1,0,0,1,-2.3,-2.7,-6.7,0,0,-8.5,GO:0030163,protein catabolic process,M111001,4,0
0,1,0,1,1,1,0,-4,0,-4.5,-4.5,-5.1,GO:1903829,positive regulation of protein localization,M010111,4,0
1,0,1,0,1,1,-2.7,0,-2.2,0,-3.9,-2.7,R-HSA-5673001,RAF/MAP kinase cascade,M101011,4,0
1,0,0,1,1,1,-2.2,0,0,-4.8,-3.7,-4.2,GO:0043086,negative regulation of catalytic activity,M100111,4,0
1,0,1,0,1,1,-2.2,0,-7.5,0,-3.7,-2.9,GO:0002718,regulation of cytokine production involved in immune response,M101011,4,0
1,0,1,1,0,1,-2.6,0,-5.7,-2.6,0,-2.6,GO:0042129,regulation of T cell proliferation,M101101,4,0
1,0,1,1,0,1,-2.2,0,-2.2,-3.1,0,-3.1,hsa04115,p53 signaling pathway,M101101,4,0
1,0,1,1,1,0,-4.6,0,-4.7,-6.8,-4.2,0,M5885,NABA MATRISOME ASSOCIATED,M101110,4,0
0,1,0,1,1,1,0,-3.1,0,-7,-2,-4.9,GO:0050878,regulation of body fluid levels,M010111,4,0
1,0,1,0,1,1,-9.9,0,-8.8,0,-3.8,-2.2,hsa04668,TNF signaling pathway,M101011,4,0
1,0,1,0,1,1,-5.5,0,-2.9,0,-7.4,-4.4,GO:0043065,positive regulation of apoptotic process,M101011,4,0
1,1,0,1,1,0,-2,-3.2,0,-6.9,-2.6,0,M3468,NABA ECM REGULATORS,M110110,4,0
1,0,0,1,1,1,-5.2,0,0,-5.8,-3.6,-11,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,M100111,4,0
1,0,1,1,0,1,-4.8,0,-8.8,-2.3,0,-4.1,GO:0070663,regulation of leukocyte proliferation,M101101,4,0
1,0,0,1,1,1,-3.6,0,0,-2.3,-7.3,-4.6,GO:0010562,positive regulation of phosphorus metabolic process,M100111,4,0
1,0,0,1,1,1,-7,0,0,-3.9,-6.3,-2,GO:0071363,cellular response to growth factor stimulus,M100111,4,0
1,0,1,0,1,1,-3.1,0,-4.3,0,-2.6,-2.6,GO:0042330,taxis,M101011,4,0
1,0,0,1,1,1,-3.6,0,0,-2.3,-7.3,-4.6,GO:0045937,positive regulation of phosphate metabolic process,M100111,4,0
0,1,1,0,1,1,0,-3.6,-2.6,0,-3.6,-3.1,GO:0051051,negative regulation of transport,M011011,4,0
0,1,0,1,1,1,0,-4.1,0,-3.1,-8.1,-5.7,GO:0051338,regulation of transferase activity,M010111,4,0
1,0,1,1,0,1,-4.5,0,-9.6,-2.3,0,-3.3,GO:0050863,regulation of T cell activation,M101101,4,0
1,0,0,1,1,1,-2.4,0,0,-2.4,-20,-4.5,M5930,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,M100111,4,0
0,1,1,1,1,0,0,-2.2,-7,-4.7,-4.7,0,GO:0043062,extracellular structure organization,M011110,4,0
1,0,1,1,0,1,-3.4,0,-2.4,-3.4,0,-4.6,GO:0031400,negative regulation of protein modification process,M101101,4,0
1,0,0,1,1,1,-3.6,0,0,-4.2,-11,-2.5,GO:0031346,positive regulation of cell projection organization,M100111,4,0
1,0,1,0,1,1,-2.1,0,-2.5,0,-5.6,-10,GO:0098609,cell-cell adhesion,M101011,4,0
1,0,0,1,1,1,-3.5,0,0,-2.4,-2.9,-5.5,GO:0006914,autophagy,M100111,4,0
1,0,0,1,1,1,-2.3,0,0,-2.3,-3.1,-3.1,GO:0120034,positive regulation of plasma membrane bounded cell projection assembly,M100111,4,0
1,0,1,0,1,1,-17,0,-23,0,-7,-3.4,R-HSA-1280215,Cytokine Signaling in Immune system,M101011,4,0
1,0,1,0,1,1,-2.8,0,-2.8,0,-5.7,-3.3,WP5087,Pleural mesothelioma,M101011,4,0
1,1,0,1,0,1,-3.2,-4.7,0,-3.2,0,-3.2,GO:0055082,intracellular chemical homeostasis,M110101,4,0
1,0,1,1,0,1,-3.5,0,-3.5,-2.4,0,-2.9,GO:1901653,cellular response to peptide,M101101,4,0
1,0,1,0,1,1,-3,0,-2.6,0,-5.5,-4.4,GO:0080135,regulation of cellular response to stress,M101011,4,0
0,0,1,1,1,1,0,0,-3,-4,-2,-4.6,GO:1903706,regulation of hemopoiesis,M001111,4,0
0,1,1,1,1,0,0,-2.2,-7,-4.7,-4.7,0,GO:0030198,extracellular matrix organization,M011110,4,0
1,0,0,1,1,1,-5.2,0,0,-3.7,-6.4,-5.8,R-HSA-199991,Membrane Trafficking,M100111,4,0
1,0,1,0,1,1,-3,0,-3,0,-10,-4.1,GO:0043410,positive regulation of MAPK cascade,M101011,4,0
1,0,0,1,1,1,-2.3,0,0,-2.7,-11,-3.7,GO:0048729,tissue morphogenesis,M100111,4,0
1,0,1,1,0,1,-11,0,-15,-4.3,0,-3.3,GO:0006954,inflammatory response,M101101,4,0
1,0,0,1,1,1,-2.9,0,0,-3.5,-2.9,-4.2,GO:0007162,negative regulation of cell adhesion,M100111,4,0
1,0,0,1,1,1,-3,0,0,-5.3,-2.4,-6.1,M5939,HALLMARK P53 PATHWAY,M100111,4,0
1,1,1,1,0,0,-2.2,-2.9,-2.2,-2.2,0,0,GO:0051235,maintenance of location,M111100,4,0
1,0,1,0,1,1,-2.7,0,-4.4,0,-3.5,-4.3,WP4217,Ebola virus infection in host,M101011,4,0
1,1,1,0,1,0,-3.8,-2.8,-4.9,0,-2.3,0,GO:0032870,cellular response to hormone stimulus,M111010,4,0
1,0,0,1,1,1,-3.2,0,0,-2.4,-7,-4.7,GO:0042327,positive regulation of phosphorylation,M100111,4,0
1,1,0,1,0,1,-2.8,-2.4,0,-2.8,0,-3.3,GO:0055080,monoatomic cation homeostasis,M110101,4,0
1,0,1,0,1,1,-2.9,0,-2.3,0,-2.3,-5.1,hsa04015,Rap1 signaling pathway,M101011,4,0
1,0,1,0,1,1,-2.9,0,-7,0,-2.9,-2.1,GO:0002720,positive regulation of cytokine production involved in immune response,M101011,4,0
1,0,1,1,0,1,-5.5,0,-12,-2.8,0,-4.9,GO:0051249,regulation of lymphocyte activation,M101101,4,0
1,0,0,1,1,1,-4.4,0,0,-3.7,-3,-3,GO:0060491,regulation of cell projection assembly,M100111,4,0
1,0,0,1,1,1,-4.7,0,0,-2.1,-10,-6.4,GO:0035239,tube morphogenesis,M100111,4,0
1,0,1,0,1,1,-3.7,0,-3.7,0,-7.5,-3.7,GO:0010720,positive regulation of cell development,M101011,4,0
0,1,0,1,1,1,0,-6.9,0,-5.9,-2.6,-2.6,M5946,HALLMARK COAGULATION,M010111,4,0
1,1,1,1,0,0,-3,-6.3,-3,-2.5,0,0,GO:0010817,regulation of hormone levels,M111100,4,0
1,0,1,0,1,1,-3.7,0,-5.9,0,-2.5,-2.5,GO:0050900,leukocyte migration,M101011,4,0
0,1,0,1,1,1,0,-3.5,0,-8.2,-2.7,-6.2,R-HSA-114608,Platelet degranulation,M010111,4,0
0,1,0,1,1,1,0,-2.2,0,-2.2,-9.9,-8.4,GO:0001568,blood vessel development,M010111,4,0
1,0,1,0,1,1,-3.2,0,-2.6,0,-3.8,-2.6,R-HSA-5684996,MAPK1/MAPK3 signaling,M101011,4,0
1,1,0,0,1,1,-2.7,-2.7,0,0,-2.1,-2.7,GO:0070482,response to oxygen levels,M110011,4,0
1,0,1,0,1,1,-4.1,0,-2,0,-3.5,-8.8,GO:0043254,regulation of protein-containing complex assembly,M101011,4,0
1,1,0,1,0,1,-2.7,-2.3,0,-2.7,0,-3.2,GO:0050801,monoatomic ion homeostasis,M110101,4,0
1,0,1,0,1,1,-2.2,0,-4.6,0,-2.7,-3.3,GO:1901873,regulation of post-translational protein modification,M101011,4,0
0,1,0,1,1,1,0,-2.2,0,-3,-5.4,-3.9,GO:0051129,negative regulation of cellular component organization,M010111,4,0
0,0,1,1,1,1,0,0,-3.6,-2.5,-6,-4.1,GO:0001558,regulation of cell growth,M001111,4,0
1,0,0,1,1,1,-3.5,0,0,-2.4,-2.9,-5.5,GO:0061919,process utilizing autophagic mechanism,M100111,4,0
1,0,1,0,1,1,-2.8,0,-5.2,0,-2.2,-3.3,GO:1903131,mononuclear cell differentiation,M101011,4,0
1,0,1,1,0,1,-4.2,0,-2.6,-4.2,0,-2.6,GO:0050678,regulation of epithelial cell proliferation,M101101,4,0
1,1,1,0,1,0,-3.2,-3.2,-3.2,0,-2.5,0,GO:2001235,positive regulation of apoptotic signaling pathway,M111010,4,0
1,0,0,1,1,1,-4,0,0,-2.2,-18,-11,GO:0007015,actin filament organization,M100111,4,0
1,0,0,1,1,1,-4.4,0,0,-3.7,-3,-3,GO:0120032,regulation of plasma membrane bounded cell projection assembly,M100111,4,0
1,0,1,0,1,1,-5,0,-2.6,0,-2.6,-3.4,hsa04210,Apoptosis,M101011,4,0
0,1,0,1,1,1,0,-2.3,0,-4.1,-3.5,-3.5,GO:0042326,negative regulation of phosphorylation,M010111,4,0
1,0,1,0,1,1,-3.2,0,-3.7,0,-8.1,-6.8,GO:0008283,cell population proliferation,M101011,4,0
1,0,0,1,1,1,-5.1,0,0,-2.1,-2.1,-2.1,GO:0043409,negative regulation of MAPK cascade,M100111,4,0
1,0,0,1,1,1,-4.3,0,0,-2.9,-21,-14,GO:0030029,actin filament-based process,M100111,4,0
1,0,0,1,1,1,-4.8,0,0,-9.1,-5.9,-6.5,R-HSA-109582,Hemostasis,M100111,4,0
1,0,1,1,0,1,-3.9,0,-6.1,-2,0,-3.9,GO:0050670,regulation of lymphocyte proliferation,M101101,4,0
1,0,1,0,1,1,-2,0,-3.4,0,-2.4,-4.5,GO:0051345,positive regulation of hydrolase activity,M101011,4,0
1,0,1,0,1,1,-5.5,0,-3.1,0,-3,-5.5,R-HSA-73887,Death Receptor Signaling,M101011,4,0
1,0,1,1,0,1,-5.9,0,-12,-3.7,0,-5.3,GO:0002694,regulation of leukocyte activation,M101101,4,0
1,0,0,1,1,1,-2.3,0,0,-4.2,-8.9,-9.8,GO:0007264,small GTPase mediated signal transduction,M100111,4,0
0,1,1,1,1,0,0,-2.2,-6.9,-4.7,-4.7,0,GO:0045229,external encapsulating structure organization,M011110,4,0
0,0,1,1,1,1,0,0,-2.6,-3.1,-3.7,-2.6,GO:0022411,cellular component disassembly,M001111,4,0
1,0,1,0,1,1,-5.9,0,-3.2,0,-7.1,-5.9,GO:0043068,positive regulation of programmed cell death,M101011,4,0
0,1,1,0,1,1,0,-3.4,-2.8,0,-3.4,-2.3,GO:0071496,cellular response to external stimulus,M011011,4,0
0,0,1,1,1,1,0,0,-3.3,-4.9,-2.6,-2.6,R-HSA-1474228,Degradation of the extracellular matrix,M001111,4,0
0,0,1,1,1,1,0,0,-3.6,-3.6,-4.4,-2.9,GO:0006898,receptor-mediated endocytosis,M001111,4,0
1,0,0,1,1,1,-4.1,0,0,-3.6,-4.1,-7.6,GO:1902532,negative regulation of intracellular signal transduction,M100111,4,0
1,0,1,0,1,1,-3.2,0,-9.2,0,-2.6,-3.9,GO:0002700,regulation of production of molecular mediator of immune response,M101011,4,0
1,0,1,0,1,1,-2.5,0,-5.3,0,-2.5,-3.1,GO:1903320,regulation of protein modification by small protein conjugation or removal,M101011,4,0
1,0,1,0,1,1,-6.6,0,-3,0,-4.1,-8.1,GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,M101011,4,0
1,0,0,1,1,1,-2,0,0,-2.4,-13,-3.2,GO:0031175,neuron projection development,M100111,4,0
0,1,1,1,1,0,0,-2.6,-3.8,-3.2,-2.1,0,GO:1903532,positive regulation of secretion by cell,M011110,4,0
1,0,1,0,1,1,-2.6,0,-2,0,-3.2,-2.6,hsa04014,Ras signaling pathway,M101011,4,0
0,1,0,1,1,1,0,-3.4,0,-8,-2.7,-6,R-HSA-76005,Response to elevated platelet cytosolic Ca2+,M010111,4,0
1,0,0,1,1,1,-4.5,0,0,-7.9,-15,-3,GO:0120035,regulation of plasma membrane bounded cell projection organization,M100111,4,0
1,0,0,1,1,1,-4.8,0,0,-4.3,-5.9,-5.4,R-HSA-5653656,Vesicle-mediated transport,M100111,4,0
0,1,0,1,1,1,0,-4,0,-3,-6.9,-6.9,GO:0043549,regulation of kinase activity,M010111,4,0
1,0,0,1,1,1,-2.2,0,0,-4.4,-15,-10,R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",M100111,4,0
0,0,1,1,1,1,0,0,-2.2,-5,-2.8,-4.2,GO:0050866,negative regulation of cell activation,M001111,4,0
1,0,0,1,1,1,-4.3,0,0,-8.4,-15,-2.9,GO:0031344,regulation of cell projection organization,M100111,4,0
1,1,0,1,1,0,-2.4,-3.7,0,-4.5,-3,0,M5906,HALLMARK ESTROGEN RESPONSE EARLY,M110110,4,0
1,0,0,1,1,1,-4.5,0,0,-3,-20,-13,GO:0030036,actin cytoskeleton organization,M100111,4,0
1,0,1,0,1,1,-3.3,0,-3.3,0,-2.2,-4.5,hsa05165,Human papillomavirus infection,M101011,4,0
1,0,1,0,1,1,-5.1,0,-2.4,0,-3.4,-4.5,R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,M101011,4,0
1,0,0,1,1,1,-3.8,0,0,-2,-2.4,-7.3,GO:0010256,endomembrane system organization,M100111,4,0
1,1,1,0,0,1,-2.7,-2.2,-2.2,0,0,-2.2,GO:0009101,glycoprotein biosynthetic process,M111001,4,0
1,0,1,1,0,1,-2.7,0,-7.9,-4.7,0,-7.2,GO:0002683,negative regulation of immune system process,M101101,4,0
0,0,1,1,1,1,0,0,-2.5,-3.9,-2.5,-3.2,GO:0002695,negative regulation of leukocyte activation,M001111,4,0
1,0,0,1,1,1,-3.5,0,0,-5.4,-6.1,-11,GO:0042060,wound healing,M100111,4,0
1,0,1,1,1,0,-2.6,0,-2.6,-4.6,-3.6,0,GO:0032092,positive regulation of protein binding,M101110,4,0
1,0,0,1,1,1,-7.2,0,0,-3.6,-6.5,-3.1,GO:0070848,response to growth factor,M100111,4,0
1,1,0,1,0,1,-3.5,-4.8,0,-3.5,0,-4.7,GO:0006979,response to oxidative stress,M110101,4,0
1,0,1,1,0,1,-3.8,0,-6.8,-2.5,0,-3.8,GO:0032944,regulation of mononuclear cell proliferation,M101101,4,0
1,0,1,0,1,1,-2.9,0,-4.1,0,-2.4,-4.1,GO:0040011,locomotion,M101011,4,0
1,1,0,1,0,1,-3.3,-6.4,0,-3.8,0,-4.3,GO:0019725,cellular homeostasis,M110101,4,0
1,0,0,1,1,1,-4,0,0,-3.5,-18,-8.2,GO:0097435,supramolecular fiber organization,M100111,4,0
1,0,1,0,1,1,-11,0,-14,0,-3.5,-3,R-HSA-449147,Signaling by Interleukins,M101011,4,0
1,0,1,0,1,1,-2.5,0,-2.5,0,-2.5,-3.1,GO:0071375,cellular response to peptide hormone stimulus,M101011,4,0
1,1,0,0,1,1,-2.2,-2.2,0,0,-2.2,-3.1,GO:0006886,intracellular protein transport,M110011,4,0
1,0,1,0,1,1,-20,0,-8.8,0,-2.9,-5.8,GO:0071345,cellular response to cytokine stimulus,M101011,4,0
1,0,1,0,1,1,-2.2,0,-2.8,0,-3.4,-4.7,GO:0042063,gliogenesis,M101011,4,0
1,1,1,0,0,1,-3.7,-2.3,-6.9,0,0,-4.9,GO:0032102,negative regulation of response to external stimulus,M111001,4,0
0,1,0,1,1,1,0,-2.2,0,-3.5,-2.2,-2.8,GO:0007369,gastrulation,M010111,4,0
1,0,1,0,1,1,-5.1,0,-9.5,0,-2.8,-3.9,GO:0002697,regulation of immune effector process,M101011,4,0
0,1,1,1,0,1,0,-7.9,-3.1,-4.3,0,-2.1,GO:0006869,lipid transport,M011101,4,0
1,0,1,0,1,1,-4,0,-2.8,0,-3.4,-3.4,R-HSA-5683057,MAPK family signaling cascades,M101011,4,0
1,0,1,1,1,0,-2.2,0,-3,-5.3,-5.9,0,GO:0045596,negative regulation of cell differentiation,M101110,4,0
1,1,0,1,1,0,-3,-6.1,0,-3.7,-2.4,0,M5907,HALLMARK ESTROGEN RESPONSE LATE,M110110,4,0
1,1,0,1,1,0,-6.3,-3,0,-3,-3.7,0,M5941,HALLMARK UV RESPONSE UP,M110110,4,0
0,1,0,1,1,1,0,-2.3,0,-4.9,-3.5,-6.4,R-HSA-76002,"Platelet activation, signaling and aggregation",M010111,4,0
0,1,1,1,0,1,0,-2.4,-4.9,-4,0,-2.4,WP5090,Complement system in neuronal development and plasticity,M011101,4,0
1,0,1,1,0,1,-5,0,-8.3,-3.3,0,-2.8,GO:0022407,regulation of cell-cell adhesion,M101101,4,0
1,0,0,1,0,1,-4.8,0,0,-3,0,-3,hsa04151,PI3K-Akt signaling pathway,M100101,3,0
0,1,0,1,1,0,0,-2.5,0,-2.5,-3.3,0,M5908,HALLMARK ANDROGEN RESPONSE,M010110,3,0
1,0,0,0,1,1,-2,0,0,0,-2,-3.2,GO:0006887,exocytosis,M100011,3,0
0,0,1,1,1,0,0,0,-2.4,-2.4,-5,0,GO:0050804,modulation of chemical synaptic transmission,M001110,3,0
0,0,1,0,1,1,0,0,-2.4,0,-4.4,-6,hsa05205,Proteoglycans in cancer,M001011,3,0
1,0,1,1,0,0,-2.7,0,-5.3,-2.7,0,0,GO:0052548,regulation of endopeptidase activity,M101100,3,0
1,0,0,0,1,1,-3.9,0,0,0,-3.9,-5.5,GO:0002573,myeloid leukocyte differentiation,M100011,3,0
1,0,1,0,0,1,-2.6,0,-2.6,0,0,-2.6,WP3646,Hepatitis C and hepatocellular carcinoma,M101001,3,0
1,0,0,0,1,1,-4.2,0,0,0,-5,-3.3,GO:0046328,regulation of JNK cascade,M100011,3,0
1,0,0,0,1,1,-8.6,0,0,0,-5.8,-13,WP3888,VEGFA VEGFR2 signaling,M100011,3,0
0,0,1,0,1,1,0,0,-3.3,0,-5.5,-5.5,GO:0010638,positive regulation of organelle organization,M001011,3,0
0,1,1,1,0,0,0,-6.3,-2.3,-3.4,0,0,GO:0050708,regulation of protein secretion,M011100,3,0
1,0,0,0,1,1,-2.7,0,0,0,-2.7,-2,M186,PID PDGFRB PATHWAY,M100011,3,0
1,0,0,0,1,1,-4.3,0,0,0,-2.8,-4.3,GO:0051668,localization within membrane,M100011,3,0
1,0,1,0,0,1,-6.2,0,-16,0,0,-2.2,GO:0051607,defense response to virus,M101001,3,0
1,0,1,0,0,1,-3.5,0,-6.9,0,0,-4.1,GO:0042110,T cell activation,M101001,3,0
1,0,1,0,0,1,-2.4,0,-3,0,0,-2.4,GO:0050728,negative regulation of inflammatory response,M101001,3,0
0,1,0,1,1,0,0,-6.5,0,-2.5,-3,0,GO:0031667,response to nutrient levels,M010110,3,0
0,1,0,1,0,1,0,-6.3,0,-5.1,0,-3,GO:0070201,regulation of establishment of protein localization,M010101,3,0
1,0,1,0,0,1,-2.8,0,-5,0,0,-2.8,GO:0060326,cell chemotaxis,M101001,3,0
0,0,1,0,1,1,0,0,-2.4,0,-2.4,-4,GO:0040013,negative regulation of locomotion,M001011,3,0
1,1,1,0,0,0,-2.8,-2.2,-2.2,0,0,0,GO:0043413,macromolecule glycosylation,M111000,3,0
1,0,1,0,0,1,-4.7,0,-8.9,0,0,-2.1,R-HSA-9679506,SARS-CoV Infections,M101001,3,0
0,1,1,1,0,0,0,-5.4,-2.1,-11,0,0,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),M011100,3,0
1,0,1,0,0,1,-8.5,0,-9.4,0,0,-2.2,GO:0045089,positive regulation of innate immune response,M101001,3,0
1,1,0,1,0,0,-3.1,-3.7,0,-2.5,0,0,R-HSA-425407,SLC-mediated transmembrane transport,M110100,3,0
1,0,1,0,0,1,-6.2,0,-4.5,0,0,-3.7,hsa04217,Necroptosis,M101001,3,0
1,0,1,0,0,1,-3.6,0,-2.1,0,0,-2.8,GO:0002688,regulation of leukocyte chemotaxis,M101001,3,0
1,0,1,0,0,1,-11,0,-9.4,0,0,-3.8,GO:0032103,positive regulation of response to external stimulus,M101001,3,0
