GO,Description,_LogP_modules_mes_black_sorted_top300,_LogP_modules_mes_blue_sorted_top300,_LogP_modules_mes_green_sorted_top300,_LogP_modules_mes_grey_sorted_top300,_LogP_modules_mes_pink_sorted_top300,_LogP_modules_mes_red_sorted_top300
TRR01419,Regulated by: TP53,-5.793015697732444,-4.157043896489753,0.0,0.0,0.0,0.0
TRR00645,Regulated by: JUN,-7.712165450139767,-5.040425669712071,0.0,0.0,0.0,0.0
TRR00877,Regulated by: NFKBIA,-14.601745298314967,-4.306259692171046,0.0,0.0,0.0,0.0
TRR01275,Regulated by: STAT1,-6.304603075695794,-13.411407844534466,0.0,0.0,0.0,0.0
TRR01157,Regulated by: REL,-5.206170810199821,-2.6273619480514836,0.0,0.0,0.0,0.0
TRR00253,Regulated by: EGR1,-5.147121160449986,-2.491553460975398,0.0,0.0,0.0,0.0
TRR00466,Regulated by: HDAC1,-8.050112296538792,-2.0453386193370666,0.0,0.0,0.0,0.0
TRR00117,Regulated by: CIITA,-2.2682509558739956,-7.245208314901216,0.0,0.0,0.0,0.0
TRR00602,Regulated by: IRF1,-3.6701296515483373,-18.919321643249578,0.0,0.0,0.0,0.0
TRR01158,Regulated by: RELA,-22.418750771698097,-23.51912506855623,0.0,0.0,0.0,0.0
TRR00875,Regulated by: NFKB1,-23.264941932294967,-24.372254340042307,0.0,0.0,0.0,0.0
TRR01256,Regulated by: SP1,-7.752033359215648,-7.752033359215648,0.0,0.0,-2.6236915730806216,0.0
TRR01277,Regulated by: STAT3,-8.024861332153256,-8.024861332153256,-2.246800092175343,0.0,0.0,0.0
TRR00342,Regulated by: FOS,-6.637080249031449,0.0,0.0,0.0,0.0,0.0
TRR00474,Regulated by: HDAC9,-6.148585819155408,0.0,0.0,0.0,0.0,0.0
TRR01062,Regulated by: PPARG,-5.965081987896777,0.0,0.0,0.0,0.0,0.0
TRR00780,Regulated by: MYC,0.0,-5.737442900611668,0.0,0.0,0.0,0.0
TRR01264,Regulated by: SPI1,0.0,-5.430600706229202,0.0,0.0,0.0,0.0
TRR00489,Regulated by: HIVEP2,0.0,-12.04695976568185,0.0,0.0,0.0,0.0
TRR01236,Regulated by: SMAD4,0.0,0.0,-6.100372290119893,0.0,0.0,0.0
