_MEMBER_modules_mes_black_sorted_top300,_MEMBER_modules_mes_blue_sorted_top300,_MEMBER_modules_mes_green_sorted_top300,_MEMBER_modules_mes_grey_sorted_top300,_MEMBER_modules_mes_pink_sorted_top300,_MEMBER_modules_mes_red_sorted_top300,_LogP_modules_mes_black_sorted_top300,_LogP_modules_mes_blue_sorted_top300,_LogP_modules_mes_green_sorted_top300,_LogP_modules_mes_grey_sorted_top300,_LogP_modules_mes_pink_sorted_top300,_LogP_modules_mes_red_sorted_top300,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,1,0,0,0,0,-23,-24,0,0,0,0,TRR00875,M110000,2,0,TRRUST,34,Regulated by: NFKB1,,-24,10,17,30293,340,300,35,12,1.9,231|567|602|623|958|972|1435|1956|1999|2919|2920|3134|3553|3569|3627|3659|3665|4312|5698|5699|5734|6364|6374|6648|6737|6891|7097|7098|7412|8743|9536|10135|10673|51752|64167,AKR1B1|B2M|BCL3|BDKRB1|CD40|CD74|CSF1|EGFR|ELF3|CXCL1|CXCL2|HLA-F|IL1B|IL6|CXCL10|IRF1|IRF7|MMP1|PSMB9|PSMB10|PTGER4|CCL20|CXCL5|SOD2|TRIM21|TAP2|TLR2|TLR3|VCAM1|TNFSF10|PTGES|NAMPT|TNFSF13B|ERAP1|ERAP2,-21,0
1,1,0,0,0,0,-22,-24,0,0,0,0,TRR01158,M110000,2,0,TRRUST,34,Regulated by: RELA,,-24,10,17,30293,334,300,34,11,1.8,231|602|623|958|972|1435|1956|1999|2919|2920|3105|3134|3553|3569|3627|3659|3665|4312|5698|5699|5734|6364|6374|6648|6737|6891|7097|7098|7412|8743|9536|10135|51752|64167,AKR1B1|BCL3|BDKRB1|CD40|CD74|CSF1|EGFR|ELF3|CXCL1|CXCL2|HLA-A|HLA-F|IL1B|IL6|CXCL10|IRF1|IRF7|MMP1|PSMB9|PSMB10|PTGER4|CCL20|CXCL5|SOD2|TRIM21|TAP2|TLR2|TLR3|VCAM1|TNFSF10|PTGES|NAMPT|ERAP1|ERAP2,-20,0
1,1,0,0,0,0,-3.7,-19,0,0,0,0,TRR00602,M110000,2,0,TRRUST,34,Regulated by: IRF1,,-19,29,21,30293,55,300,16,5.3,1.3,840|958|3105|3135|3437|3627|3660|5610|5698|5699|6891|7412|8743|10346|23586|64167,CASP7|CD40|HLA-A|HLA-G|IFIT3|CXCL10|IRF2|EIF2AK2|PSMB9|PSMB10|TAP2|VCAM1|TNFSF10|TRIM22|RIGI|ERAP2,-16,0
1,1,0,0,0,0,-15,-4.3,0,0,0,0,TRR00877,M110000,2,0,TRRUST,34,Regulated by: NFKBIA,,-15,48,22,30293,21,300,10,3.3,1,355|965|3383|3576|4318|4790|5970|6352|7185|10148,FAS|CD58|ICAM1|CXCL8|MMP9|NFKB1|RELA|CCL5|TRAF1|EBI3,-12,0
1,1,0,0,0,0,-6.3,-13,0,0,0,0,TRR01275,M110000,2,0,TRRUST,34,Regulated by: STAT1,,-13,16,15,30293,96,300,15,5,1.3,958|1956|3133|3437|3553|3569|3627|3659|3665|5359|5371|5698|7098|10673|54739,CD40|EGFR|HLA-E|IFIT3|IL1B|IL6|CXCL10|IRF1|IRF7|PLSCR1|PML|PSMB9|TLR3|TNFSF13B|XAF1,-11,0
0,1,0,0,0,0,0,-12,0,0,0,0,TRR00489,M010000,1,0,TRRUST,34,Regulated by: HIVEP2,,-12,1e+02,24,30293,6,300,6,2,0.81,3105|3106|3107|3133|3134|3135,HLA-A|HLA-B|HLA-C|HLA-E|HLA-F|HLA-G,-9.8,0
1,1,0,0,0,0,-8.1,-2,0,0,0,0,TRR00466,M110000,2,0,TRRUST,34,Regulated by: HDAC1,,-8.1,12,10,30293,82,300,10,3.3,1,330|3383|3576|3732|4277|4318|4790|5743|7157|25805,BIRC3|ICAM1|CXCL8|CD82|MICB|MMP9|NFKB1|PTGS2|TP53|BAMBI,-6.2,0
1,1,1,0,0,0,-8,-8,-2.2,0,0,0,TRR01277,M111000,3,0,TRRUST,34,Regulated by: STAT3,,-8,8.1,9.1,30293,162,300,13,4.3,1.2,355|2247|3383|3576|4318|5743|6347|6772|7157|7297|8795|8837|9641,FAS|FGF2|ICAM1|CXCL8|MMP9|PTGS2|CCL2|STAT1|TP53|TYK2|TNFRSF10B|CFLAR|IKBKE,-6.2,0
1,1,0,0,1,0,-7.8,-7.8,0,0,-2.6,0,TRR01256,M110010,3,0,TRRUST,34,Regulated by: SP1,,-7.8,4.2,7.5,30293,526,300,22,7.3,1.5,355|1890|2683|3383|3459|4277|4318|4790|4791|4907|5743|5970|6347|6352|7980|8767|8795|8878|9308|9373|27173|148022,FAS|TYMP|B4GALT1|ICAM1|IFNGR1|MICB|MMP9|NFKB1|NFKB2|NT5E|PTGS2|RELA|CCL2|CCL5|TFPI2|RIPK2|TNFRSF10B|SQSTM1|CD83|PLAA|SLC39A1|TICAM1,-6,0
1,1,0,0,0,0,-7.7,-5,0,0,0,0,TRR00645,M110000,2,0,TRRUST,34,Regulated by: JUN,,-7.7,7.6,8.7,30293,172,300,13,4.3,1.2,355|3552|3576|3732|4318|4791|5743|5971|6347|6352|7157|8061|8767,FAS|IL1A|CXCL8|CD82|MMP9|NFKB2|PTGS2|RELB|CCL2|CCL5|TP53|FOSL1|RIPK2,-5.9,0
