_MEMBER_modules_mes_black_sorted_top300,_MEMBER_modules_mes_blue_sorted_top300,_MEMBER_modules_mes_green_sorted_top300,_MEMBER_modules_mes_grey_sorted_top300,_MEMBER_modules_mes_pink_sorted_top300,_MEMBER_modules_mes_red_sorted_top300,_LogP_modules_mes_black_sorted_top300,_LogP_modules_mes_blue_sorted_top300,_LogP_modules_mes_green_sorted_top300,_LogP_modules_mes_grey_sorted_top300,_LogP_modules_mes_pink_sorted_top300,_LogP_modules_mes_red_sorted_top300,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,1,0,0,0,0,-3.8,-13,0,0,0,0,PGB:00041,M110000,2,0,PaGenBase,36,Tissue-specific: Blood,,-13,8.9,12,30293,239,300,21,7,1.5,834|837|1520|2634|3431|3433|3659|3660|4600|4615|5698|6737|7097|7127|7133|8743|9111|9473|10135|23214|55281,CASP1|CASP4|CTSS|GBP2|SP110|IFIT2|IRF1|IRF2|MX2|MYD88|PSMB9|TRIM21|TLR2|TNFAIP2|TNFRSF1B|TNFSF10|NMI|THEMIS2|NAMPT|XPO6|TMEM140,-11,0
1,1,1,0,0,1,-9.3,-7.1,-6,0,0,-2.4,PGB:00015,M111001,4,0,PaGenBase,36,Tissue-specific: Smooth Muscle,,-9.3,12,11,30293,103,300,12,4,1.1,2247|2683|3552|3576|5743|6347|6354|8767|9945|23213|54431|55332,FGF2|B4GALT1|IL1A|CXCL8|PTGS2|CCL2|CCL7|RIPK2|GFPT2|SULF1|DNAJC10|DRAM1,-7.3,0
0,1,1,0,0,0,0,-4.5,-8.1,0,0,0,PGB:00120,M011000,2,0,PaGenBase,36,Cell-specific: Cardiac Myocytes,,-8.1,15,11,30293,60,300,9,3,0.98,633|813|1490|2335|7168|27295|57575|64175|81555,BGN|CALU|CCN2|FN1|TPM1|PDLIM3|PCDH10|P3H1|YIPF5,-6.3,0
1,1,0,0,0,0,-2.4,-6.8,0,0,0,0,PGB:00018,M110000,2,0,PaGenBase,36,Tissue-specific: lung,,-6.8,4.1,6.9,30293,498,300,20,6.7,1.4,1435|1512|2919|2921|3553|3569|3601|3627|4071|5771|6364|6372|6373|6737|7037|7097|8743|11118|23264|64116,CSF1|CTSH|CXCL1|CXCL3|IL1B|IL6|IL15RA|CXCL10|TM4SF1|PTPN2|CCL20|CXCL6|CXCL11|TRIM21|TFRC|TLR2|TNFSF10|BTN3A2|ZC3H7B|SLC39A8,-5.2,0
1,0,0,0,0,0,-5.8,0,0,0,0,0,PGB:00087,M100000,1,0,PaGenBase,36,Cell-specific: Lymphoma burkitts Raji,,-5.8,7.2,7.3,30293,141,300,10,3.3,1,3604|4791|5452|7185|7186|7187|10010|22904|25953|83637,TNFRSF9|NFKB2|POU2F2|TRAF1|TRAF2|TRAF3|TANK|SBNO2|PNKD|ZMIZ2,-4.3,0
1,1,0,0,0,0,-5.5,-3.8,0,0,0,0,PGB:00011,M110000,2,0,PaGenBase,36,Tissue-specific: spleen,,-5.5,3.6,5.9,30293,500,300,18,6,1.4,1890|3604|4318|4791|4794|4814|5293|5452|6352|7185|7186|8809|9258|10010|10333|80774|146433|148022,TYMP|TNFRSF9|MMP9|NFKB2|NFKBIE|NINJ1|PIK3CD|POU2F2|CCL5|TRAF1|TRAF2|IL18R1|MFHAS1|TANK|TLR6|LIMD2|IL34|TICAM1,-4.1,0
0,1,0,0,0,0,0,-4.5,0,0,0,0,PGB:00188,M010000,1,0,PaGenBase,36,Cell-specific: GM2313,,-4.5,43,11,30293,7,300,3,1,0.57,10561|54739|55008,IFI44|XAF1|HERC6,-3.2,0
0,1,0,0,1,0,0,-3.2,0,0,-4,0,PGB:00049,M010010,2,0,PaGenBase,36,Cell-specific: Adipocyte,,-4,5.6,5.5,30293,145,299,8,2.7,0.93,3910|4811|5118|5156|5793|10457|57124|126393,LAMA4|NID1|PCOLCE|PDGFRA|PTPRG|GPNMB|CD248|HSPB6,-2.8,0
0,1,0,0,0,0,0,-3.8,0,0,0,0,PGB:00137,M010000,1,0,PaGenBase,36,Cell-specific: LN18,,-3.8,28,8.8,30293,11,300,3,1,0.57,834|1513|7318,CASP1|CTSK|UBA7,-2.7,0
1,0,0,0,0,0,-3.6,0,0,0,0,0,PGB:00046,M100000,1,0,PaGenBase,36,Cell-specific: 721B lymphoblasts,,-3.6,6.9,5.5,30293,88,300,6,2,0.81,7157|10148|56938|57510|59274|64087,TP53|EBI3|BMAL2|XPO5|TLNRD1|MCCC2,-2.5,0
