GO,Description,_LogP_modules_mes_black_sorted_top300,_LogP_modules_mes_blue_sorted_top300,_LogP_modules_mes_green_sorted_top300,_LogP_modules_mes_grey_sorted_top300,_LogP_modules_mes_pink_sorted_top300,_LogP_modules_mes_red_sorted_top300
C0011311,Dengue Fever,-12.576164567685575,-21.389336878915177,-2.4749080833628496,0.0,0.0,0.0
C0024143,Lupus Nephritis,-7.410495682081496,-18.769131207127156,-2.3296887542963214,0.0,0.0,0.0
C0375023,Respiratory syncytial virus (RSV) infection in conditions classified elsewhere and of unspecified site,-10.980374923363788,-22.757440998955648,0.0,0.0,0.0,0.0
C3714636,Pneumonitis,-13.642588388127226,-21.94040927274781,0.0,0.0,0.0,0.0
C0524910,"Hepatitis C, Chronic",-10.133652172465032,-27.238863677451143,0.0,0.0,0.0,0.0
C4529962,Fatty Liver Disease,-12.140981579726457,-20.012955974418432,0.0,0.0,0.0,0.0
C0021368,Inflammation,-15.18306404537323,-25.835582775891712,0.0,0.0,0.0,0.0
C3714514,Infection,-21.01121022096565,-28.11599803543716,0.0,0.0,0.0,0.0
C0151517,Complete atrioventricular block,-9.09309234136043,-21.897503599351232,0.0,0.0,0.0,0.0
C0221056,Adult type dermatomyositis,-6.506610841256149,-20.986869473831334,0.0,0.0,0.0,0.0
C0011633,Dermatomyositis,-7.811219615895423,-20.116199084598588,0.0,0.0,0.0,0.0
C1290884,Inflammatory disorder,-7.789914558527091,-25.541271033098745,0.0,0.0,0.0,0.0
C2363741,HIV-1 infection,-9.36692635052586,-33.51549428436201,0.0,0.0,0.0,0.0
C0151449,Primary Sjögren's syndrome,-11.145488955499728,-17.945798890913288,0.0,0.0,0.0,0.0
C0004943,Behcet Syndrome,-11.080852657585341,-19.732506419059927,0.0,0.0,0.0,0.0
C3875321,Inflammatory dermatosis,-16.60198503488787,-18.55946645040031,0.0,0.0,0.0,0.0
C0011615,"Dermatitis, Atopic",-18.124880416421718,-18.952336809168784,0.0,0.0,0.0,0.0
C0011603,Dermatitis,-17.124955452496568,-19.904945376020525,0.0,0.0,0.0,0.0
C0037284,Skin lesion,-7.232244235974589,-18.10642623669991,0.0,0.0,0.0,0.0
C2062441,Influenza A,-8.58602673583746,-19.028324739208543,0.0,0.0,0.0,0.0
