_MEMBER_modules_mes_black_sorted_top300,_MEMBER_modules_mes_blue_sorted_top300,_MEMBER_modules_mes_green_sorted_top300,_MEMBER_modules_mes_grey_sorted_top300,_MEMBER_modules_mes_pink_sorted_top300,_MEMBER_modules_mes_red_sorted_top300,_LogP_modules_mes_black_sorted_top300,_LogP_modules_mes_blue_sorted_top300,_LogP_modules_mes_green_sorted_top300,_LogP_modules_mes_grey_sorted_top300,_LogP_modules_mes_pink_sorted_top300,_LogP_modules_mes_red_sorted_top300,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,1,1,0,0,1,-39,-44,-13,0,0,-2.6,M41700,M111001,4,0,Cell Type Signatures,7,TRAVAGLINI LUNG OLR1 CLASSICAL MONOCYTE CELL,,-44,9.3,23,30293,726,300,67,22,2.4,196|272|602|834|837|1326|1512|1520|2495|2634|2643|2879|2919|2920|2921|3437|3553|3569|3572|3627|3665|4327|4600|4615|5025|5359|5552|5771|5806|5872|6364|6648|6868|7037|7097|7127|7133|7706|9589|9636|9802|9839|10135|10437|10957|23258|23312|23636|29015|51056|51296|51703|51762|54625|57169|57655|58191|59269|64116|91351|94240|124935|144811|255488|259307|415116|440836,AHR|AMPD3|BCL3|CASP1|CASP4|MAP3K8|CTSH|CTSS|FTH1|GBP2|GCH1|GPX4|CXCL1|CXCL2|CXCL3|IFIT3|IL1B|IL6|IL6ST|CXCL10|IRF7|MMP19|MX2|MYD88|P2RX4|PLSCR1|SRGN|PTPN2|PTX3|RAB13|CCL20|SOD2|ADAM17|TFRC|TLR2|TNFAIP2|TNFRSF1B|TRIM25|WTAP|ISG15|DAZAP2|ZEB2|NAMPT|IFI30|PNRC1|DENND5A|DMXL2|NUP62|SLC43A3|LAP3|SLC15A3|ACSL5|RAB8B|PARP14|ZNFX1|GRAMD1A|CXCL16|HIVEP3|SLC39A8|DDX60L|EPSTI1|SLC43A2|LACC1|RNF144B|IL4I1|PIM3|CIMAP1B,-40,0
1,1,1,0,1,1,-9.6,-3.3,-43,0,-2.9,-22,M39175,M111011,5,0,Cell Type Signatures,7,MURARO PANCREAS MESENCHYMAL STROMAL CELL,,-43,9.5,22,30293,680,300,64,21,2.4,60|87|308|378|633|813|1072|1314|1490|2058|2335|3371|3490|3589|3688|3755|3987|4017|4053|4627|4942|6251|6396|6498|6678|6747|7145|7168|7171|7873|8099|8507|8728|9244|9645|9871|10484|10487|10609|10627|10652|10797|11014|23012|23528|25932|26064|29995|30850|51026|51330|54867|55062|55379|55454|55740|55829|56937|60626|60681|81555|81671|121457|162073,ACTB|ACTN1|ANXA5|ARF4|BGN|CALU|CFL1|COPA|CCN2|EPRS1|FN1|TNC|IGFBP7|IL11|ITGB1|KCNG1|LIMS1|LOXL2|LTBP2|MYH9|OAT|RSU1|SEC13|SKIL|SPARC|SSR3|TNS1|TPM1|TPM4|MANF|CDK2AP1|ENC1|ADAM19|CRLF1|MICAL2|SEC24D|SEC23A|CAP1|P3H4|MYL12A|YKT6|MTHFD2|KDELR2|STK38L|ZNF281|CLIC4|RAI14|LMCD1|CDR2L|GOLT1B|TNFRSF12A|TMEM214|WIPI1|LRRC59|CSGALNACT2|ENAH|SELENOS|PMEPA1|RIC8A|FKBP10|YIPF5|VMP1|IKBIP|ITPRIPL2,-38,0
1,1,1,0,0,1,-12,-27,-7,0,0,-4.3,M39174,M111001,4,0,Cell Type Signatures,7,MURARO PANCREAS ACINAR CELL,,-27,7,17,30293,731,300,51,17,2.2,48|567|602|629|715|718|837|840|961|972|1528|1956|1999|2495|2634|2919|2920|2921|3068|3106|3107|3134|3965|4071|4217|4257|5359|5634|5696|5699|6364|6385|6648|6672|7114|8743|9124|9168|9367|10135|10723|10957|11030|51274|51279|57674|58191|64116|84952|114908|415116,ACO1|B2M|BCL3|CFB|C1R|C3|CASP4|CASP7|CD47|CD74|CYB5A|EGFR|ELF3|FTH1|GBP2|CXCL1|CXCL2|CXCL3|HDGF|HLA-B|HLA-C|HLA-F|LGALS9|TM4SF1|MAP3K5|MGST1|PLSCR1|PRPS2|PSMB8|PSMB10|CCL20|SDC4|SOD2|SP100|TMSB4X|TNFSF10|PDLIM1|TMSB10|RAB9A|NAMPT|SLC12A7|PNRC1|RBPMS|KLF3|C1RL|RNF213|CXCL16|SLC39A8|CGNL1|TMEM123|PIM3,-24,0
1,1,0,0,1,0,-23,-20,0,0,-4.2,0,M39051,M110010,3,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HMGL,,-23,7.4,15,30293,577,300,42,14,2,162|330|1535|1890|2683|3383|3459|3575|3576|3656|3709|3718|4792|4814|4973|4982|5366|5452|5606|5743|6347|6772|7096|7128|8878|9056|9308|9466|9641|9780|10019|10105|23764|29126|55332|64332|79365|79651|80149|83937|148022|197259,AP1B1|BIRC3|CYBA|TYMP|B4GALT1|ICAM1|IFNGR1|IL7R|CXCL8|IRAK2|ITPR2|JAK3|NFKBIA|NINJ1|OLR1|TNFRSF11B|PMAIP1|POU2F2|MAP2K3|PTGS2|CCL2|STAT1|TLR1|TNFAIP3|SQSTM1|SLC7A7|CD83|IL27RA|IKBKE|PIEZO1|SH2B3|PPIF|MAFF|CD274|DRAM1|NFKBIZ|BHLHE41|RHBDF2|ZC3H12A|RASSF4|TICAM1|MLKL,-20,0
1,1,1,0,0,1,-23,-18,-7.7,0,0,-2.3,M41697,M111001,4,0,Cell Type Signatures,7,TRAVAGLINI LUNG EREG DENDRITIC CELL,,-23,7.3,15,30293,579,300,42,14,2,162|329|687|965|1051|1318|1622|1890|2907|3383|3459|3460|3576|3638|4125|4502|4780|4790|4814|4973|5271|5606|5782|6347|7096|7128|8767|9060|9308|9446|9766|10019|10105|11177|11259|27166|27173|55619|56833|59274|80149|127544,AP1B1|BIRC2|KLF9|CD58|CEBPB|SLC31A2|DBI|TYMP|GRINA|ICAM1|IFNGR1|IFNGR2|CXCL8|INSIG1|MAN2B1|MT2A|NFE2L2|NFKB1|NINJ1|OLR1|SERPINB8|MAP2K3|PTPN12|CCL2|TLR1|TNFAIP3|RIPK2|PAPSS2|CD83|GSTO1|SUSD6|SH2B3|PPIF|BAZ1A|FILIP1L|PRELID1|SLC39A1|DOCK10|SLAMF8|TLNRD1|ZC3H12A|RNF19B,-20,0
1,1,0,0,0,0,-3.7,-23,0,0,0,0,M41692,M110000,2,0,Cell Type Signatures,7,TRAVAGLINI LUNG MACROPHAGE CELL,,-23,14,19,30293,201,300,28,9.3,1.7,972|1512|1520|2495|2537|2879|2919|2920|2921|3553|3569|4257|4327|4615|5025|5359|5768|6364|6385|6648|7127|9124|9636|23258|51056|51296|58191|124935,CD74|CTSH|CTSS|FTH1|IFI6|GPX4|CXCL1|CXCL2|CXCL3|IL1B|IL6|MGST1|MMP19|MYD88|P2RX4|PLSCR1|QSOX1|CCL20|SDC4|SOD2|TNFAIP2|PDLIM1|ISG15|DENND5A|LAP3|SLC15A3|CXCL16|SLC43A2,-20,0
1,1,1,0,0,0,-7.5,-22,-9.1,0,0,0,M41711,M111000,3,0,Cell Type Signatures,7,FAN OVARY CL9 PUTATIVE APOPTOTIC ENDOTHELIAL CELL,,-22,9.4,16,30293,365,300,34,11,1.8,103|567|972|2537|2634|3105|3106|3107|3133|3301|3429|3437|3572|3659|3665|4071|4086|4599|5359|5464|5610|5696|6648|6672|7357|8743|9124|9589|9636|10135|10964|51056|54625|415116,ADAR|B2M|CD74|IFI6|GBP2|HLA-A|HLA-B|HLA-C|HLA-E|DNAJA1|IFI27|IFIT3|IL6ST|IRF1|IRF7|TM4SF1|SMAD1|MX1|PLSCR1|PPA1|EIF2AK2|PSMB8|SOD2|SP100|UGCG|TNFSF10|PDLIM1|WTAP|ISG15|NAMPT|IFI44L|LAP3|PARP14|PIM3,-19,0
1,1,0,0,0,0,-7.4,-22,0,0,0,0,M41679,M110000,2,0,Cell Type Signatures,7,TRAVAGLINI LUNG MESOTHELIAL CELL,,-22,6.7,15,30293,649,300,43,14,2,567|602|623|629|646|718|837|961|972|1116|1528|1593|3106|3134|3429|3572|3838|4061|4071|4257|5359|5464|5696|5698|5872|6372|6385|6648|7037|7114|7357|7412|9111|9168|9246|10135|10437|10673|23780|51056|55620|64116|286204,B2M|BCL3|BDKRB1|CFB|BNC1|C3|CASP4|CD47|CD74|CHI3L1|CYB5A|CYP27A1|HLA-B|HLA-F|IFI27|IL6ST|KPNA2|LY6E|TM4SF1|MGST1|PLSCR1|PPA1|PSMB8|PSMB9|RAB13|CXCL6|SDC4|SOD2|TFRC|TMSB4X|UGCG|VCAM1|NMI|TMSB10|UBE2L6|NAMPT|IFI30|TNFSF13B|APOL2|LAP3|STAP2|SLC39A8|CRB2,-19,0
1,1,1,0,1,1,-4.5,-3.9,-9.5,0,-22,-11,M39264,M111011,5,0,Cell Type Signatures,7,HU FETAL RETINA FIBROBLAST,,-22,8.9,16,30293,385,299,34,11,1.8,290|2045|2217|3481|3910|4192|4774|4811|5118|5156|5745|5764|5916|6281|6495|6595|7026|7291|7402|9249|10628|23371|23767|25992|29116|57124|64344|79822|81578|93986|130271|219348|221477|375033,ANPEP|EPHA7|FCGRT|IGF2|LAMA4|MDK|NFIA|NID1|PCOLCE|PDGFRA|PTH1R|PTN|RARG|S100A10|SIX1|SMARCA2|NR2F2|TWIST1|UTRN|DHRS3|TXNIP|TNS2|FLRT3|SNED1|MYLIP|CD248|HIF3A|ARHGAP28|COL21A1|FOXP2|PLEKHH2|PLAC9|C6orf89|PEAR1,-18,0
1,1,1,0,0,0,-21,-21,-6.1,0,0,0,M41715,M111000,3,0,Cell Type Signatures,7,FAN OVARY CL13 MONOCYTE MACROPHAGE,,-21,7.9,15,30293,458,300,36,12,1.9,637|965|1051|1535|1622|1890|2683|2907|3459|3460|3576|3638|4074|4318|4790|4792|4814|4973|5315|5606|5691|5721|6810|6892|8073|8837|8878|9308|9446|10010|10105|10318|11047|11177|25816|80774,BID|CD58|CEBPB|CYBA|DBI|TYMP|B4GALT1|GRINA|IFNGR1|IFNGR2|CXCL8|INSIG1|M6PR|MMP9|NFKB1|NFKBIA|NINJ1|OLR1|PKM|MAP2K3|PSMB3|PSME2|STX4|TAPBP|PTP4A2|CFLAR|SQSTM1|CD83|GSTO1|TANK|PPIF|TNIP1|ADRM1|BAZ1A|TNFAIP8|LIMD2,-18,0
