_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,Description,_PATTERN_,_RANK_,CHILD_GO_down_common_genes,CHILD_GO_down_epi_only,CHILD_GO_down_mes_only,CHILD_GO_down_mes_up_epi,CHILD_GO_up_common_genes,CHILD_GO_up_epi_only,CHILD_GO_up_mes_down_epi,CHILD_GO_up_mes_only
1,1,1,1,1,1,1,1,-7.655253551148266,-5.251265084712675,-6.439819544177614,-4.262032405161125,-16.05995528132658,-9.322474706062822,-12.548156081364757,-5.234206102672857,GO:0050896,response to stimulus,M11111111,8,GO:0007167 enzyme-linked receptor protein signaling pathway,GO:0071466 cellular response to xenobiotic stimulus,GO:0048013 ephrin receptor signaling pathway,GO:0071230 cellular response to amino acid stimulus,GO:0071345 cellular response to cytokine stimulus,GO:0007264 small GTPase-mediated signal transduction,GO:0034976 response to endoplasmic reticulum stress,GO:0071345 cellular response to cytokine stimulus
1,1,1,1,1,1,1,1,-6.253794056767815,-11.521702953626871,-3.750287190227913,-6.353606808505552,-16.988960321176236,-3.041218464729933,-22.33949542515864,-7.297030187960231,GO:0008152,metabolic process,M11111111,8,GO:0006518 peptide metabolic process,GO:1901615 organic hydroxy compound metabolic process,GO:0016310 phosphorylation,GO:0046488 phosphatidylinositol metabolic process,GO:0043161 proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0018105 peptidyl-serine phosphorylation,GO:0016126 sterol biosynthetic process,GO:0051604 protein maturation
1,1,1,1,1,1,1,1,-5.840578680796845,-4.82897012640267,-11.06757574701756,-9.414995790570599,-8.304223655482943,-9.835068767529794,-3.5740226436281652,-3.50632423636727,GO:0032502,developmental process,M11111111,8,GO:0060939 epicardium-derived cardiac fibroblast cell development,GO:0030855 epithelial cell differentiation,GO:0120039 plasma membrane bounded cell projection morphogenesis,GO:0032989 cellular anatomical entity morphogenesis,GO:0030097 hemopoiesis,GO:0032989 cellular anatomical entity morphogenesis,GO:0009791 post-embryonic development,GO:0090336 positive regulation of brown fat cell differentiation
1,1,1,1,1,1,1,1,-4.576580554017223,-5.642722070995352,-4.671835255047281,-7.18196185126093,-5.504073646961349,-3.6632388950376966,-3.186969962143778,-4.231443874436262,GO:0048519,negative regulation of biological process,M11111111,8,GO:1902532 negative regulation of intracellular signal transduction,GO:0050819 negative regulation of coagulation,GO:0008285 negative regulation of cell population proliferation,GO:0051129 negative regulation of cellular component organization,GO:0032102 negative regulation of response to external stimulus,GO:0051129 negative regulation of cellular component organization,GO:0051055 negative regulation of lipid biosynthetic process,"GO:0045814 negative regulation of gene expression, epigenetic"
1,1,1,1,1,1,1,1,-4.192769975999544,-9.662969841120729,-3.2581777339909426,-5.175980816915849,-5.053877095319616,-3.177170332029826,-7.303759698537564,-2.701586812342845,GO:0065007,biological regulation,M11111111,8,GO:0051338 regulation of transferase activity,GO:0010817 regulation of hormone levels,GO:0043087 regulation of GTPase activity,GO:0032535 regulation of cellular component size,GO:0051347 positive regulation of transferase activity,GO:0051881 regulation of mitochondrial membrane potential,GO:0031647 regulation of protein stability,GO:0031647 regulation of protein stability
1,1,1,1,1,1,1,1,-3.9483935554261067,-4.66255171924151,-4.3944295993350835,-6.047022061841071,-11.622103488678764,-5.149215486558766,-4.8825000623996155,-7.073146272856615,GO:0048518,positive regulation of biological process,M11111111,8,GO:0090100 positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,GO:1900048 positive regulation of hemostasis,GO:0031346 positive regulation of cell projection organization,GO:0031346 positive regulation of cell projection organization,GO:0031401 positive regulation of protein modification process,GO:0044089 positive regulation of cellular component biogenesis,GO:0090205 positive regulation of cholesterol metabolic process,GO:0032103 positive regulation of response to external stimulus
1,0,0,0,1,0,0,1,-3.563178492815047,0.0,0.0,0.0,-3.146752959730187,0.0,0.0,-3.839016813153613,GO:0016032,viral process,M10001001,3,GO:0019081 viral translation,,,,GO:0016032 viral process,,,GO:0048525 negative regulation of viral process
1,1,1,0,1,0,1,0,-3.5179956658326152,-2.0290894868849807,-4.1117040892069,0.0,-3.02384152776994,0.0,-2.2709348133242746,0.0,GO:0022414,reproductive process,M11101010,5,GO:0120316 sperm flagellum assembly,GO:0044703 multi-organism reproductive process,GO:0007548 sex differentiation,,GO:0046697 decidualization,,GO:0001893 maternal placenta development,
1,1,1,1,1,1,1,1,-3.4908412307183547,-3.852703331252372,-4.198311009127908,-2.071926739656641,-4.146089769359536,-5.41026845643336,-3.3329242818519185,-3.0946571239383376,GO:0042592,homeostatic process,M11111111,8,GO:0045780 positive regulation of bone resorption,GO:0030277 maintenance of gastrointestinal epithelium,GO:0048871 multicellular organismal-level homeostasis,GO:0055074 calcium ion homeostasis,GO:0048872 homeostasis of number of cells,GO:0002260 lymphocyte homeostasis,GO:0055088 lipid homeostasis,GO:0019725 cellular homeostasis
1,1,1,1,1,1,1,1,-2.959008609530502,-8.510067869521027,-5.621676010345596,-4.838961938151446,-9.187695274278349,-5.0943934547010565,-4.233187147657519,-3.282080342645365,GO:0032501,multicellular organismal process,M11111111,8,GO:0001503 ossification,GO:0034369 plasma lipoprotein particle remodeling,GO:0030278 regulation of ossification,GO:0001503 ossification,GO:0001775 cell activation,GO:0014719 skeletal muscle satellite cell activation,GO:0071634 regulation of transforming growth factor beta production,GO:0001775 cell activation
1,1,1,1,1,1,0,1,-2.837420533389447,-9.838917396598518,-8.813950702517818,-7.799755854520723,-7.195284846045086,-7.719857571439064,0.0,-2.419495512558057,GO:0050789,regulation of biological process,M11111101,7,GO:0007346 regulation of mitotic cell cycle,GO:0097006 regulation of plasma lipoprotein particle levels,GO:0031344 regulation of cell projection organization,GO:0031344 regulation of cell projection organization,GO:1903037 regulation of leukocyte cell-cell adhesion,GO:0120035 regulation of plasma membrane bounded cell projection organization,,GO:0048660 regulation of smooth muscle cell proliferation
1,1,1,1,1,1,1,1,-2.8125480275684107,-8.510067869521027,-3.7731544253332823,-3.24546795039086,-5.335512868141107,-10.420394133886811,-10.078842574816349,-3.2930084476774133,GO:0009987,cellular process,M11111111,8,GO:0044458 motile cilium assembly,GO:0034368 protein-lipid complex remodeling,GO:0097152 mesenchymal cell apoptotic process,GO:0030010 establishment of cell polarity,GO:0022614 membrane to membrane docking,GO:0030029 actin filament-based process,GO:0042254 ribosome biogenesis,GO:0006338 chromatin remodeling
1,0,1,1,1,1,0,1,-2.562028827266699,0.0,-2.8979078559882345,-4.479763180791185,-10.815335624150663,-5.69499150455079,0.0,-5.259179711141671,GO:0040011,locomotion,M10111101,6,GO:0014912 negative regulation of smooth muscle cell migration,,GO:0030335 positive regulation of cell migration,GO:0040013 negative regulation of locomotion,GO:2000147 positive regulation of cell motility,GO:0040017 positive regulation of locomotion,,GO:0002687 positive regulation of leukocyte migration
1,1,1,1,1,1,1,1,-2.4274083488265883,-8.515159756339449,-4.9849770204125,-4.49473063780197,-4.133084605499894,-6.822747504468648,-6.189153888642834,-9.192898201706146,GO:0051179,localization,M11111111,8,GO:0015918 sterol transport,GO:0006869 lipid transport,GO:0006897 endocytosis,GO:0051668 localization within membrane,GO:0140353 lipid export from cell,GO:1905475 regulation of protein localization to membrane,GO:0006888 endoplasmic reticulum to Golgi vesicle-mediated transport,GO:0006886 intracellular protein transport
1,1,0,0,1,1,1,1,-2.012477074523936,-2.242524466788104,0.0,0.0,-10.893291086160355,-2.9474673652311076,-2.4620901886945084,-5.426166017331009,GO:0002376,immune system process,M11001111,6,GO:1902105 regulation of leukocyte differentiation,GO:1990266 neutrophil migration,,,GO:0050778 positive regulation of immune response,GO:0002694 regulation of leukocyte activation,GO:0043032 positive regulation of macrophage activation,GO:0050778 positive regulation of immune response
0,1,0,0,0,0,1,0,0.0,-3.828297511644552,0.0,0.0,0.0,0.0,-3.010483418728398,0.0,GO:0098754,detoxification,M01000010,2,,GO:0110095 cellular detoxification of aldehyde,,,,,GO:1990748 cellular detoxification,
0,1,0,0,1,0,0,1,0.0,-2.4617994653371023,0.0,0.0,-11.158853059148178,0.0,0.0,-9.957665933514608,GO:0044419,biological process involved in interspecies interaction between organisms,M01001001,3,,GO:0009617 response to bacterium,,,GO:0002237 response to molecule of bacterial origin,,,GO:0009615 response to virus
0,0,1,1,1,1,0,1,0.0,0.0,-6.141236362007624,-4.651329101019092,-2.3694789416717272,-3.1919163134024675,0.0,-2.1610718338323776,GO:0040007,growth,M00111101,5,,,GO:0060560 developmental growth involved in morphogenesis,GO:0061387 regulation of extent of cell growth,GO:0045927 positive regulation of growth,GO:0001558 regulation of cell growth,,GO:0040008 regulation of growth
0,0,1,0,1,0,0,1,0.0,0.0,-4.29583675570952,0.0,-2.280659851627293,0.0,0.0,-2.957014011701486,GO:0048511,rhythmic process,M00101001,3,,,GO:0048511 rhythmic process,,GO:0048511 rhythmic process,,,GO:0007623 circadian rhythm
