_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,1,0,0,1,1,1,-4.2,-3.1,-2.1,0,0,-6.3,-2.2,-2.9,GO:0009725,response to hormone,M11100111,6,0
1,1,1,1,1,1,0,0,-3.9,-2.6,-5.1,-2.6,-7.6,-4.6,0,0,GO:0035239,tube morphogenesis,M11111100,6,0
1,0,1,1,1,1,0,1,-2.3,0,-2.5,-2,-3.8,-2.5,0,-2.5,GO:0008283,cell population proliferation,M10111101,6,0
1,0,1,1,1,1,0,1,-2,0,-2.9,-3.2,-10,-5.5,0,-2.8,GO:0030335,positive regulation of cell migration,M10111101,6,0
1,1,0,0,1,0,1,1,-3.1,-3,0,0,-7.3,0,-3.3,-4.8,R-HSA-6798695,Neutrophil degranulation,M11001011,5,0
1,0,1,1,1,0,0,1,-2.9,0,-4.7,-6.5,-2.2,0,0,-2.3,GO:0009792,embryo development ending in birth or egg hatching,M10111001,5,0
1,0,0,1,1,1,1,0,-3.3,0,0,-3.1,-5.4,-4.4,-2.1,0,GO:0001568,blood vessel development,M10011110,5,0
1,0,1,1,1,1,0,0,-3,0,-2.2,-4.8,-2.7,-3.4,0,0,GO:0001503,ossification,M10111100,5,0
0,0,1,1,1,1,0,1,0,0,-2.7,-3,-11,-5.3,0,-2.7,GO:2000147,positive regulation of cell motility,M00111101,5,0
1,0,1,1,1,1,0,0,-5.1,0,-2.8,-2.7,-6.5,-3.2,0,0,GO:0043408,regulation of MAPK cascade,M10111100,5,0
1,1,0,1,1,0,1,0,-2.2,-8.5,0,-2.5,-2.5,0,-4.4,0,GO:0010876,lipid localization,M11011010,5,0
1,0,1,0,1,1,1,0,-2.2,0,-2.7,0,-6.1,-3.9,-3,0,R-HSA-1474244,Extracellular matrix organization,M10101110,5,0
1,0,1,1,1,1,0,0,-2.1,0,-2.3,-3.5,-5.3,-2.7,0,0,GO:0043410,positive regulation of MAPK cascade,M10111100,5,0
0,0,1,1,1,1,0,1,0,0,-2.6,-3.5,-11,-5.7,0,-2.6,GO:0040017,positive regulation of locomotion,M00111101,5,0
0,0,1,1,1,1,0,0,0,0,-2.2,-2.1,-4,-10,0,0,GO:0030029,actin filament-based process,M00111100,4,0
1,0,0,0,1,1,1,0,-3.2,0,0,0,-2.4,-3.8,-2,0,GO:1901652,response to peptide,M10001110,4,0
0,0,1,0,1,1,1,0,0,0,-2.3,0,-3.4,-3.4,-3.1,0,GO:0070482,response to oxygen levels,M00101110,4,0
0,0,1,0,1,1,1,0,0,0,-2.5,0,-3.7,-2.5,-2.8,0,GO:0036293,response to decreased oxygen levels,M00101110,4,0
0,0,0,1,1,1,0,1,0,0,0,-2.1,-7.5,-2.6,0,-3.5,GO:0040011,locomotion,M00011101,4,0
1,1,0,0,1,0,1,0,-2.4,-8.5,0,0,-2.2,0,-3,0,GO:0006869,lipid transport,M11001010,4,0
1,0,1,0,1,1,0,0,-3.5,0,-2.9,0,-12,-5.7,0,0,WP5434,Pathways in cancer,M10101100,4,0
1,0,1,0,1,1,0,0,-5.9,0,-5.6,0,-2.6,-5.6,0,0,GO:0070848,response to growth factor,M10101100,4,0
1,1,1,0,0,1,0,0,-3.6,-3,-3.1,0,0,-2.1,0,0,GO:0048732,gland development,M11100100,4,0
