_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,Description,_PATTERN_,_RANK_,CHILD_GO_down_common_genes,CHILD_GO_down_epi_only,CHILD_GO_down_mes_only,CHILD_GO_down_mes_up_epi,CHILD_GO_up_common_genes,CHILD_GO_up_epi_only,CHILD_GO_up_mes_down_epi,CHILD_GO_up_mes_only
1,1,1,1,1,1,1,1,-13.228271834908925,-13.43712353572974,-3.9679642949065705,-3.8892556901395032,-6.681940758698998,-5.00033709135285,-11.021249413125616,-13.047533433278451,GO:0008152,metabolic process,M11111111,8,GO:0044282 small molecule catabolic process,GO:0044282 small molecule catabolic process,GO:0043171 peptide catabolic process,GO:0008610 lipid biosynthetic process,GO:0010755 regulation of plasminogen activation,GO:0030574 collagen catabolic process,GO:0006457 protein folding,GO:0070085 glycosylation
1,1,1,1,1,1,1,1,-7.051087132682175,-5.507068302733678,-7.284240146274858,-6.632880954068462,-12.132039197698031,-9.361781721875271,-5.746967961096099,-6.629250564322559,GO:0050896,response to stimulus,M11111111,8,GO:0007167 enzyme-linked receptor protein signaling pathway,GO:0006805 xenobiotic metabolic process,GO:0009725 response to hormone,GO:0002831 regulation of response to biotic stimulus,GO:0042060 wound healing,GO:0006954 inflammatory response,GO:0034976 response to endoplasmic reticulum stress,GO:0034976 response to endoplasmic reticulum stress
1,1,1,1,1,1,1,1,-4.898258295552919,-4.968310888932135,-9.715028083857407,-7.806389234792596,-22.229430012530752,-9.915455583566562,-2.834751198024321,-8.66985975220087,GO:0032502,developmental process,M11111111,8,GO:0043009 chordate embryonic development,GO:0030855 epithelial cell differentiation,GO:0060322 head development,GO:0002521 leukocyte differentiation,GO:0001944 vasculature development,GO:0010975 regulation of neuron projection development,GO:0001889 liver development,GO:0001501 skeletal system development
1,1,1,1,1,1,0,1,-4.3586767206366686,-7.243756481946842,-6.464742763148988,-4.869011438361476,-7.559408613823147,-5.1678608460037,0.0,-4.413600656512812,GO:0065007,biological regulation,M11111101,7,GO:0051338 regulation of transferase activity,GO:0010817 regulation of hormone levels,GO:0090066 regulation of anatomical structure size,GO:0051099 positive regulation of binding,GO:0008361 regulation of cell size,GO:0090066 regulation of anatomical structure size,,GO:0050821 protein stabilization
1,1,1,1,1,1,1,1,-3.726774734408605,-2.5343193180824106,-5.618342636057524,-5.467865938209517,-6.8058471991387295,-5.780819369474407,-2.240618414316819,-3.7425436492953015,GO:0048519,negative regulation of biological process,M11111111,8,GO:0042326 negative regulation of phosphorylation,GO:0050819 negative regulation of coagulation,GO:0008285 negative regulation of cell population proliferation,GO:0008285 negative regulation of cell population proliferation,GO:0007162 negative regulation of cell adhesion,GO:0008285 negative regulation of cell population proliferation,GO:2001243 negative regulation of intrinsic apoptotic signaling pathway,GO:0030512 negative regulation of transforming growth factor beta receptor signaling pathway
1,1,1,1,1,1,0,1,-3.472949666765662,-4.099087478813773,-4.4295870121843,-5.5992895738962885,-7.691252006014495,-9.745814698509967,0.0,-2.7109086062348005,GO:0050789,regulation of biological process,M11111101,7,GO:0007096 regulation of exit from mitosis,GO:0097006 regulation of plasma lipoprotein particle levels,GO:0050804 modulation of chemical synaptic transmission,GO:0050678 regulation of epithelial cell proliferation,GO:0010810 regulation of cell-substrate adhesion,GO:0120035 regulation of plasma membrane bounded cell projection organization,,GO:0044088 regulation of vacuole organization
1,1,1,1,1,1,1,1,-3.332667973200407,-8.385037006919331,-3.977645329352727,-4.494210147923302,-4.872418354737852,-6.010340792843482,-5.737178638151424,-21.105142947148725,GO:0051179,localization,M11111111,8,GO:0072662 protein localization to peroxisome,GO:0015711 organic anion transport,GO:0015889 cobalamin transport,GO:1990778 protein localization to cell periphery,GO:0046888 negative regulation of hormone secretion,GO:0010970 transport along microtubule,GO:0072657 protein localization to membrane,GO:0048193 Golgi vesicle transport
1,1,1,1,1,1,1,1,-3.2668667702882557,-3.562696627153125,-4.405058031316918,-6.325994939006015,-15.49642831533086,-6.788774855758606,-6.131174681372506,-11.18536146803391,GO:0009987,cellular process,M11111111,8,GO:0007005 mitochondrion organization,GO:0007005 mitochondrion organization,GO:0022411 cellular component disassembly,GO:0098609 cell-cell adhesion,GO:0030036 actin cytoskeleton organization,GO:0008283 cell population proliferation,GO:0042254 ribosome biogenesis,GO:0007030 Golgi organization
1,1,1,0,1,1,0,0,-2.705762618607191,-3.3363939748354827,-2.4537396711518173,0.0,-3.822362320846697,-3.1323161199217497,0.0,0.0,GO:0022414,reproductive process,M11101100,5,GO:0046661 male sex differentiation,GO:0030728 ovulation,GO:0051446 positive regulation of meiotic cell cycle,,GO:0001893 maternal placenta development,GO:0007567 parturition,,
1,0,1,1,1,1,0,0,-2.67734791012083,0.0,-4.576700772164352,-5.6108463530059325,-14.75011496988136,-8.429487080797818,0.0,0.0,GO:0040011,locomotion,M10111100,5,GO:0050922 negative regulation of chemotaxis,,GO:0030335 positive regulation of cell migration,GO:0050920 regulation of chemotaxis,GO:0030335 positive regulation of cell migration,GO:0030335 positive regulation of cell migration,,
