_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,Description,_PATTERN_,_RANK_,GiniIndex
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.9,0,0,GO:0034113,heterotypic cell-cell adhesion,M00000100,1,0
0,0,0,1,0,0,0,0,0,0,0,-5.3,0,0,0,0,GO:0046631,alpha-beta T cell activation,M00010000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2,0,0,M5919,HALLMARK HEDGEHOG SIGNALING,M00000100,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.7,GO:0036296,response to increased oxygen levels,M00000001,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-3.3,GO:0090114,COPII-coated vesicle budding,M00000001,1,0
1,0,0,0,0,0,0,0,-6.3,0,0,0,0,0,0,0,R-HSA-9033241,Peroxisomal protein import,M10000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-5.5,0,R-HSA-8953854,Metabolism of RNA,M00000010,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-4,0,0,GO:0050730,regulation of peptidyl-tyrosine phosphorylation,M00000100,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-3.7,0,0,R-HSA-375276,Peptide ligand-binding receptors,M00000100,1,0
1,0,0,0,0,0,0,0,-3.2,0,0,0,0,0,0,0,GO:0009144,purine nucleoside triphosphate metabolic process,M10000000,1,0
0,0,1,0,0,0,0,0,0,0,-3.6,0,0,0,0,0,GO:0048640,negative regulation of developmental growth,M00100000,1,0
0,0,0,1,0,0,0,0,0,0,0,-3.5,0,0,0,0,GO:0071622,regulation of granulocyte chemotaxis,M00010000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.6,0,0,0,WP4542,Leukocyte intrinsic Hippo pathway functions,M00001000,1,0
0,1,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,GO:0018212,peptidyl-tyrosine modification,M01000000,1,0
0,1,0,0,0,0,0,0,0,-5.8,0,0,0,0,0,0,hsa00830,Retinol metabolism,M01000000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.5,0,0,GO:2000178,negative regulation of neural precursor cell proliferation,M00000100,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.1,0,0,WP4258,lncRNA in canonical Wnt signaling and colorectal cancer,M00000100,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-3.2,0,0,GO:0140895,cell surface toll-like receptor signaling pathway,M00000100,1,0
1,0,0,0,0,0,0,0,-2.3,0,0,0,0,0,0,0,hsa05415,Diabetic cardiomyopathy,M10000000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-3,0,0,GO:0007018,microtubule-based movement,M00000100,1,0
1,0,0,0,0,0,0,0,-2.6,0,0,0,0,0,0,0,R-HSA-192105,Synthesis of bile acids and bile salts,M10000000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-3,0,0,0,hsa05224,Breast cancer,M00001000,1,0
1,0,0,0,0,0,0,0,-3.3,0,0,0,0,0,0,0,GO:0072662,protein localization to peroxisome,M10000000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-3.3,0,0,0,GO:1901991,negative regulation of mitotic cell cycle phase transition,M00001000,1,0
0,1,0,0,0,0,0,0,0,-4.8,0,0,0,0,0,0,WP702,Metapathway biotransformation Phase I and II,M01000000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-3.9,0,0,0,GO:0048711,positive regulation of astrocyte differentiation,M00001000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-4.2,0,0,GO:0044000,movement in host,M00000100,1,0
0,0,1,0,0,0,0,0,0,0,-2.9,0,0,0,0,0,WP4932,7q11 23 copy number variation syndrome,M00100000,1,0
0,0,0,1,0,0,0,0,0,0,0,-6.1,0,0,0,0,hsa05169,Epstein-Barr virus infection,M00010000,1,0
0,0,1,0,0,0,0,0,0,0,-2.2,0,0,0,0,0,GO:0051898,negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,M00100000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-4.1,0,0,0,R-HSA-186797,Signaling by PDGF,M00001000,1,0
0,0,0,1,0,0,0,0,0,0,0,-3.3,0,0,0,0,GO:0032092,positive regulation of protein binding,M00010000,1,0
0,1,0,0,0,0,0,0,0,-3.4,0,0,0,0,0,0,GO:0033014,tetrapyrrole biosynthetic process,M01000000,1,0
0,1,0,0,0,0,0,0,0,-2.2,0,0,0,0,0,0,GO:0060761,negative regulation of response to cytokine stimulus,M01000000,1,0
0,1,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,GO:0000460,maturation of 5.8S rRNA,M01000000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.3,0,0,0,GO:0001825,blastocyst formation,M00001000,1,0
0,0,1,0,0,0,0,0,0,0,-3.6,0,0,0,0,0,R-HSA-8851680,Butyrophilin (BTN) family interactions,M00100000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.9,0,0,M156,PID ECADHERIN NASCENT AJ PATHWAY,M00000100,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-3,0,0,0,WP4963,p53 transcriptional gene network,M00001000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-3.8,0,GO:0051205,protein insertion into membrane,M00000010,1,0
0,1,0,0,0,0,0,0,0,-4.4,0,0,0,0,0,0,GO:0110096,cellular response to aldehyde,M01000000,1,0
0,1,0,0,0,0,0,0,0,-3.5,0,0,0,0,0,0,hsa00650,Butanoate metabolism,M01000000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.5,0,0,0,GO:0000209,protein polyubiquitination,M00001000,1,0
0,1,0,0,0,0,0,0,0,-2.5,0,0,0,0,0,0,R-HSA-425407,SLC-mediated transmembrane transport,M01000000,1,0
