GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
GO:0008152,metabolic process,-13.228271834908925,-13.43712353572974,-3.9679642949065705,-3.8892556901395032,-6.681940758698998,-5.00033709135285,-11.021249413125616,-13.047533433278451
GO:0051179,localization,-3.332667973200407,-8.385037006919331,-3.977645329352727,-4.494210147923302,-4.872418354737852,-6.010340792843482,-5.737178638151424,-21.105142947148725
GO:0032502,developmental process,-4.898258295552919,-4.968310888932135,-9.715028083857407,-7.806389234792596,-22.229430012530752,-9.915455583566562,-2.834751198024321,-8.66985975220087
GO:0050896,response to stimulus,-7.051087132682175,-5.507068302733678,-7.284240146274858,-6.632880954068462,-12.132039197698031,-9.361781721875271,-5.746967961096099,-6.629250564322559
GO:0009987,cellular process,-3.2668667702882557,-3.562696627153125,-4.405058031316918,-6.325994939006015,-15.49642831533086,-6.788774855758606,-6.131174681372506,-11.18536146803391
GO:0032501,multicellular organismal process,-2.375105416310113,-4.340255413688319,-5.0770498680444875,-8.031847354523421,-12.967262255225178,-7.576871870679886,-2.664369429831685,-5.520156919139239
GO:0048519,negative regulation of biological process,-3.726774734408605,-2.5343193180824106,-5.618342636057524,-5.467865938209517,-6.8058471991387295,-5.780819369474407,-2.240618414316819,-3.7425436492953015
GO:0050789,regulation of biological process,-3.472949666765662,-4.099087478813773,-4.4295870121843,-5.5992895738962885,-7.691252006014495,-9.745814698509967,0.0,-2.7109086062348005
GO:0065007,biological regulation,-4.3586767206366686,-7.243756481946842,-6.464742763148988,-4.869011438361476,-7.559408613823147,-5.1678608460037,0.0,-4.413600656512812
GO:0042592,homeostatic process,0.0,-3.629784937545884,-2.547073765546393,-4.108610792428351,-4.120518205061738,-2.9656886842723025,-3.8170283971275296,-2.729815995952394
GO:0048518,positive regulation of biological process,-2.582058613040208,-3.9038715160737287,-6.017932144342632,-8.411313635821825,-8.845902071981765,-9.069466471799103,0.0,0.0
GO:0002376,immune system process,0.0,-2.024806342975859,-3.478164411654702,-7.914785835025438,-5.754919047783632,-6.930468824716539,0.0,0.0
GO:0040011,locomotion,-2.67734791012083,0.0,-4.576700772164352,-5.6108463530059325,-14.75011496988136,-8.429487080797818,0.0,0.0
GO:0044419,biological process involved in interspecies interaction between organisms,-2.17087113851711,0.0,-3.503652862707025,-6.730551194724586,-2.2407566756259847,-7.747806205200871,0.0,0.0
GO:0043473,pigmentation,0.0,-2.133611781411019,-2.194325740306785,-2.312137773314447,0.0,0.0,0.0,0.0
GO:0048511,rhythmic process,0.0,-2.6008680732579,-2.5297487019764735,0.0,-2.693558086944859,0.0,0.0,0.0
GO:0098754,detoxification,0.0,-3.85282200713584,0.0,0.0,0.0,0.0,0.0,0.0
GO:0016032,viral process,0.0,0.0,-2.502143617630656,-2.633007393057401,0.0,-3.441161015516421,0.0,0.0
GO:0022414,reproductive process,-2.705762618607191,-3.3363939748354827,-2.4537396711518173,0.0,-3.822362320846697,-3.1323161199217497,0.0,0.0
GO:0040007,growth,0.0,-3.56745135977905,-5.350819255806637,0.0,-5.226233329825959,-3.6780771354834285,0.0,0.0
