_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-2.180665102455247,0.0,0.0,0.0,WP4534,M00001000,1,0,WikiPathways,27,Mechanoregulation and pathology of YAP TAZ via Hippo and non Hippo mechanisms,,-4.143878482159012,3.6371569824463084,4.971418146185841,30286,47,2126,12,0.5644402634054563,0.16247936916520758,59|60|1495|1499|3688|3696|4485|5058|8463|8994|10298|60485,ACTA2|ACTB|CTNNA1|CTNNB1|ITGB1|ITGB8|MST1|PAK1|TEAD2|LIMD1|PAK4|SAV1,-2.798861388435324,0,137.0,0.0,0.0,-7.804019439021686,3.6371569824463084,
1,1,0,0,0,0,0,0,-4.14347920669275,-3.143404100656998,0.0,0.0,0.0,0.0,0.0,0.0,GO:0016042,M11000000,2,0,GO Biological Processes,19,lipid catabolic process,19_GO:0008152 metabolic process,-4.14347920669275,4.208939761471599,5.236244628120955,30286,291,272,11,4.044117647058823,1.1944369784341258,30|38|427|2110|3030|3295|5830|6342|8309|10455|51390,ACAA1|ACAT1|ASAH1|ETFDH|HADHA|HSD17B4|PEX5|SCP2|ACOX2|ECI2|AIG1,-2.874812252403755,0,37.0,0.0,0.0,-13.418027082746018,83.5091911764706,
0,0,0,1,0,0,0,0,0.0,0.0,0.0,-3.791666345010328,0.0,0.0,0.0,0.0,GO:0008064,M00010000,1,0,GO Biological Processes,19,regulation of actin polymerization or depolymerization,19_GO:0050789 regulation of biological process,-4.141004404558039,2.312586284834639,4.486971767489321,30286,154,2126,25,1.175917215428034,0.23379657261906375,118|382|2150|2314|2909|2934|5216|5217|5581|5962|6712|6840|7114|7408|9873|10092|10456|11135|23580|29766|29767|57580|79822|130271|148170,ADD1|ARF6|F2RL1|FLII|ARHGAP35|GSN|PFN1|PFN2|PRKCE|RDX|SPTBN2|SVIL|TMSB4X|VASP|FCHSD2|ARPC5|HAX1|CDC42EP1|CDC42EP4|TMOD3|TMOD2|PREX1|ARHGAP28|PLEKHH2|CDC42EP5,-2.796973223816002,0,44.0,0.0,0.0,-12.904845716576606,2.986966285315449,
0,0,0,1,0,0,1,0,0.0,0.0,0.0,-3.0388070201116992,0.0,0.0,-2.6337597033971303,0.0,WP4396,M00010010,2,0,WikiPathways,27,Nonalcoholic fatty liver disease,,-4.141004404558039,2.312586284834639,4.486971767489321,30286,154,2126,25,1.175917215428034,0.23379657261906375,1537|3551|3725|4092|4296|4706|4714|4716|4731|5563|5879|6256|7384|7386|7412|7494|9021|10000|10018|10975|27113|51094|55967|83737|374291,CYC1|IKBKB|JUN|SMAD7|MAP3K11|NDUFAB1|NDUFB8|NDUFB10|NDUFV3|PRKAA2|RAC1|RXRA|UQCRC1|UQCRFS1|VCAM1|XBP1|SOCS3|AKT3|BCL2L11|UQCR11|BBC3|ADIPOR1|NDUFA12|ITCH|NDUFS7,-2.796973223816002,0,217.0,0.0,0.0,-5.717330793164253,2.312586284834639,
0,1,0,0,0,0,0,0,0.0,-4.136937833192128,0.0,0.0,0.0,0.0,0.0,0.0,GO:0046033,M01000000,1,0,GO Biological Processes,19,AMP metabolic process,19_GO:0008152 metabolic process,-4.136937833192128,17.498772208580096,7.930572975340204,30286,23,301,4,1.3289036544850499,0.6600220990098737,132|204|5471|10606,ADK|AK2|PPAT|PAICS,-2.8702786781947993,0,218.0,0.0,0.0,-5.7020850744121265,23.219524661385126,
0,0,0,1,0,0,0,0,0.0,0.0,0.0,-4.136937833192128,0.0,0.0,0.0,0.0,M2821,M00010000,1,0,BioCarta Gene Sets,15,BIOCARTA NTHI PATHWAY,,-4.136937833192128,17.498772208580096,7.930572975340204,30286,23,301,4,1.3289036544850499,0.6600220990098737,3551|4088|4615|9020,IKBKB|SMAD3|MYD88|MAP3K14,-2.8702786781947993,0,156.0,0.0,0.0,-7.198045625572983,23.219524661385126,
0,1,0,0,0,0,0,0,0.0,-4.136937833192128,0.0,0.0,0.0,0.0,0.0,0.0,hsa00900,M01000000,1,0,KEGG Pathway,24,Terpenoid backbone biosynthesis,,-4.136937833192128,17.498772208580096,7.930572975340204,30286,23,301,4,1.3289036544850499,0.6600220990098737,3156|3157|4598|10654,HMGCR|HMGCS1|MVK|PMVK,-2.8702786781947993,0,35.0,0.0,0.0,-13.479104276146474,57.49596582819174,
0,0,1,0,1,0,0,0,0.0,0.0,-2.9037280973167108,0.0,-2.2093208989360638,0.0,0.0,0.0,GO:0031345,M00101000,2,0,GO Biological Processes,19,negative regulation of cell projection organization,19_GO:0048519 negative regulation of biological process,-4.133644847925068,2.126198733519608,4.401666650911952,30286,201,2126,30,1.4111006585136407,0.25580638255161314,382|1948|1949|2043|2045|2288|2316|2664|4134|4193|5217|5663|5802|6049|7869|8482|9693|10371|10501|10509|22871|22943|23329|26052|29116|57142|57715|64689|81618|157285,ARF6|EFNB2|EFNB3|EPHA4|EPHA7|FKBP4|FLNA|GDI1|MAP4|MDM2|PFN2|PSEN1|PTPRS|RNF6|SEMA3B|SEMA7A|RAPGEF2|SEMA3A|SEMA6B|SEMA4B|NLGN1|DKK1|TBC1D30|DNM3|MYLIP|RTN4|SEMA4G|GORASP1|ITM2C|PRAG1,-2.7905973470642844,0,82.0,0.0,0.0,-10.318351061538687,3.8219718697657337,
0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-4.131792520241722,0.0,0.0,0.0,R-HSA-2029480,M00001000,1,0,Reactome Gene Sets,6,Fcgamma receptor (FCGR) dependent phagocytosis,,-4.131792520241722,8.589336358479864,6.377947406440694,30286,86,246,6,2.4390243902439024,0.9835095592018438,60|1072|4627|4650|10092|10096,ACTB|CFL1|MYH9|MYO9B|ARPC5|ACTR3,-2.8659566725656584,0,53.0,0.0,0.0,-12.184229975718472,12.79104635202196,
0,0,0,1,0,0,0,0,0.0,0.0,0.0,-4.129878675597372,0.0,0.0,0.0,0.0,GO:0044380,M00010000,1,0,GO Biological Processes,19,protein localization to cytoskeleton,19_GO:0051179 localization,-4.129878675597372,11.433856840833586,6.93922496979464,30286,44,301,5,1.6611295681063123,0.7366837909639954,4281|10540|10982|27185|140691,MID1|DCTN2|MAPRE2|DISC1|TRIM69,-2.864864577422683,0,327.0,0.0,0.0,-4.333383068720106,12.577242524916944,
