_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,0,1,1,1,1,0,1,-2.7,0,-3.5,-4.2,-8.7,-2.3,0,-3.5,GO:0007507,heart development,M10111101,6,0
1,0,1,1,1,1,0,1,-2.2,0,-3.9,-4.2,-14,-2.8,0,-3.5,GO:0048729,tissue morphogenesis,M10111101,6,0
1,0,1,1,1,1,0,1,-2.7,0,-2.8,-3.4,-2.7,-2,0,-2.3,GO:0009725,response to hormone,M10111101,6,0
0,0,1,1,1,1,0,1,0,0,-2.4,-2,-2,-2.9,0,-2.5,GO:0010506,regulation of autophagy,M00111101,5,0
0,0,1,1,1,1,0,1,0,0,-3.2,-2,-11,-4,0,-2.7,R-HSA-422475,Axon guidance,M00111101,5,0
1,0,0,1,1,1,1,0,-2,0,0,-3.7,-4,-3.7,-2,0,GO:2001233,regulation of apoptotic signaling pathway,M10011110,5,0
1,0,1,1,1,1,0,0,-3.9,0,-5.1,-3.4,-6.8,-3.1,0,0,GO:0009792,embryo development ending in birth or egg hatching,M10111100,5,0
1,0,1,1,1,1,0,0,-3.9,0,-4.6,-2.9,-8.1,-2.7,0,0,GO:0060562,epithelial tube morphogenesis,M10111100,5,0
1,0,1,1,1,1,0,0,-3,0,-3,-3.7,-12,-2.6,0,0,GO:0002009,morphogenesis of an epithelium,M10111100,5,0
0,0,1,1,1,1,1,0,0,0,-2.1,-5.5,-6.7,-5.6,-2.3,0,R-HSA-9012999,RHO GTPase cycle,M00111110,5,0
1,0,1,1,1,0,0,1,-4,0,-4.4,-2.3,-2.7,0,0,-2,GO:0021915,neural tube development,M10111001,5,0
1,0,1,1,1,1,0,0,-4,0,-5.3,-3.5,-7,-2.7,0,0,GO:0043009,chordate embryonic development,M10111100,5,0
1,0,1,1,1,1,0,0,-2.4,0,-3.5,-5.8,-17,-4.5,0,0,GO:0035239,tube morphogenesis,M10111100,5,0
1,0,0,1,1,1,0,1,-2,0,0,-4.1,-4.9,-2.1,0,-2.2,GO:0003007,heart morphogenesis,M10011101,5,0
1,0,1,0,1,1,0,0,-2.3,0,-2,0,-4,-3.1,0,0,GO:0048762,mesenchymal cell differentiation,M10101100,4,0
