Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-HSA-372790,Signaling by GPCR,,-4.4,1.9,4.5,30293,709,922,42,4.6,0.69,107|111|114|117|134|301|623|718|796|846|886|1607|1889|1908|1910|2791|2846|2913|2921|3576|3678|3709|3838|5021|5142|5196|5516|5729|6004|6374|7481|8503|9290|11211|11255|22899|55701|57580|79924|79948|84152|85397,ADCY1|ADCY5|ADCY8|ADCYAP1R1|ADORA1|ANXA1|BDKRB1|C3|CALCA|CASR|CCKAR|DGKB|ECE1|EDN3|EDNRB|GNG11|LPAR4|GRM3|CXCL3|CXCL8|ITGA5|ITPR2|KPNA2|OXTR|PDE4B|PF4|PPP2CB|PTGDR|RGS16|CXCL5|WNT11|PIK3R3|GPR55|FZD10|HRH3|ARHGEF15|ARHGEF40|PREX1|ADM2|PLPPR3|PPP1R1B|RGS8,-2.6,MyList
Reactome Gene Sets,6,R-HSA-68882,Mitotic Anaphase,,-4.4,2.8,4.9,30293,235,922,20,2.2,0.48,332|699|701|991|1062|1063|4085|5347|5516|7444|9133|9212|9232|10197|10403|11004|11065|55143|81027|128866,BIRC5|BUB1|BUB1B|CDC20|CENPE|CENPF|MAD2L1|PLK1|PPP2CB|VRK2|CCNB2|AURKB|PTTG1|PSME3|NDC80|KIF2C|UBE2C|CDCA8|TUBB1|CHMP4B,-2.6,MyList
Reactome Gene Sets,6,R-HSA-2555396,Mitotic Metaphase and Anaphase,,-4.4,2.8,4.9,30293,236,922,20,2.2,0.48,332|699|701|991|1062|1063|4085|5347|5516|7444|9133|9212|9232|10197|10403|11004|11065|55143|81027|128866,BIRC5|BUB1|BUB1B|CDC20|CENPE|CENPF|MAD2L1|PLK1|PPP2CB|VRK2|CCNB2|AURKB|PTTG1|PSME3|NDC80|KIF2C|UBE2C|CDCA8|TUBB1|CHMP4B,-2.5,MyList
Reactome Gene Sets,6,R-HSA-352230,Amino acid transport across the plasma membrane,,-4.3,7,6.1,30293,33,922,7,0.76,0.29,6539|6542|9056|11254|23657|55117|84889,SLC6A12|SLC7A2|SLC7A7|SLC6A14|SLC7A11|SLC6A15|SLC7A3,-2.5,MyList
Reactome Gene Sets,6,R-HSA-2214320,Anchoring fibril formation,,-4.2,11,6.8,30293,15,922,5,0.54,0.24,1277|1282|1285|1294|3918,COL1A1|COL4A1|COL4A3|COL7A1|LAMC2,-2.4,MyList
Reactome Gene Sets,6,R-HSA-372708,p130Cas linkage to MAPK signaling for integrins,,-4.2,11,6.8,30293,15,922,5,0.54,0.24,2243|2244|2266|5908|54518,FGA|FGB|FGG|RAP1B|APBB1IP,-2.4,MyList
Reactome Gene Sets,6,R-HSA-354194,GRB2:SOS provides linkage to MAPK signaling for Integrins,,-4.2,11,6.8,30293,15,922,5,0.54,0.24,2243|2244|2266|5908|54518,FGA|FGB|FGG|RAP1B|APBB1IP,-2.4,MyList
Reactome Gene Sets,6,R-HSA-449836,Other interleukin signaling,,-4.2,8.2,6.3,30293,24,922,6,0.65,0.26,1440|5803|6382|6616|6810|9235,CSF3|PTPRZ1|SDC1|SNAP25|STX4|IL32,-2.4,MyList
Reactome Gene Sets,6,R-HSA-1500931,Cell-Cell communication,,-4.1,3.2,4.9,30293,153,922,15,1.6,0.42,961|1012|1015|2318|3918|5339|7122|9075|9839|23112|26523|27319|51208|54549|56978,CD47|CDH13|CDH17|FLNC|LAMC2|PLEC|CLDN5|CLDN2|ZEB2|TNRC6B|AGO1|BHLHE22|CLDN18|SDK2|PRDM8,-2.4,MyList
Reactome Gene Sets,6,R-HSA-421270,Cell-cell junction organization,,-4.1,4.1,5.2,30293,88,922,11,1.2,0.36,1012|1015|7122|9075|9839|23112|26523|27319|51208|54549|56978,CDH13|CDH17|CLDN5|CLDN2|ZEB2|TNRC6B|AGO1|BHLHE22|CLDN18|SDK2|PRDM8,-2.4,MyList
