_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.5,R-HSA-9832991,Formation of the posterior neural plate,M1,1,0
1,-2.8,R-HSA-418990,Adherens junctions interactions,M1,1,0
1,-2,R-HSA-1489509,DAG and IP3 signaling,M1,1,0
1,-2.7,R-HSA-3928663,EPHA-mediated growth cone collapse,M1,1,0
1,-2.6,R-HSA-500792,GPCR ligand binding,M1,1,0
1,-2.7,R-HSA-111885,Opioid Signalling,M1,1,0
1,-2.8,R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",M1,1,0
1,-6,R-HSA-8957275,Post-translational protein phosphorylation,M1,1,0
1,-2.6,R-HSA-141430,Inactivation of APC/C via direct inhibition of the APC/C complex,M1,1,0
1,-2.3,R-HSA-176974,Unwinding of DNA,M1,1,0
1,-2.7,R-HSA-5083625,Defective GALNT3 causes HFTC,M1,1,0
1,-2.8,R-HSA-68877,Mitotic Prometaphase,M1,1,0
1,-2.5,R-HSA-1592389,Activation of Matrix Metalloproteinases,M1,1,0
1,-2.7,R-HSA-629597,Highly calcium permeable nicotinic acetylcholine receptors,M1,1,0
1,-2.3,R-HSA-9634600,"Regulation of glycolysis by fructose 2,6-bisphosphate metabolism",M1,1,0
1,-4.4,R-HSA-68882,Mitotic Anaphase,M1,1,0
1,-4.8,R-HSA-382551,Transport of small molecules,M1,1,0
1,-2.6,R-HSA-141405,Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components,M1,1,0
1,-2.6,R-HSA-388844,Receptor-type tyrosine-protein phosphatases,M1,1,0
1,-2.5,R-HSA-170660,Adenylate cyclase activating pathway,M1,1,0
1,-2.9,R-HSA-388841,Costimulation by the CD28 family,M1,1,0
1,-3.8,R-HSA-5173105,O-linked glycosylation,M1,1,0
1,-3.1,R-HSA-373755,Semaphorin interactions,M1,1,0
1,-2.9,R-HSA-210747,Regulation of gene expression in early pancreatic precursor cells,M1,1,0
1,-3.4,R-HSA-140875,Common Pathway of Fibrin Clot Formation,M1,1,0
1,-2.3,R-HSA-622323,Presynaptic nicotinic acetylcholine receptors,M1,1,0
1,-3,R-HSA-425366,"Transport of bile salts and organic acids, metal ions and amine compounds",M1,1,0
1,-4.2,R-HSA-372708,p130Cas linkage to MAPK signaling for integrins,M1,1,0
1,-2.3,R-HSA-174143,APC/C-mediated degradation of cell cycle proteins,M1,1,0
1,-3.9,R-HSA-354192,Integrin signaling,M1,1,0
1,-2.4,R-HSA-913531,Interferon Signaling,M1,1,0
1,-3.8,R-HSA-76009,Platelet Aggregation (Plug Formation),M1,1,0
1,-7.5,R-HSA-1280215,Cytokine Signaling in Immune system,M1,1,0
