Cluster,Score,Type,Gene,Symbol,Network
1,3.611111111111111,Clustered,36,ACADSB,down_common_genes_SUB1
1,3.611111111111111,Clustered,51171,HSD17B14,down_common_genes_SUB1
1,3.611111111111111,Clustered,7178,TPT1,down_common_genes_SUB1
1,3.611111111111111,Clustered,6414,SELENOP,down_common_genes_SUB1
1,3.611111111111111,Clustered,80221,ACSF2,down_common_genes_SUB1
1,3.611111111111111,Clustered,3646,EIF3E,down_common_genes_SUB1
1,3.611111111111111,Clustered,8309,ACOX2,down_common_genes_SUB1
1,3.611111111111111,Clustered,3030,HADHA,down_common_genes_SUB1
1,3.611111111111111,Seed,8664,EIF3D,down_common_genes_SUB1
1,3.611111111111111,Clustered,51386,EIF3L,down_common_genes_SUB1
1,3.611111111111111,Clustered,1975,EIF4B,down_common_genes_SUB1
1,3.611111111111111,Clustered,376497,SLC27A1,down_common_genes_SUB1
1,3.611111111111111,Clustered,8667,EIF3H,down_common_genes_SUB1
1,3.611111111111111,Clustered,38,ACAT1,down_common_genes_SUB1
1,3.611111111111111,Clustered,6342,SCP2,down_common_genes_SUB1
1,3.611111111111111,Clustered,114987,WDR31,down_common_genes_SUB1
1,3.611111111111111,Clustered,8665,EIF3F,down_common_genes_SUB1
1,3.611111111111111,Clustered,1974,EIF4A2,down_common_genes_SUB1
3,2.142857142857143,Seed,689,BTF3,down_common_genes_SUB1
3,2.142857142857143,Clustered,6872,TAF1,down_common_genes_SUB1
3,2.142857142857143,Clustered,3615,IMPDH2,down_common_genes_SUB1
3,2.142857142857143,Clustered,1938,EEF2,down_common_genes_SUB1
3,2.142857142857143,Clustered,1915,EEF1A1,down_common_genes_SUB1
3,2.142857142857143,Clustered,123283,TARS3,down_common_genes_SUB1
3,2.142857142857143,Clustered,5836,PYGL,down_common_genes_SUB1
2,1.6875,Clustered,1937,EEF1G,down_common_genes_SUB1
2,1.6875,Clustered,113026,PLCD3,down_common_genes_SUB1
2,1.6875,Clustered,2549,GAB1,down_common_genes_SUB1
2,1.6875,Clustered,4833,NME4,down_common_genes_SUB1
2,1.6875,Clustered,5156,PDGFRA,down_common_genes_SUB1
2,1.6875,Clustered,10412,NSA2,down_common_genes_SUB1
2,1.6875,Clustered,51196,PLCE1,down_common_genes_SUB1
2,1.6875,Clustered,5213,PFKM,down_common_genes_SUB1
2,1.6875,Clustered,5372,PMM1,down_common_genes_SUB1
2,1.6875,Clustered,2064,ERBB2,down_common_genes_SUB1
2,1.6875,Clustered,2261,FGFR3,down_common_genes_SUB1
2,1.6875,Clustered,5595,MAPK3,down_common_genes_SUB1
2,1.6875,Seed,5297,PI4KA,down_common_genes_SUB1
2,1.6875,Clustered,4869,NPM1,down_common_genes_SUB1
2,1.6875,Clustered,23363,OBSL1,down_common_genes_SUB1
2,1.6875,Clustered,5578,PRKCA,down_common_genes_SUB1
4,1.0,Seed,254042,METAP1D,down_common_genes_SUB1
4,1.0,Clustered,3033,HADH,down_common_genes_SUB1
4,1.0,Clustered,80724,ACAD10,down_common_genes_SUB1
4,1.0,Clustered,51084,CRYL1,down_common_genes_SUB1
5,1.0,Clustered,5164,PDK2,down_common_genes_SUB1
5,1.0,Seed,10347,ABCA7,down_common_genes_SUB1
5,1.0,Clustered,20,ABCA2,down_common_genes_SUB1
5,1.0,Clustered,1355,COX15,down_common_genes_SUB1
6,1.0,Clustered,9380,GRHPR,down_common_genes_SUB1
6,1.0,Seed,200205,IBA57,down_common_genes_SUB1
6,1.0,Clustered,275,AMT,down_common_genes_SUB1
7,1.0,Seed,23637,RABGAP1,down_common_genes_SUB1
7,1.0,Clustered,9910,RABGAP1L,down_common_genes_SUB1
