GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
C0011615,"Dermatitis, Atopic",0.0,-2.5901972860630837,0.0,0.0,-14.609867129622225,-6.252875338843352,0.0,-2.418056625525884
C0004943,Behcet Syndrome,0.0,-2.2816066117746674,0.0,0.0,-17.65902117298302,-2.66944071893183,0.0,-2.8934983972356436
C0003872,"Arthritis, Psoriatic",0.0,0.0,0.0,0.0,-14.028849901927675,-3.044690450208524,0.0,-2.7212969252287396
C0038013,Ankylosing spondylitis,0.0,0.0,0.0,0.0,-13.61026751229868,-8.643797932457716,0.0,-2.6244694485209035
C3714636,Pneumonitis,0.0,0.0,0.0,0.0,-13.010608776544432,-5.553682107368065,0.0,0.0
C0018213,Graves Disease,0.0,0.0,0.0,0.0,-13.178366061048001,-5.378529053696652,0.0,0.0
C3495559,Juvenile arthritis,0.0,0.0,0.0,0.0,-15.95494538349748,-4.2139224399616015,0.0,0.0
C0011603,Dermatitis,0.0,0.0,0.0,0.0,-14.910693442587503,-6.348635069822802,0.0,0.0
C0151449,Primary Sjögren's syndrome,0.0,0.0,0.0,0.0,-21.18316167268753,-6.704110102908112,0.0,0.0
C3714514,Infection,0.0,0.0,0.0,0.0,-23.11103154823047,-5.0637812996476255,0.0,0.0
C0024143,Lupus Nephritis,-2.8490957850866567,0.0,0.0,0.0,-13.840560541880686,-4.940126243294815,0.0,0.0
C0004623,Bacterial Infections,0.0,0.0,0.0,0.0,-12.64700193502304,-9.120142528701207,-3.266134950726064,0.0
C0008312,Primary biliary cirrhosis,0.0,0.0,0.0,0.0,-12.529811064420526,-5.873037587525315,-4.340239309166296,0.0
C0375023,Respiratory syncytial virus (RSV) infection in conditions classified elsewhere and of unspecified site,0.0,0.0,0.0,-3.005563803168986,-15.555201784554901,-3.466156865386277,0.0,-2.1049366703467465
C0220644,Childhood Hodgkin Lymphoma,0.0,0.0,0.0,0.0,-17.267011812139884,0.0,0.0,0.0
C1332201,Adult Diffuse Large B-Cell Lymphoma,0.0,0.0,0.0,0.0,-12.91944767501783,0.0,0.0,0.0
C0149678,Epstein-Barr Virus Infections,0.0,0.0,0.0,0.0,-13.622580993071619,0.0,0.0,0.0
C1333064,Classical Hodgkin's Lymphoma,0.0,0.0,0.0,0.0,-14.238210883753542,0.0,0.0,0.0
C0220597,Adult Hodgkin Lymphoma,0.0,0.0,0.0,0.0,-17.267011812139884,0.0,0.0,0.0
C0036220,Kaposi Sarcoma,-2.0122872337404085,0.0,0.0,0.0,-13.233078095239273,0.0,0.0,0.0
