Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,Reactome Gene Sets,6,R-HSA-76005,Response to elevated platelet cytosolic Ca2+,,-11,6.5,10,30293,134,731,21,2.9,0.62,87|710|805|928|1191|1893|2244|2621|3671|5054|5099|5155|7040|7042|7043|7044|7057|7076|7078|7123|8407,ACTN1|SERPING1|CALM2|CD9|CLU|ECM1|FGB|GAS6|ISLR|SERPINE1|PCDH7|PDGFB|TGFB1|TGFB2|TGFB3|LEFTY2|THBS1|TIMP1|TIMP3|CLEC3B|TAGLN2,-8.9
MyList,Reactome Gene Sets,6,R-HSA-1566948,Elastic fibre formation,,-11,12,12,30293,44,731,13,1.8,0.49,652|655|2192|2201|2202|4015|4052|4053|7040|7042|7043|8076|8425,BMP4|BMP7|FBLN1|FBN2|EFEMP1|LOX|LTBP1|LTBP2|TGFB1|TGFB2|TGFB3|MFAP5|LTBP4,-8.6
MyList,Reactome Gene Sets,6,R-HSA-373755,Semaphorin interactions,,-10,9.6,11,30293,65,731,15,2.1,0.52,388|1808|1809|3672|4233|4627|4629|5362|8482|8829|9037|10371|56896|91584|103910,RHOB|DPYSL2|DPYSL3|ITGA1|MET|MYH9|MYH11|PLXNA2|SEMA7A|NRP1|SEMA5A|SEMA3A|DPYSL5|PLXNA4|MYL12B,-8.5
MyList,Reactome Gene Sets,6,R-HSA-2129379,Molecules associated with elastic fibres,,-10,13,12,30293,37,731,12,1.6,0.47,652|655|2192|2201|2202|4052|4053|7040|7042|7043|8076|8425,BMP4|BMP7|FBLN1|FBN2|EFEMP1|LTBP1|LTBP2|TGFB1|TGFB2|TGFB3|MFAP5|LTBP4,-8.4
MyList,Reactome Gene Sets,6,R-HSA-76002,"Platelet activation, signaling and aggregation",,-10,4.4,8.7,30293,263,731,28,3.8,0.71,87|150|388|710|805|928|1191|1893|2149|2151|2244|2621|3671|3708|5054|5099|5155|7040|7042|7043|7044|7057|7076|7078|7123|7225|8407|10630,ACTN1|ADRA2A|RHOB|SERPING1|CALM2|CD9|CLU|ECM1|F2R|F2RL2|FGB|GAS6|ISLR|ITPR1|SERPINE1|PCDH7|PDGFB|TGFB1|TGFB2|TGFB3|LEFTY2|THBS1|TIMP1|TIMP3|CLEC3B|TRPC6|TAGLN2|PDPN,-8.2
MyList,Reactome Gene Sets,6,R-HSA-3906995,Diseases associated with O-glycosylation of proteins,,-10,9,10,30293,69,731,15,2.1,0.52,4851|4854|7057|9037|9510|9719|10417|11095|54437|55901|81792|140766|170689|170691|170692,NOTCH1|NOTCH3|THBS1|SEMA5A|ADAMTS1|ADAMTSL2|SPON2|ADAMTS8|SEMA5B|THSD1|ADAMTS12|ADAMTS14|ADAMTS15|ADAMTS17|ADAMTS18,-8.1
MyList,Reactome Gene Sets,6,R-HSA-2243919,Crosslinking of collagen fibrils,,-10,21,13,30293,18,731,9,1.2,0.41,649|1282|1284|1285|1286|1287|4015|7093|7837,BMP1|COL4A1|COL4A2|COL4A3|COL4A4|COL4A5|LOX|TLL2|PXDN,-8
MyList,Reactome Gene Sets,6,R-HSA-2214320,Anchoring fibril formation,,-9.2,22,13,30293,15,731,8,1.1,0.38,649|1282|1284|1285|1286|1287|1294|7093,BMP1|COL4A1|COL4A2|COL4A3|COL4A4|COL4A5|COL7A1|TLL2,-7.3
MyList,Reactome Gene Sets,6,R-HSA-1630316,Glycosaminoglycan metabolism,,-8.8,5.9,8.7,30293,126,731,18,2.5,0.57,1464|1634|2683|2719|2817|4060|4958|4969|9348|9672|9955|10082|27087|50515|57214|63827|83539|90161,CSPG4|DCN|B4GALT1|GPC3|GPC1|LUM|OMD|OGN|NDST3|SDC3|HS3ST3A1|GPC6|B3GAT1|CHST11|CEMIP|BCAN|CHST9|HS6ST2,-6.9
MyList,Reactome Gene Sets,6,R-HSA-5173105,O-linked glycosylation,,-8.8,6.3,8.8,30293,112,731,17,2.3,0.56,2589|2590|7057|9037|9510|9719|10417|11095|54437|55901|81792|114805|140766|170689|170691|170692|374378,GALNT1|GALNT2|THBS1|SEMA5A|ADAMTS1|ADAMTSL2|SPON2|ADAMTS8|SEMA5B|THSD1|ADAMTS12|GALNT13|ADAMTS14|ADAMTS15|ADAMTS17|ADAMTS18|GALNT18,-6.9
