Network,Annotation
down_common_genes,GO:0009725|response to hormone|-10.9;GO:0006631|fatty acid metabolic process|-10.4;GO:0019752|carboxylic acid metabolic process|-10.0
down_common_genes_MCODE_ALL,GO:0006631|fatty acid metabolic process|-11.5;GO:0032787|monocarboxylic acid metabolic process|-9.7;GO:0072329|monocarboxylic acid catabolic process|-9.4
down_common_genes_SUB1_MCODE_1,GO:0006631|fatty acid metabolic process|-17.8;GO:0032787|monocarboxylic acid metabolic process|-15.9;GO:0019752|carboxylic acid metabolic process|-14.3
down_common_genes_SUB1_MCODE_2,GO:0002181|cytoplasmic translation|-6.1;GO:0051098|regulation of binding|-5.3;GO:0006412|translation|-4.7
down_common_genes_SUB1_MCODE_3,GO:0019646|aerobic electron transport chain|-6.6;GO:0042775|mitochondrial ATP synthesis coupled electron transport|-6.5;GO:0042773|ATP synthesis coupled electron transport|-6.5
down_common_genes_SUB1_MCODE_4,R-HSA-9617828|FOXO-mediated transcription of cell cycle genes|-9.8;M136|PID FOXO PATHWAY|-8.4;R-HSA-9614085|FOXO-mediated transcription|-8.0
down_epi_only,GO:1901615|organic hydroxy compound metabolic process|-12.1;GO:0044283|small molecule biosynthetic process|-10.7;GO:0019752|carboxylic acid metabolic process|-9.8
down_epi_only_MCODE_ALL,WP430|Statin inhibition of cholesterol production|-11.3;GO:0044283|small molecule biosynthetic process|-10.3;hsa04979|Cholesterol metabolism|-9.9
down_epi_only_SUB1_MCODE_1,hsa04979|Cholesterol metabolism|-16.8;WP5304|Cholesterol metabolism|-15.8;GO:0034369|plasma lipoprotein particle remodeling|-14.3
down_epi_only_SUB1_MCODE_2,GO:0006631|fatty acid metabolic process|-4.9;GO:0044283|small molecule biosynthetic process|-4.5;GO:0032787|monocarboxylic acid metabolic process|-4.3
down_epi_only_SUB1_MCODE_3,"M5935|HALLMARK FATTY ACID METABOLISM|-9.1;hsa00280|Valine, leucine and isoleucine degradation|-7.8;WP3925|Amino acid metabolism|-7.0"
