GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
GO:0030198,extracellular matrix organization,0.0,-2.915966933771063,0.0,-2.6802471206053187,-2.318532177246926,-3.4925156548121765,-2.4349870625083057,0.0
R-HSA-109582,Hemostasis,-2.1204149697567964,-4.472279265937675,0.0,0.0,-4.089648186540967,-2.4198591982578557,-2.2659105590069695,-2.1937605730474745
R-HSA-6798695,Neutrophil degranulation,-7.399450395140775,-3.357486068065209,0.0,0.0,-6.786381707747488,-4.5415729449233595,-4.321793268241416,-2.5199970689213673
GO:0007167,enzyme-linked receptor protein signaling pathway,-6.948882728860105,0.0,-2.2299108362270896,-2.5937886474791667,0.0,-2.4143397335758783,0.0,0.0
GO:0051129,negative regulation of cellular component organization,-3.2466760586532555,0.0,-3.2921251910328158,0.0,0.0,-2.729955900963216,0.0,0.0
GO:0031344,regulation of cell projection organization,-4.119669890899602,0.0,-4.17001785565751,0.0,-2.28447879808006,-3.5349502652596483,-3.4214700369571247,0.0
GO:0009725,response to hormone,-9.711440022461979,0.0,-3.379786697781355,0.0,0.0,-4.853781372694042,-3.265562343490431,0.0
GO:0048732,gland development,-4.683187753090438,-2.8903857600985186,0.0,-2.1679219980536,0.0,-3.2389397784969116,0.0,0.0
GO:0006897,endocytosis,-3.2134709064060965,-3.943184310514831,0.0,-3.7841221444966555,0.0,-3.0419694815642204,-2.3349410607612593,0.0
GO:0016310,phosphorylation,-3.2852757308914624,0.0,0.0,-5.2979707692133235,0.0,-2.7630620561343826,-2.220759270732505,0.0
GO:0071363,cellular response to growth factor stimulus,-4.048077769297145,0.0,0.0,-2.8630991911868033,0.0,-2.7648665428871886,0.0,-2.469308075056047
R-HSA-9012999,RHO GTPase cycle,-3.8368759808747113,0.0,-3.477994226229946,-2.0376525006302084,-2.1385955226560593,-3.6202130049186008,-5.296583455861123,-2.7283297271342515
GO:0035239,tube morphogenesis,-2.6227530760137756,0.0,-2.702707665376476,-4.981427791891274,-5.32222906302023,-2.982959161042334,-2.8645366758504682,-2.325409822458057
hsa04144,Endocytosis,0.0,0.0,0.0,-3.62459846725083,0.0,-3.078666408074868,0.0,0.0
GO:0050678,regulation of epithelial cell proliferation,0.0,0.0,0.0,-3.4648372259255966,0.0,-2.8315479135617716,0.0,0.0
GO:0098609,cell-cell adhesion,0.0,0.0,-2.293736235896503,-3.070924280843171,0.0,-7.198888033572736,0.0,0.0
GO:0010810,regulation of cell-substrate adhesion,0.0,-2.4054177261208687,-3.6124067799485555,-3.9905813652708724,0.0,-2.0921347562044956,0.0,0.0
WP481,Insulin signaling,0.0,0.0,-2.4018481578891158,-2.4046633127819694,0.0,-2.0626807130462956,-3.789814079496551,0.0
GO:0031175,neuron projection development,0.0,0.0,-4.017724211240185,0.0,0.0,-2.0640158787060607,0.0,-2.2812405317039226
M5949,HALLMARK PEROXISOME,-7.64532193702989,-3.722104220371771,0.0,0.0,0.0,0.0,-3.0305194812557614,0.0
M5935,HALLMARK FATTY ACID METABOLISM,-8.9249175228119,-5.677170371643954,0.0,0.0,0.0,0.0,-4.709119052710047,0.0
