Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
DisGeNET,35,C0042345,Varicosity,,-12,5.2,9.9,30293,188,871,28,3.2,0.6,133|182|794|1281|1674|1832|2034|2321|2670|2697|3371|3976|4256|4312|4313|4322|4854|6281|6696|6899|7040|7076|7078|7431|8076|8600|23336|81606,ADM|JAG1|CALB2|COL3A1|DES|DSP|EPAS1|FLT1|GFAP|GJA1|TNC|LIF|MGP|MMP1|MMP2|MMP13|NOTCH3|S100A10|SPP1|TBX1|TGFB1|TIMP1|TIMP3|VIM|MFAP5|TNFSF11|SYNM|LBH,-9.9,MyList
DisGeNET,35,C4521042,Complete Trisomy 21 Syndrome,,-12,2.9,8.6,30293,668,871,56,6.4,0.83,90|348|794|861|875|1191|1268|1285|1294|1356|1808|1827|1909|1910|1959|2022|2034|2173|2321|2670|2697|2706|3075|3490|4036|4502|4685|4747|4948|5142|5152|5155|5243|5792|6285|6492|6493|6526|6899|7040|7052|7057|7078|7291|9518|10221|10752|10763|11075|23263|23336|27087|57007|84570|84662|103910,ACVR1|APOE|CALB2|RUNX1|CBS|CLU|CNR1|COL4A3|COL7A1|CP|DPYSL2|RCAN1|EDNRA|EDNRB|EGR2|ENG|EPAS1|FABP7|FLT1|GFAP|GJA1|GJB2|CFH|IGFBP7|LRP2|MT2A|NCAM2|NEFL|OCA2|PDE4B|PDE9A|PDGFB|ABCB1|PTPRF|S100B|SIM1|SIM2|SLC5A3|TBX1|TGFB1|TGM2|THBS1|TIMP3|TWIST1|GDF15|TRIB1|CHL1|NES|STMN2|MCF2L|SYNM|B3GAT1|ACKR3|COL25A1|GLIS2|MYL12B,-9.9,MyList
Cell Type Signatures,7,M39269,HU FETAL RETINA RGC,,-12,3.5,9,30293,443,871,44,5.1,0.74,214|794|805|1268|1381|1808|1809|1993|2258|2273|3800|4133|4741|4747|4753|4858|5865|6001|6281|6319|7852|8848|9832|10962|11031|11075|23462|23705|29114|55859|56896|56967|57611|79191|84969|92737|103910|128434|131034|147381|222553|253738|285704|100133941,ALCAM|CALB2|CALM2|CNR1|CRABP1|DPYSL2|DPYSL3|ELAVL2|FGF13|FHL1|KIF5C|MAP2|NEFM|NEFL|NELL2|NOVA2|RAB3B|RGS10|S100A10|SCD|CXCR4|TSC22D1|JAKMIP2|MLLT11|RAB31|STMN2|HEY1|CADM1|TAGLN3|BEX1|DPYSL5|C14orf132|ISLR2|IRX3|TOX2|DNER|MYL12B|VSTM2L|CPNE4|CBLN2|SLC35F1|EBF3|RGMB|CD24,-9.9,MyList
Cell Type Signatures,7,M39253,MENON FETAL KIDNEY 3 STROMAL CELLS,,-12,8.2,11,30293,81,871,19,2.2,0.49,214|1281|1282|1284|1293|1545|2719|3371|3488|4638|5764|6422|6783|7026|7431|7837|9590|55075|81578,ALCAM|COL3A1|COL4A1|COL4A2|COL6A3|CYP1B1|GPC3|TNC|IGFBP5|MYLK|PTN|SFRP1|SULT1E1|NR2F2|VIM|PXDN|AKAP12|UACA|COL21A1,-9.9,MyList
Cell Type Signatures,7,M39241,LAKE ADULT KIDNEY C22 ENDOTHELIAL CELLS GLOMERULAR CAPILLARIES,,-12,6.1,10,30293,137,871,24,2.8,0.55,1282|1284|2034|2321|3488|3672|3977|5327|6578|6925|7048|7078|8613|9590|9732|10718|22998|55075|55534|56243|59277|80243|83857|84898,COL4A1|COL4A2|EPAS1|FLT1|IGFBP5|ITGA1|LIFR|PLAT|SLCO2A1|TCF4|TGFBR2|TIMP3|PLPP3|AKAP12|DOCK4|NRG3|LIMCH1|UACA|MAML3|KIAA1217|NTN4|PREX2|TMTC1|PLXDC2,-9.9,MyList
DisGeNET,35,C0856742,Post MI,,-12,5,9.8,30293,203,871,29,3.3,0.61,652|805|1674|1827|1893|2048|2321|3084|3371|4052|4256|4313|4854|4879|5742|6387|6423|6696|7040|7076|7078|8490|8840|10630|10763|54541|64129|79924|114907,BMP4|CALM2|DES|RCAN1|ECM1|EPHB2|FLT1|NRG1|TNC|LTBP1|MGP|MMP2|NOTCH3|NPPB|PTGS1|CXCL12|SFRP2|SPP1|TGFB1|TIMP1|TIMP3|RGS5|CCN4|PDPN|NES|DDIT4|TINAGL1|ADM2|FBXO32,-9.9,MyList
DisGeNET,35,C0028259,Nodule,,-12,4.3,9.4,30293,278,871,34,3.9,0.66,182|654|1311|1509|1674|2048|2263|3371|3486|4015|4312|4313|4851|5307|5362|6285|6422|6513|6696|7040|7075|7076|7431|8600|10319|10371|11145|23263|27295|29968|64220|80760|115701|284207,JAG1|BMP6|COMP|CTSD|DES|EPHB2|FGFR2|TNC|IGFBP3|LOX|MMP1|MMP2|NOTCH1|PITX1|PLXNA2|S100B|SFRP1|SLC2A1|SPP1|TGFB1|TIE1|TIMP1|VIM|TNFSF11|LAMC3|SEMA3A|PLAAT3|MCF2L|PDLIM3|PSAT1|STRA6|ITIH5|ALPK2|METRNL,-9.8,MyList
DisGeNET,35,C0003486,Aortic Aneurysm,,-12,4.3,9.4,30293,278,871,34,3.9,0.66,59|348|1030|1281|1311|1839|1906|1958|2201|2317|3371|4015|4091|4312|4313|4629|4638|4851|5054|6696|6876|7040|7042|7043|7046|7048|7057|7078|7431|7547|10630|29128|50507|130497,ACTA2|APOE|CDKN2B|COL3A1|COMP|HBEGF|EDN1|EGR1|FBN2|FLNB|TNC|LOX|SMAD6|MMP1|MMP2|MYH11|MYLK|NOTCH1|SERPINE1|SPP1|TAGLN|TGFB1|TGFB2|TGFB3|TGFBR1|TGFBR2|THBS1|TIMP3|VIM|ZIC3|PDPN|UHRF1|NOX4|OSR1,-9.8,MyList
Cell Type Signatures,7,M39111,AIZARANI LIVER C7 EPCAM POS BILE DUCT CELLS 2,,-12,4.8,9.6,30293,219,871,30,3.4,0.62,214|290|805|1028|1490|1501|1832|1958|2263|3491|3773|3856|3875|3976|3983|5789|5792|6277|6696|7026|8871|9518|26010|27063|51232|55450|56937|79789|83539|100133941,ALCAM|ANPEP|CALM2|CDKN1C|CCN2|CTNND2|DSP|EGR1|FGFR2|CCN1|KCNJ16|KRT8|KRT18|LIF|ABLIM1|PTPRD|PTPRF|S100A6|SPP1|NR2F2|SYNJ2|GDF15|SPATS2L|ANKRD1|CRIM1|CAMK2N1|PMEPA1|CLMN|CHST9|CD24,-9.8,MyList
Cell Type Signatures,7,M39108,AIZARANI LIVER C4 EPCAM POS BILE DUCT CELLS 1,,-12,5.1,9.8,30293,191,871,28,3.2,0.6,214|290|388|805|1000|1028|1191|1490|1832|1958|2263|3491|3773|3856|3875|4638|5792|6696|7026|8871|9518|26010|26227|55450|56937|79789|83539|100133941,ALCAM|ANPEP|RHOB|CALM2|CDH2|CDKN1C|CLU|CCN2|DSP|EGR1|FGFR2|CCN1|KCNJ16|KRT8|KRT18|MYLK|PTPRF|SPP1|NR2F2|SYNJ2|GDF15|SPATS2L|PHGDH|CAMK2N1|PMEPA1|CLMN|CHST9|CD24,-9.8,MyList
