_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-3.3,TRR01235,M1,1,0,TRRUST,34,Regulated by: SMAD3,,-3.3,5.8,4.9,30293,37,851,6,0.71,0.29,345|1026|1294|3725|7538|51129,APOC3|CDKN1A|COL7A1|JUN|ZFP36|ANGPTL4,-2,0
1,-3.3,TRR01437,M1,1,0,TRRUST,34,Regulated by: TWIST1,,-3.3,5.8,4.9,30293,37,851,6,0.71,0.29,2335|2353|3383|7025|9518|22943,FN1|FOS|ICAM1|NR2F1|GDF15|DKK1,-2,0
1,-3.2,TRR01529,M1,1,0,TRRUST,34,Regulated by: WT1,,-3.2,4.1,4.4,30293,69,851,8,0.94,0.33,976|1026|3481|3725|3726|5076|6376|6736,ADGRE5|CDKN1A|IGF2|JUN|JUNB|PAX2|CX3CL1|SRY,-1.9,0
1,-3.1,TRR01250,M1,1,0,TRRUST,34,Regulated by: SOX17,,-3.1,15,6.4,30293,7,851,3,0.35,0.2,2335|10725|346389,FN1|NFAT5|MACC1,-1.9,0
1,-3.1,TRR00108,M1,1,0,TRRUST,34,Regulated by: CDX2,,-3.1,5.5,4.8,30293,39,851,6,0.71,0.29,1015|1026|2524|6549|9314|140453,CDH17|CDKN1A|FUT2|SLC9A2|KLF4|MUC17,-1.9,0
1,-3.1,TRR00275,M1,1,0,TRRUST,34,Regulated by: ESR1,,-3.1,3.6,4.2,30293,88,851,9,1.1,0.35,890|1026|1051|2353|3725|3726|5272|7031|10761,CCNA2|CDKN1A|CEBPB|FOS|JUN|JUNB|SERPINB9|TFF1|PLAC1,-1.8,0
1,-3.1,TRR00024,M1,1,0,TRRUST,34,Regulated by: ATF3,,-3.1,8.9,5.4,30293,16,851,4,0.47,0.23,1649|3397|6352|9518,DDIT3|ID1|CCL5|GDF15,-1.8,0
1,-3.1,TRR01061,M1,1,0,TRRUST,34,Regulated by: PPARD,,-3.1,8.9,5.4,30293,16,851,4,0.47,0.23,4023|6303|7295|51129,LPL|SAT1|TXN|ANGPTL4,-1.8,0
1,-3.1,TRR00011,M1,1,0,TRRUST,34,Regulated by: AR,,-3.1,3.3,4.1,30293,107,851,10,1.2,0.37,694|1009|1026|2335|2346|3725|5284|7113|10397|56937,BTG1|CDH11|CDKN1A|FN1|FOLH1|JUN|PIGR|TMPRSS2|NDRG1|PMEPA1,-1.8,0
1,-3,TRR00365,M1,1,0,TRRUST,34,Regulated by: FOXO1,,-3,6.4,4.8,30293,28,851,5,0.59,0.26,285|4825|5155|8660|50674,ANGPT2|NKX6-1|PDGFB|IRS2|NEUROG3,-1.8,0
1,-3,TRR00470,M1,1,0,TRRUST,34,Regulated by: HDAC3,,-3,6.4,4.8,30293,28,851,5,0.59,0.26,345|1029|2624|3725|5106,APOC3|CDKN2A|GATA2|JUN|PCK2,-1.8,0
1,-3,TRR01051,M1,1,0,TRRUST,34,Regulated by: POU2F1,,-3,5.1,4.5,30293,42,851,6,0.71,0.29,1045|1647|3397|3960|6385|7291,CDX2|GADD45A|ID1|LGALS4|SDC4|TWIST1,-1.7,0
1,-2.9,TRR00029,M1,1,0,TRRUST,34,Regulated by: ATM,,-2.9,6.1,4.7,30293,29,851,5,0.59,0.26,1026|1647|4661|5111|6513,CDKN1A|GADD45A|MYT1|PCNA|SLC2A1,-1.7,0
1,-2.9,TRR01172,M1,1,0,TRRUST,34,Regulated by: RUNX1,,-2.9,5,4.4,30293,43,851,6,0.71,0.29,2274|3725|4684|5196|6348|9314,FHL2|JUN|NCAM1|PF4|CCL3|KLF4,-1.7,0
