_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,Description,_PATTERN_,_RANK_,CHILD_GO_down_common_genes,CHILD_GO_down_epi_only,CHILD_GO_down_mes_only,CHILD_GO_down_mes_up_epi,CHILD_GO_up_common_genes,CHILD_GO_up_epi_only,CHILD_GO_up_mes_down_epi,CHILD_GO_up_mes_only
1,1,1,1,1,1,1,1,-10.457363918291,-7.036723759568025,-3.27298467874857,-5.2206484231832055,-19.421414119329803,-7.283374577074769,-8.254024902440829,-5.148461867946635,GO:0050896,response to stimulus,M11111111,8,GO:0007167 enzyme-linked receptor protein signaling pathway,GO:0009410 response to xenobiotic stimulus,GO:0009725 response to hormone,GO:0000165 MAPK cascade,GO:0019221 cytokine-mediated signaling pathway,GO:0006954 inflammatory response,GO:0006984 ER-nucleus signaling pathway,GO:0071363 cellular response to growth factor stimulus
1,1,1,1,1,1,1,1,-9.232471097883298,-9.908278859583545,-3.5530852231954073,-3.8238852657567826,-7.520075861953987,-4.2863588323979975,-11.8846066694035,-7.531676789572739,GO:0008152,metabolic process,M11111111,8,GO:0044282 small molecule catabolic process,GO:1901615 organic hydroxy compound metabolic process,GO:0032259 methylation,GO:0016310 phosphorylation,GO:0051090 regulation of DNA-binding transcription factor activity,GO:1901615 organic hydroxy compound metabolic process,GO:0008610 lipid biosynthetic process,GO:1901137 carbohydrate derivative biosynthetic process
1,1,1,1,1,1,1,1,-6.484960855355353,-6.344445478129842,-5.647926652040401,-3.23005331577697,-5.285467442337298,-4.501690245160761,-7.058802712971148,-5.788037940980134,GO:0009987,cellular process,M11111111,8,GO:0030029 actin filament-based process,GO:1904970 brush border assembly,GO:0006325 chromatin organization,GO:0014812 muscle cell migration,GO:0002397 MHC class I protein complex assembly,GO:0098609 cell-cell adhesion,GO:0010256 endomembrane system organization,GO:0016050 vesicle organization
1,1,1,1,1,1,1,1,-6.395743345793186,-8.549010951376472,-4.454959283096354,-3.4070269951930445,-4.887934248703589,-4.121365422202642,-10.573266934033914,-9.500984497730236,GO:0051179,localization,M11111111,8,GO:0006897 endocytosis,GO:0010876 lipid localization,GO:0051656 establishment of organelle localization,GO:0006897 endocytosis,GO:0051235 maintenance of location,GO:0015697 quaternary ammonium group transport,GO:0072657 protein localization to membrane,GO:0006888 endoplasmic reticulum to Golgi vesicle-mediated transport
1,1,1,1,1,1,1,1,-6.19487420078293,-8.966779990227447,-5.0786593271439955,-3.0924231709107537,-5.70214864411673,-2.2155844839946592,-4.633040017574971,-2.8382214075192747,GO:0065007,biological regulation,M11111111,8,GO:0051338 regulation of transferase activity,GO:0010817 regulation of hormone levels,GO:0043087 regulation of GTPase activity,GO:0051345 positive regulation of hydrolase activity,GO:0044092 negative regulation of molecular function,GO:0090066 regulation of anatomical structure size,GO:0010817 regulation of hormone levels,GO:0031647 regulation of protein stability
1,1,1,1,1,1,1,1,-5.9737628748968525,-7.141598827697364,-3.9644353342172356,-3.357714962552592,-9.198547706010286,-6.8929045507312825,-3.66340711084185,-2.267683795773869,GO:0050789,regulation of biological process,M11111111,8,GO:0120035 regulation of plasma membrane bounded cell projection organization,GO:0032530 regulation of microvillus organization,GO:1902115 regulation of organelle assembly,GO:0010810 regulation of cell-substrate adhesion,GO:0022407 regulation of cell-cell adhesion,GO:1903037 regulation of leukocyte cell-cell adhesion,GO:0120035 regulation of plasma membrane bounded cell projection organization,GO:1903053 regulation of extracellular matrix organization
1,1,1,1,1,1,1,1,-5.91111444576307,-6.2480481777529135,-3.356901468404301,-2.341554327805474,-8.675659671089578,-6.622689664511212,-4.164988108224058,-2.401166423382891,GO:0032501,multicellular organismal process,M11111111,8,GO:0044057 regulation of system process,GO:0022600 digestive system process,GO:0008015 blood circulation,GO:0048771 tissue remodeling,GO:0001775 cell activation,GO:0050865 regulation of cell activation,GO:0007596 blood coagulation,GO:0007612 learning
1,1,1,1,1,1,1,1,-5.741027560153799,-4.664147648744205,-5.069058893254005,-5.954740677269021,-5.061811517277175,-2.772080013655033,-5.489832780583996,-4.342240770823853,GO:0032502,developmental process,M11111111,8,GO:0000902 cell morphogenesis,GO:0030855 epithelial cell differentiation,GO:0035148 tube formation,GO:0035239 tube morphogenesis,GO:0010720 positive regulation of cell development,GO:0007420 brain development,GO:0060348 bone development,GO:0000902 cell morphogenesis
1,1,1,1,1,1,1,1,-5.230704660031517,-4.26737569586459,-3.222035956722275,-5.637144809745075,-8.001779831211945,-2.8452655160275797,-3.387069249402791,-2.6770361242636853,GO:0048519,negative regulation of biological process,M11111111,8,GO:0051129 negative regulation of cellular component organization,GO:0030195 negative regulation of blood coagulation,GO:0045906 negative regulation of vasoconstriction,GO:0001933 negative regulation of protein phosphorylation,GO:0008285 negative regulation of cell population proliferation,GO:0045861 negative regulation of proteolysis,GO:1903573 negative regulation of response to endoplasmic reticulum stress,GO:0008285 negative regulation of cell population proliferation
1,1,1,1,1,1,1,1,-5.005857337191134,-4.758065587415358,-4.721895782854786,-3.199385888990038,-10.222972234101245,-6.570998456488033,-4.185372124972148,-2.6477646755704995,GO:0048518,positive regulation of biological process,M11111111,8,GO:1905908 positive regulation of amyloid fibril formation,GO:0045834 positive regulation of lipid metabolic process,GO:0044089 positive regulation of cellular component biogenesis,GO:0002833 positive regulation of response to biotic stimulus,GO:0045785 positive regulation of cell adhesion,GO:1903039 positive regulation of leukocyte cell-cell adhesion,GO:0046889 positive regulation of lipid biosynthetic process,GO:0061098 positive regulation of protein tyrosine kinase activity
1,0,0,0,0,0,1,1,-4.734020455380588,0.0,0.0,0.0,0.0,0.0,-2.9141290392138637,-4.686035220254902,GO:0040007,growth,M10000011,3,GO:0040008 regulation of growth,,,,,,GO:0046620 regulation of organ growth,GO:0048589 developmental growth
