_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,Description,_PATTERN_,_RANK_,GiniIndex
0,0,0,0,1,0,0,1,0,0,0,0,-2.4,0,0,-2.3,hsa04390,Hippo signaling pathway,M00001001,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-4.8,-2.4,0,0,GO:0046649,lymphocyte activation,M00001100,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-9,-2.3,0,0,GO:0002819,regulation of adaptive immune response,M00001100,2,0
1,0,0,0,0,0,0,1,-3.7,0,0,0,0,0,0,-2.6,GO:0030099,myeloid cell differentiation,M10000001,2,0
0,0,0,0,0,1,1,0,0,0,0,0,0,-2.8,-2.3,0,GO:0003044,regulation of systemic arterial blood pressure mediated by a chemical signal,M00000110,2,0
0,1,0,0,0,1,0,0,0,-2.1,0,0,0,-3.4,0,0,R-HSA-425407,SLC-mediated transmembrane transport,M01000100,2,0
0,0,0,1,1,0,0,0,0,0,0,-2.4,-4,0,0,0,GO:0010952,positive regulation of peptidase activity,M00011000,2,0
1,0,0,1,0,0,0,0,-2.6,0,0,-2.6,0,0,0,0,hsa04912,GnRH signaling pathway,M10010000,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-6.3,-5.6,0,0,GO:0002764,immune response-regulating signaling pathway,M00001100,2,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,-3.1,-4.1,GO:0018279,protein N-linked glycosylation via asparagine,M00000011,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-13,-6.1,0,0,M5911,HALLMARK INTERFERON ALPHA RESPONSE,M00001100,2,0
0,1,0,0,1,0,0,0,0,-2.7,0,0,-5.2,0,0,0,GO:0007162,negative regulation of cell adhesion,M01001000,2,0
0,0,0,1,0,0,1,0,0,0,0,-3.2,0,0,-4.2,0,GO:0009267,cellular response to starvation,M00010010,2,0
0,0,0,0,1,0,1,0,0,0,0,0,-3.2,0,-2,0,M5923,HALLMARK PI3K AKT MTOR SIGNALING,M00001010,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-7.1,-2.5,0,0,hsa05134,Legionellosis,M00001100,2,0
0,0,1,0,0,0,1,0,0,0,-2.2,0,0,0,-3.2,0,GO:0001501,skeletal system development,M00100010,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-5.2,-2.9,0,0,GO:0002705,positive regulation of leukocyte mediated immunity,M00001100,2,0
1,0,0,0,0,0,0,1,-2.2,0,0,0,0,0,0,-3.8,GO:0001701,in utero embryonic development,M10000001,2,0
1,1,0,0,0,0,0,0,-4.1,-2.3,0,0,0,0,0,0,GO:0055088,lipid homeostasis,M11000000,2,0
0,0,1,0,0,0,1,0,0,0,-2,0,0,0,-2.2,0,GO:0009314,response to radiation,M00100010,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-2.3,-5.8,0,0,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,M00001100,2,0
0,0,0,0,1,0,1,0,0,0,0,0,-4.4,0,-2.2,0,R-HSA-168176,Toll Like Receptor 5 (TLR5) Cascade,M00001010,2,0
0,0,0,0,0,1,0,1,0,0,0,0,0,-2.3,0,-2,GO:0001666,response to hypoxia,M00000101,2,0
1,1,0,0,0,0,0,0,-2.4,-2.6,0,0,0,0,0,0,GO:0055092,sterol homeostasis,M11000000,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-3.3,-4,0,0,GO:0022411,cellular component disassembly,M00001100,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-3.5,-4,0,0,R-HSA-375276,Peptide ligand-binding receptors,M00001100,2,0
0,0,1,1,0,0,0,0,0,0,-3.8,-4.1,0,0,0,0,GO:0048598,embryonic morphogenesis,M00110000,2,0
1,0,1,0,0,0,0,0,-2.3,0,-2.7,0,0,0,0,0,GO:0031503,protein-containing complex localization,M10100000,2,0
0,0,1,0,1,0,0,0,0,0,-2.7,0,-5.9,0,0,0,GO:0001934,positive regulation of protein phosphorylation,M00101000,2,0
0,0,1,0,0,0,1,0,0,0,-2.8,0,0,0,-2.2,0,GO:0010508,positive regulation of autophagy,M00100010,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-7.9,-2.3,0,0,GO:0034341,response to type II interferon,M00001100,2,0
0,0,1,0,0,0,0,1,0,0,-2.5,0,0,0,0,-2.8,hsa04530,Tight junction,M00100001,2,0
1,0,0,0,1,0,0,0,-2.1,0,0,0,-2.6,0,0,0,hsa05219,Bladder cancer,M10001000,2,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,-5,-5,GO:0043413,macromolecule glycosylation,M00000011,2,0
1,0,0,0,0,0,1,0,-2.8,0,0,0,0,0,-5.8,0,GO:0050708,regulation of protein secretion,M10000010,2,0
0,0,0,1,1,0,0,0,0,0,0,-2.4,-2.3,0,0,0,GO:0032231,regulation of actin filament bundle assembly,M00011000,2,0
1,0,0,1,0,0,0,0,-5.6,0,0,-2.5,0,0,0,0,GO:1902903,regulation of supramolecular fiber organization,M10010000,2,0
0,1,0,0,0,0,1,0,0,-5.1,0,0,0,0,-5.9,0,GO:0042060,wound healing,M01000010,2,0
0,0,0,0,1,0,1,0,0,0,0,0,-2.4,0,-3.3,0,M141,PID PI3KCI PATHWAY,M00001010,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-11,-2.3,0,0,WP5039,SARS CoV 2 innate immunity evasion and cell specific immune response,M00001100,2,0
0,0,0,1,0,0,0,1,0,0,0,-4.8,0,0,0,-3.5,GO:0009792,embryo development ending in birth or egg hatching,M00010001,2,0
1,1,0,0,0,0,0,0,-2,-4.6,0,0,0,0,0,0,GO:0007272,ensheathment of neurons,M11000000,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-7.9,-2.3,0,0,GO:0043123,positive regulation of canonical NF-kappaB signal transduction,M00001100,2,0
1,0,0,0,0,0,1,0,-5.3,0,0,0,0,0,-3.6,0,GO:0010975,regulation of neuron projection development,M10000010,2,0
0,0,1,0,1,0,0,0,0,0,-4.2,0,-2.5,0,0,0,R-HSA-2682334,EPH-Ephrin signaling,M00101000,2,0
0,0,0,0,1,0,1,0,0,0,0,0,-4.2,0,-2.1,0,R-HSA-975155,MyD88 dependent cascade initiated on endosome,M00001010,2,0
1,0,0,0,1,0,0,0,-2.7,0,0,0,-3,0,0,0,GO:0010634,positive regulation of epithelial cell migration,M10001000,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-3.5,-5,0,0,GO:1903900,regulation of viral life cycle,M00001100,2,0
0,0,1,0,0,1,0,0,0,0,-2.9,0,0,-2,0,0,R-HSA-380270,Recruitment of mitotic centrosome proteins and complexes,M00100100,2,0
0,1,0,0,0,0,1,0,0,-2.1,0,0,0,0,-2.3,0,GO:0008643,carbohydrate transport,M01000010,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-8.4,-3,0,0,GO:0009615,response to virus,M00001100,2,0
1,1,0,0,0,0,0,0,-6.5,-3.7,0,0,0,0,0,0,WP3925,Amino acid metabolism,M11000000,2,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,-3.2,-7.6,R-HSA-381038,XBP1(S) activates chaperone genes,M00000011,2,0
0,1,0,0,1,0,0,0,0,-2,0,0,-4.5,0,0,0,GO:1990266,neutrophil migration,M01001000,2,0
1,1,0,0,0,0,0,0,-3.9,-4.1,0,0,0,0,0,0,M5948,HALLMARK BILE ACID METABOLISM,M11000000,2,0
0,0,0,1,0,0,1,0,0,0,0,-3.4,0,0,-2.2,0,GO:0009952,anterior/posterior pattern specification,M00010010,2,0
0,0,0,1,0,0,0,1,0,0,0,-2.9,0,0,0,-2.4,GO:0003007,heart morphogenesis,M00010001,2,0
0,0,1,1,0,0,0,0,0,0,-2.4,-2.8,0,0,0,0,hsa04910,Insulin signaling pathway,M00110000,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-5.6,-2.6,0,0,hsa05152,Tuberculosis,M00001100,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-11,-3.9,0,0,hsa04657,IL-17 signaling pathway,M00001100,2,0
1,0,0,1,0,0,0,0,-5.3,0,0,-3.8,0,0,0,0,GO:0016310,phosphorylation,M10010000,2,0
1,0,0,0,1,0,0,0,-2.8,0,0,0,-2.4,0,0,0,M220,PID CASPASE PATHWAY,M10001000,2,0
0,0,0,0,1,0,1,0,0,0,0,0,-2.2,0,-2,0,M99,PID TXA2PATHWAY,M00001010,2,0
