_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,Description,_PATTERN_,_RANK_,GiniIndex
0,0,0,1,1,0,0,0,0,0,0,-2.2,-15,0,0,0,hsa05167,Kaposi sarcoma-associated herpesvirus infection,M00011000,2,0
0,0,1,0,0,1,0,0,0,0,-2.6,0,0,-3.6,0,0,GO:0006898,receptor-mediated endocytosis,M00100100,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-2.5,-5.4,0,0,GO:1902622,regulation of neutrophil migration,M00001100,2,0
1,0,0,0,0,0,1,0,-4.2,0,0,0,0,0,-2.4,0,GO:0097305,response to alcohol,M10000010,2,0
0,1,0,0,1,0,0,0,0,-3.8,0,0,-3,0,0,0,GO:1900027,regulation of ruffle assembly,M01001000,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-8.6,-2.9,0,0,GO:0045321,leukocyte activation,M00001100,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-5.1,-2.2,0,0,hsa04622,RIG-I-like receptor signaling pathway,M00001100,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-9.2,-2.8,0,0,R-HSA-877300,Interferon gamma signaling,M00001100,2,0
0,1,0,0,0,0,1,0,0,-2.3,0,0,0,0,-2.6,0,GO:1904377,positive regulation of protein localization to cell periphery,M01000010,2,0
1,0,1,0,0,0,0,0,-2.6,0,-4.1,0,0,0,0,0,R-HSA-9013149,RAC1 GTPase cycle,M10100000,2,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,-4,-5.4,R-HSA-381119,Unfolded Protein Response (UPR),M00000011,2,0
0,0,1,0,1,0,0,0,0,0,-2.6,0,-3.9,0,0,0,R-HSA-3700989,Transcriptional Regulation by TP53,M00101000,2,0
1,0,0,0,1,0,0,0,-3,0,0,0,-3.1,0,0,0,GO:0033674,positive regulation of kinase activity,M10001000,2,0
