GO,Description,_LogP_modules_epi_black_sorted_top300,_LogP_modules_epi_blue_sorted_top300,_LogP_modules_epi_pink_sorted_top300,_LogP_modules_epi_red_sorted_top300,_LogP_modules_epi_turquoise_sorted_top300,_LogP_modules_epi_yellow_sorted_top300
GO:0009987,cellular process,-6.019489987710161,-7.584316416162269,-6.971478969603756,-4.6952352365823495,-21.36603638553575,-13.662143559349051
GO:0050789,regulation of biological process,-4.9854362040014495,-6.929727444024868,-8.784921593099735,-8.366931641282138,-15.183379610750379,-12.824016882531026
GO:0032502,developmental process,-9.580112352014384,-5.3249261445270495,-6.447370907859391,-5.891685772744898,-17.97155956196322,-9.643419040066558
GO:0048518,positive regulation of biological process,-10.830882394514457,-4.525053042727273,-16.987801485417982,-4.153029450701212,-10.826842076498771,-8.55753610697043
GO:0032501,multicellular organismal process,-6.326502153193785,-8.002902685950469,-13.22894678121919,-4.198473472316813,-5.211637142559156,-8.997911628162761
GO:0008152,metabolic process,-6.42576563037902,-14.854470599884662,-7.386271491753241,-4.826164574165266,-7.851724045860287,-8.511205007660063
GO:0050896,response to stimulus,-20.124677014328633,-7.098548038674923,-14.985452598394003,-6.520826748688526,-11.86840248968642,-11.040836569774562
GO:0051179,localization,-5.029260868470777,-10.430160564683383,-4.5149278442082466,-7.476918276304635,-7.5641326794492745,-8.243066510492998
GO:0065007,biological regulation,-3.682588336586263,-6.293475999787246,-3.701031524813962,-6.973318749060748,-8.207429344817617,-6.1257328648152924
GO:0048519,negative regulation of biological process,-5.085077657246839,-3.596853671496203,-6.854453578343411,-4.959031115031048,-5.39029988661411,-7.600856891914687
GO:0002376,immune system process,-8.69333189235356,-2.4574889566648817,-17.039712157185235,-5.418120710239245,-3.6999497599079656,-7.1667873158597395
GO:0040011,locomotion,-8.619504688737075,0.0,-7.09048346483483,-6.076944646920188,-7.667589608390644,-8.619504688737075
GO:0040007,growth,-2.4437315088553517,0.0,-4.324024739098839,-3.3208013193675834,-7.915564916707561,-4.101806786673496
GO:0022414,reproductive process,0.0,-2.0289964319760805,-3.4015661233228465,-3.3973306157899144,-3.2292062175067966,-2.171743640117852
GO:0042592,homeostatic process,-6.1345107146240965,-9.556217016846984,-3.9445703588870766,-4.870522177171102,0.0,-4.254008709082996
GO:0044419,biological process involved in interspecies interaction between organisms,-13.068882210042393,-2.3087712909607125,-27.35295847139529,-3.910207272998742,0.0,-6.282747284565668
GO:0016032,viral process,-2.800332040114567,0.0,-13.119580268171086,-2.675344215677683,0.0,-5.745030431713774
GO:0043473,pigmentation,-3.066323764027152,0.0,0.0,0.0,0.0,0.0
GO:0048511,rhythmic process,-3.181089865296495,-2.2785392464532728,-2.2785392464532728,0.0,0.0,0.0
GO:0098754,detoxification,0.0,-3.96909181894931,0.0,-2.618472830082768,0.0,0.0
