GO,Description,_LogP_modules_epi_black_sorted_top300,_LogP_modules_epi_blue_sorted_top300,_LogP_modules_epi_pink_sorted_top300,_LogP_modules_epi_red_sorted_top300,_LogP_modules_epi_turquoise_sorted_top300,_LogP_modules_epi_yellow_sorted_top300
GO:0045087,innate immune response,-13.068882210042393,0.0,-27.35295847139529,0.0,0.0,-3.993087376446358
M5913,HALLMARK INTERFERON GAMMA RESPONSE,-12.77611975174148,0.0,-31.176803960141562,0.0,0.0,-2.405422744675795
GO:0002764,immune response-regulating signaling pathway,-4.960303072928343,0.0,-13.87875450155865,0.0,0.0,-2.0912441280281024
GO:0051607,defense response to virus,-6.18627901957217,0.0,-16.346024888697862,0.0,0.0,-2.2229012751226955
GO:0006954,inflammatory response,-11.498212821108002,0.0,-14.730946496914454,-4.2797289545889905,0.0,-3.2673641078579108
GO:0048871,multicellular organismal-level homeostasis,-6.1345107146240965,0.0,-3.9445703588870766,-3.9271162842688483,0.0,0.0
GO:0002237,response to molecule of bacterial origin,-11.866520267223672,0.0,-7.750214368382238,0.0,0.0,0.0
hsa05167,Kaposi sarcoma-associated herpesvirus infection,-14.102553319441673,0.0,-6.234621703464089,0.0,-2.477854493010761,0.0
R-HSA-1280218,Adaptive Immune System,-6.065856640769751,0.0,-11.759640079773847,0.0,-4.030908842458385,0.0
M5950,HALLMARK ALLOGRAFT REJECTION,-2.405422744675795,0.0,-12.8020498628793,0.0,-3.7357812151051575,0.0
GO:0019882,antigen processing and presentation,-2.4185125642214436,-2.4246474328779777,-14.180225513996906,0.0,0.0,0.0
GO:0010876,lipid localization,0.0,-9.539705824878613,-4.5149278442082466,-5.133213685740713,0.0,0.0
R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),0.0,-5.353380370450768,-2.0902803993302044,-10.530039327102362,0.0,0.0
R-HSA-556833,Metabolism of lipids,0.0,-15.862479820101646,0.0,-4.201866381339596,0.0,0.0
M5891,HALLMARK HYPOXIA,0.0,-6.094047088793372,0.0,-3.7357812151051575,-3.7357812151051575,0.0
WP2882,Nuclear receptors meta pathway,0.0,-4.779072902509228,0.0,-4.10752554731311,-4.763830208694731,0.0
GO:1901615,organic hydroxy compound metabolic process,0.0,-14.854470599884662,-2.9571165785575197,0.0,0.0,0.0
GO:0005975,carbohydrate metabolic process,0.0,-14.104256558232153,0.0,0.0,0.0,0.0
hsa04142,Lysosome,-4.270174603547981,-11.354005064283871,0.0,0.0,0.0,0.0
